module,instance,port,hardbin,softbin,counter,bindesc
CLK_BASE_CXXX,VREFTRIM_X_CMEM_K_STARTANA1CPU_TAP_X_MIN_X_40_HVM,n2,99,28,3500:5999,HARDWARE_ALARM
CLK_BASE_CXXX,VREFTRIM_X_CMEM_K_STARTANA1CPU_TAP_X_MIN_X_40_HVM,n1,98,28,3500:5999,SOFTWARE_ALARM_OR_ZERO_BIN
CLK_BASE_CXXX,VREFTRIM_X_CMEM_K_STARTANA1CPU_TAP_X_MIN_X_40_HVM,0,90,28,3500:5999,CLK_BASIC_USERFUNC_FAIL_SHARED_BIN
CLK_BASE_CXXX,VREFTRIM_X_CMEM_K_STARTANA1CPU_TAP_X_MIN_X_40_HVM,2,28,35,3500:5999,CLK_TAP_SCREEN_FAIL_SHARED_BIN
CLK_BASE_CXXX,VREFTRIM_X_CMEM_K_STARTANA1CPU_TAP_X_MIN_X_40_HVM,3,28,19,3500:5999,CLK_RESET_SCREEN_FAIL_SHARED_BIN
CLK_BASE_CXXX,VREFTRIM_X_CMEM_K_STARTANA1CPU_TAP_X_MIN_X_40_HVM,4,28,39,3500:5999,CLK_BASE_CXXX_VREFTRIM_FAIL_SHARED_BIN
CLK_BASE_CXXX,VREFTRIM_X_CMEM_K_BEGIN_TAP_X_MIN_X_40_HVM,n2,99,28,3500:5999,HARDWARE_ALARM
CLK_BASE_CXXX,VREFTRIM_X_CMEM_K_BEGIN_TAP_X_MIN_X_40_HVM,n1,98,28,3500:5999,SOFTWARE_ALARM_OR_ZERO_BIN
CLK_BASE_CXXX,VREFTRIM_X_CMEM_K_BEGIN_TAP_X_MIN_X_40_HVM,0,90,28,3500:5999,CLK_BASIC_USERFUNC_FAIL_SHARED_BIN
CLK_BASE_CXXX,VREFTRIM_X_CMEM_K_BEGIN_TAP_X_MIN_X_40_HVM,2,28,35,3500:5999,CLK_TAP_SCREEN_FAIL_SHARED_BIN
CLK_BASE_CXXX,VREFTRIM_X_CMEM_K_BEGIN_TAP_X_MIN_X_40_HVM,3,28,19,3500:5999,CLK_RESET_SCREEN_FAIL_SHARED_BIN
CLK_BASE_CXXX,VREFTRIM_X_CMEM_K_BEGIN_TAP_X_MIN_X_40_HVM,4,28,39,3500:5999,CLK_BASE_CXXX_VREFTRIM_FAIL_SHARED_BIN
CLK_BASE_CXXX,VREFTRIM_X_CMEM_E_STARTANA1CPU_TAP_X_MIN_X_40_SDC,n2,99,28,3500:5999,HARDWARE_ALARM
CLK_BASE_CXXX,VREFTRIM_X_CMEM_E_STARTANA1CPU_TAP_X_MIN_X_40_SDC,n1,98,28,3500:5999,SOFTWARE_ALARM_OR_ZERO_BIN
CLK_BASE_CXXX,VREFTRIM_X_CMEM_E_STARTANA1CPU_TAP_X_MIN_X_40_SDC,0,90,28,3500:5999,CLK_BASIC_USERFUNC_FAIL_SHARED_BIN
CLK_BASE_CXXX,VREFTRIM_X_CMEM_E_STARTANA1CPU_TAP_X_MIN_X_40_SDC,2,28,35,3500:5999,CLK_TAP_SCREEN_FAIL_SHARED_BIN
CLK_BASE_CXXX,VREFTRIM_X_CMEM_E_STARTANA1CPU_TAP_X_MIN_X_40_SDC,3,28,19,3500:5999,CLK_RESET_SCREEN_FAIL_SHARED_BIN
