Pin,Field,Size,ItuffToken,LowLimit,HighLimit,ExitPort
IPC::CPU_TDO,NUM_CORERR,10,G_FUSE_ECC_STAT_NUM_CORERR,-,-,-
IPC::CPU_TDO,CORERR,1,G_FUSE_ECC_STAT_CORERR,-,-,-
IPC::CPU_TDO,RSVD_15_11,5,G_FUSE_ECC_STAT_RSVD_15_11,-,-,-
IPC::CPU_TDO,NUM_NONCORERR,10,G_FUSE_ECC_STAT_NUM_NONCORERR,-,-,-
IPC::CPU_TDO,NONCORERR,1,G_FUSE_ECC_STAT_NONCORERR,-,-,-
IPC::CPU_TDO,RSVD_30_27,4,G_FUSE_ECC_STAT_RSVD_30_27 ,-,-,-
IPC::CPU_TDO,CLEAR,1,G_FUSE_ECC_STAT_CLEAR,-,-,-
IPC::CPU1_TDO,NUM_CORERR,10,G_FUSE_ECC_STAT_NUM_CORERR,-,-,-
IPC::CPU1_TDO,CORERR,1,G_FUSE_ECC_STAT_CORERR,-,-,-
IPC::CPU1_TDO,RSVD_15_11,5,G_FUSE_ECC_STAT_RSVD_15_11,-,-,-
IPC::CPU1_TDO,NUM_NONCORERR,10,G_FUSE_ECC_STAT_NUM_NONCORERR,-,-,-
IPC::CPU1_TDO,NONCORERR,1,G_FUSE_ECC_STAT_NONCORERR,-,-,-
IPC::CPU1_TDO,RSVD_30_27,4,G_FUSE_ECC_STAT_RSVD_30_27 ,-,-,-
IPC::CPU1_TDO,CLEAR,1,G_FUSE_ECC_STAT_CLEAR,-,-,-
