Pin,Field,Size,ItuffToken,Function
IPC::CPU_TDO,SHIM2_PDSEQFSM_PS,2,G_CPU0_SHIM2_PDSEQFSM_PS,-
IPC::CPU_TDO,SHIM2_PDSEQFSM_PREV_ST,2,G_CPU0_SHIM2_PDSEQFSM_PREV_ST,-
IPC::CPU_TDO,SHIM2_READSEQFSM_PS,3,G_CPU0_SHIM2_READSEQFSM_PS,-
IPC::CPU_TDO,SHIM2_READSEQFSM_PREV_ST,3,G_CPU0_SHIM2_READSEQFSM_PREV_ST,-
IPC::CPU_TDO,SHIM2_PGMENSEQFSM_PS,4,G_CPU0_SHIM2_PGMENSEQFSM_PS,-
IPC::CPU_TDO,SHIM2_PGMENSEQFSM_PREV_ST,4,G_CPU0_SHIM2_PGMENSEQFSM_PREV_ST,-
IPC::CPU_TDO,SHIM2_RESERVED_10,10,G_CPU0_SHIM2_RESERVED_10,-
IPC::CPU_TDO,SHIM2_POWERUP_ABORT,1,G_CPU0_SHIM2_POWERUP_ABORT,-
IPC::CPU_TDO,SHIM2_SENSE_ABORT,1,G_CPU0_SHIM2_SENSE_ABORT,-
IPC::CPU_TDO,SHIM2_PGRM_ABORT,1,G_CPU0_SHIM2_PGRM_ABORT,-
IPC::CPU_TDO,SHIM2_RESERVED_1,1,G_CPU0_SHIM2_RESERVED_1,-
IPC::CPU_TDO,SHIM2_PDSEQFSM_PS_CB,0,-,PrimeInsertStringToDutTable(G_CPU0_SHIM2_PDSEQFSM_PS=[SHIM2_PDSEQFSM_PS])
IPC::CPU_TDO,SHIM2_PDSEQFSM_PREV_ST_CB,0,-,PrimeInsertStringToDutTable(G_CPU0_SHIM2_PDSEQFSM_PREV_ST=[SHIM2_PDSEQFSM_PREV_ST])
IPC::CPU_TDO,SHIM2_READSEQFSM_PS_CB,0,-,PrimeInsertStringToDutTable(G_CPU0_SHIM2_READSEQFSM_PS=[SHIM2_READSEQFSM_PS])
IPC::CPU_TDO,SHIM2_READSEQFSM_PREV_ST_CB,0,-,PrimeInsertStringToDutTable(G_CPU0_SHIM2_READSEQFSM_PREV_ST=[SHIM2_READSEQFSM_PREV_ST])
IPC::CPU_TDO,SHIM2_PGMENSEQFSM_PS_CB,0,-,PrimeInsertStringToDutTable(G_CPU0_SHIM2_PGMENSEQFSM_PS=[SHIM2_PGMENSEQFSM_PS])
IPC::CPU_TDO,SHIM2_PGMENSEQFSM_PREV_ST_CB,0,-,PrimeInsertStringToDutTable(G_CPU0_SHIM2_PGMENSEQFSM_PREV_ST=[SHIM2_PGMENSEQFSM_PREV_ST])
IPC::CPU_TDO,SHIM2_RESERVED_10_CB,0,-,PrimeInsertStringToDutTable(G_CPU0_SHIM2_RESERVED_10=[SHIM2_RESERVED_10])
IPC::CPU_TDO,SHIM2_POWERUP_ABORT_CB,0,-,PrimeInsertStringToDutTable(G_CPU0_SHIM2_POWERUP_ABORT=[SHIM2_POWERUP_ABORT])
IPC::CPU_TDO,SHIM2_SENSE_ABORT_CB,0,-,PrimeInsertStringToDutTable(G_CPU0_SHIM2_SENSE_ABORT=[SHIM2_SENSE_ABORT])
