Pin,Field,Size,ItuffToken,Function
IPC::CPU_TDO,SHIM8_ECC_DECODE_VAL,6,G_CPU0_SHIM8_ECC_DECODE_VAL,-
IPC::CPU_TDO,SHIM8_ECC_SYN,6,G_CPU0_SHIM8_ECC_SYN,-
IPC::CPU_TDO,SHIM8_ECC_ENCODE_VAL,6,G_CPU0_SHIM8_ECC_ENCODE_VAL,-
IPC::CPU_TDO,SHIM8_ECC_CORR_STATUS,2,G_CPU0_SHIM8_ECC_CORR_STATUS,-
IPC::CPU_TDO,SHIM8_ECC_1ST_CORR_ROW_SYN,6,G_CPU0_SHIM8_ECC_1ST_CORR_ROW_SYN,-
IPC::CPU_TDO,SHIM8_RESERVED,6,G_CPU0_SHIM8_RESERVED,-
IPC::CPU_TDO,SHIM8_ECC_DECODE_VAL_CB,0,-,PrimeInsertStringToDutTable(G_CPU0_SHIM8_ECC_DECODE_VAL=[SHIM8_ECC_DECODE_VAL])
IPC::CPU_TDO,SHIM8_ECC_SYN_CB,0,-,PrimeInsertStringToDutTable(G_CPU0_SHIM8_ECC_SYN=[SHIM8_ECC_SYN])
IPC::CPU_TDO,SHIM8_ECC_ENCODE_VAL_CB,0,-,PrimeInsertStringToDutTable(G_CPU0_SHIM8_ECC_ENCODE_VAL=[SHIM8_ECC_ENCODE_VAL])
IPC::CPU_TDO,SHIM8_ECC_CORR_STATUS_CB,0,-,PrimeInsertStringToDutTable(G_CPU0_SHIM8_ECC_CORR_STATUS=[SHIM8_ECC_CORR_STATUS])
IPC::CPU_TDO,SHIM8_ECC_1ST_CORR_ROW_SYN_CB,0,-,PrimeInsertStringToDutTable(G_CPU0_SHIM8_ECC_1ST_CORR_ROW_SYN=[SHIM8_ECC_1ST_CORR_ROW_SYN])
IPC::CPU_TDO,SHIM8_RESERVED_CB,0,-,PrimeInsertStringToDutTable(G_CPU0_SHIM8_RESERVED=[SHIM8_RESERVED])
