Entity,FUS_FUSEVLD_CKX_OV_09,FUS_FUSEVLD_CKX_OV_08,FUS_FUSEVLD_CKX_OV_07,DIFF,FUS_FUSEVLD_CKX_OV_09_line,FUS_FUSEVLD_CKX_OV_08_line,FUS_FUSEVLD_CKX_OV_07_line,Symbolized,FUS_FUSEVLD_CKX_OV_09_symbols,FUS_FUSEVLD_CKX_OV_08_symbols,FUS_FUSEVLD_CKX_OV_07_symbols
FUSE_X_FUSECONFIG_K_BEGINCPUPKG_X_X_X_X_VLD_07_OV,,,FUSE_X_FUSECONFIG_K_BEGINCPUPKG_X_X_X_X_VLD_07_OV,OK,,,1131,FUSE_X_FUSECONFIG_K_BEGINCPUPKG_X_X_X_X_VLD_07_OV,,,
FUSE_X_FUSECONFIG_K_BEGINCPUPKG_X_X_X_X_VLD_07_OV.edc,False,False,False,OK,,,,False,,,
FUSE_X_FUSECONFIG_K_BEGINCPUPKG_X_X_X_X_VLD_07_OV.param.BypassPort,,,-1,OK,,,235,,,,
FUSE_X_FUSECONFIG_K_BEGINCPUPKG_X_X_X_X_VLD_07_OV.param.ConfigurationFile,,,"__shared__::TpRule.If_CLASS_NVL_S52C(""./InputFiles/VLD_C2X.setpoints.json"",""./InputFiles/VLD_C1X.setpoints.json"")",OK,,,236,,,,
FUSE_X_FUSECONFIG_K_BEGINCPUPKG_X_X_X_X_VLD_07_OV.param.SetPoint,,,"""CXX_Overvolt07""",OK,,,237,,,,
FUSE_X_FUSECONFIG_K_BEGINCPUPKG_X_X_X_X_VLD_07_OV.connectivity.R-2,,,Return -2,OK,,,1137,,,,
FUSE_X_FUSECONFIG_K_BEGINCPUPKG_X_X_X_X_VLD_07_OV.connectivity.R-1,,,Return -1,OK,,,1143,,,,
FUSE_X_FUSECONFIG_K_BEGINCPUPKG_X_X_X_X_VLD_07_OV.connectivity.R0,,,Return 0,OK,,,1150,,,,
FUSE_X_FUSECONFIG_K_BEGINCPUPKG_X_X_X_X_VLD_07_OV.connectivity.R1,,,GoTo FUSE_X_FUSEREAD_K_BEGINCPUPKG_X_X_X_X_VLD_OV_07,OK,,,1155,,,,
FUSE_X_FUSECONFIG_K_BEGINCPUPKG_X_X_X_X_VLD_08_OV,,FUSE_X_FUSECONFIG_K_BEGINCPUPKG_X_X_X_X_VLD_08_OV,,OK,,1026,,FUSE_X_FUSECONFIG_K_BEGINCPUPKG_X_X_X_X_VLD_08_OV,,,
FUSE_X_FUSECONFIG_K_BEGINCPUPKG_X_X_X_X_VLD_08_OV.edc,False,False,False,OK,,,,False,,,
