Pin,Field,Size,ItuffToken,Function
IPC::CPU_TDO,CTRL_RESUME0,1,G_CPU0_TAP_CTRL_RESUME0,-
IPC::CPU_TDO,CTRL_RESUME1,1,G_CPU0_TAP_CTRL_RESUME1,-
IPC::CPU_TDO,RELOCK_REQUEST,1,G_CPU0_TAP_CTRL_RELOCK_REQUEST,-
IPC::CPU_TDO,UNLOCK_REQUEST,1,G_CPU0_TAP_CTRL_UNLOCK_REQUEST,-
IPC::CPU_TDO,PC_PERS_SELECT,3,G_CPU0_TAP_CTRL_PC_PERS_SELECT,-
IPC::CPU_TDO,ENABLE_DAM_HW,1,G_CPU0_TAP_CTRL_ENABLE_DAM_HW,-
IPC::CPU_TDO,PC_PERS_EN,6,G_CPU0_TAP_CTRL_PC_PERS_EN,-
IPC::CPU_TDO,HASH_BYPASS_CTL,1,G_CPU0_TAP_CTRL_HASH_BYPASS_CTL,-
IPC::CPU_TDO,INTEL_PC_PWD_PROV,1,G_CPU0_TAP_CTRL_INTEL_PC_PWD_PROV,-
IPC::CPU_TDO,PC_PERS_MASK_PAR,6,G_CPU0_TAP_CTRL_PC_PERS_MASK_PAR,-
IPC::CPU_TDO,OEM_PC_PWD_PROV,1,G_CPU0_TAP_CTRL_OEM_PC_PWD_PROV,-
IPC::CPU_TDO,DCE_VALID,1,G_CPU0_TAP_CTRL_DCE_VALID,-
IPC::CPU_TDO,TAP_MAILBOX,8,G_CPU0_TAP_CTRL_TAP_MAILBOX,-
IPC::CPU_TDO,DAM_ENABLE,1,G_CPU0_STATUS_0_DAM_ENABLE,-
IPC::CPU_TDO,EARLY_BOOT_DEBUG_EXIT,1,G_CPU0_STATUS_0_EARLY_BOOT_DEBUG_EXIT,-
IPC::CPU_TDO,POLICY_IS_FINAL_OUTPUT,1,G_CPU0_STATUS_0_POLICY_IS_FINAL_OUTPUT,-
IPC::CPU_TDO,POLICY_UPDATE,1,G_CPU0_STATUS_0_POLICY_UPDATE,-
IPC::CPU_TDO,DLCS,3,G_CPU0_STATUS_0_DLCS,-
IPC::CPU_TDO,A0_DEBUG_STRAP,1,G_CPU0_STATUS_0_A0_DEBUG_STRAP,-
IPC::CPU_TDO,BOOT_HALT_POST_NAND_SYNC,1,G_CPU0_STATUS_0_BOOT_HALT_POST_NAND_SYNC,-
IPC::CPU_TDO,EARLY_BOOT_DONE,1,G_CPU0_STATUS_0_EARLY_BOOT_DONE,-
IPC::CPU_TDO,PERSONALITY_EVALUATED,2,G_CPU0_STATUS_0_PERSONALITY_EVALUATED,-
IPC::CPU_TDO,PERSONALITY,3,G_CPU0_STATUS_0_PERSONALITY,-
IPC::CPU_TDO,FUSE_PULL_DONE,1,G_CPU0_STATUS_0_FUSE_PULL_DONE,-
IPC::CPU_TDO,DPFV,3,G_CPU0_STATUS_0_DPFV,-
IPC::CPU_TDO,SUPERSKU_ENABLED_DPFE,1,G_CPU0_STATUS_0_SUPERSKU_ENABLED_DPFE,-
IPC::CPU_TDO,POLICY_OUTPUT,8,G_CPU0_STATUS_0_POLICY_OUTPUT,-
IPC::CPU_TDO,FUSE_SENSE_ERROR,1,G_CPU0_STATUS_0_FUSE_SENSE_ERROR,-
