Pin,CPU,Domain,Sequence,Subsequence,Register,Field,Size,Equation,ItuffToken,StorageToken
CPU_TDO,CPU,ATOM0,AGS_0,_CH0,ADC0,ADC0_AGSVIEW_L2EN,10,-,-,I:DUT.CPU_ATOM0_AGSVIEW_L2EN_CH0_AGS_0
CPU_TDO,CPU,ATOM0,DGS_0,_CH0,ADC1,ADC1_AGSVIEW_L2EN,10,-,-,I:DUT.CPU_ATOM0_AGSVIEW_L2EN_CH0_DGS_0
CPU_TDO,CPU,ATOM1,AGS_0,_CH0,ADC0,ADC0_AGSVIEW_L2EN,10,-,-,I:DUT.CPU_ATOM1_AGSVIEW_L2EN_CH0_AGS_0
CPU_TDO,CPU,ATOM1,DGS_0,_CH0,ADC1,ADC1_AGSVIEW_L2EN,10,-,-,I:DUT.CPU_ATOM1_AGSVIEW_L2EN_CH0_DGS_0
CPU_TDO,CPU,CORE0P,AGS_0,_CH0,ADC0,ADC0_AGSVIEW_L2EN,10,-,-,I:DUT.CPU_CORE0P_AGSVIEW_L2EN_CH0_AGS_0
CPU_TDO,CPU,CORE0P,DGS_0,_CH0,ADC1,ADC1_AGSVIEW_L2EN,10,-,-,I:DUT.CPU_CORE0P_AGSVIEW_L2EN_CH0_DGS_0
CPU_TDO,CPU,CORE0S,AGS_0,_CH0,ADC0,ADC0_AGSVIEW_L2EN,10,-,-,I:DUT.CPU_CORE0S_AGSVIEW_L2EN_CH0_AGS_0
CPU_TDO,CPU,CORE0S,DGS_0,_CH0,ADC1,ADC1_AGSVIEW_L2EN,10,-,-,I:DUT.CPU_CORE0S_AGSVIEW_L2EN_CH0_DGS_0
CPU_TDO,CPU,CORE1P,AGS_0,_CH0,ADC0,ADC0_AGSVIEW_L2EN,10,-,-,I:DUT.CPU_CORE1P_AGSVIEW_L2EN_CH0_AGS_0
CPU_TDO,CPU,CORE1P,DGS_0,_CH0,ADC1,ADC1_AGSVIEW_L2EN,10,-,-,I:DUT.CPU_CORE1P_AGSVIEW_L2EN_CH0_DGS_0
CPU_TDO,CPU,CORE1S,AGS_0,_CH0,ADC0,ADC0_AGSVIEW_L2EN,10,-,-,I:DUT.CPU_CORE1S_AGSVIEW_L2EN_CH0_AGS_0
CPU_TDO,CPU,CORE1S,DGS_0,_CH0,ADC1,ADC1_AGSVIEW_L2EN,10,-,-,I:DUT.CPU_CORE1S_AGSVIEW_L2EN_CH0_DGS_0
CPU_TDO,CPU,RINGPRIM,AGS_0,_CH0,ADC0,ADC0_AGSVIEW_L2EN,10,-,-,I:DUT.CPU_RINGPRIM_AGSVIEW_L2EN_CH0_AGS_0
CPU_TDO,CPU,RINGPRIM,DGS_0,_CH0,ADC1,ADC1_AGSVIEW_L2EN,10,-,-,I:DUT.CPU_RINGPRIM_AGSVIEW_L2EN_CH0_DGS_0
CPU_TDO,CPU,RINGSEC0,AGS_0,_CH0,ADC0,ADC0_AGSVIEW_L2EN,10,-,-,I:DUT.CPU_RINGSEC0_AGSVIEW_L2EN_CH0_AGS_0
CPU_TDO,CPU,RINGSEC0,DGS_0,_CH0,ADC1,ADC1_AGSVIEW_L2EN,10,-,-,I:DUT.CPU_RINGSEC0_AGSVIEW_L2EN_CH0_DGS_0
CPU_TDO,CPU,ATOM0,BGBUF_0,_CH0,ADC0,ADC0_AGSVIEW_L2EN,10,-,-,I:DUT.CPU_ATOM0_AGSVIEW_L2EN_CH0_BGBUF_0
CPU_TDO,CPU,ATOM1,BGBUF_0,_CH0,ADC0,ADC0_AGSVIEW_L2EN,10,-,-,I:DUT.CPU_ATOM1_AGSVIEW_L2EN_CH0_BGBUF_0
CPU_TDO,CPU,CORE0P,BGBUF_0,_CH0,ADC0,ADC0_AGSVIEW_L2EN,10,-,-,I:DUT.CPU_CORE0P_AGSVIEW_L2EN_CH0_BGBUF_0
