Pin,Domain,Register,Field,Size,Base,StringData,Equation,ItuffToken,ItuffDescriptor,ExitPort,StorageToken
CPU_TDO,ATOM0,ADC0,FIELD_1,10,-,-,((this/1024)*0.8),CPU_VBGBY2,,-,D:DUT.CPU_ATOM0_VBGBY2
CPU_TDO,ATOM0,ADC1,FIELD_2,10,-,-,((this/1024)*0.8),CPU_AMP_VINP,,-,D:DUT.CPU_ATOM0_AMP_VINP
CPU_TDO,ATOM0,ADC0,FIELD_3,10,-,-,((this/1024)*0.8),CPU_PREMUX,,-,D:DUT.CPU_ATOM0_PREMUX
CPU_TDO,ATOM0,ADC1,FIELD_4,10,-,-,((this/1024)*0.8),CPU_AMP_VINM,,-,D:DUT.CPU_ATOM0_AMP_VINM
CPU_TDO,ATOM0,ADC0,FIELD_5,10,-,-,((this/1024)*0.8),CPU_PREMUX1,,-,D:DUT.CPU_ATOM0_PREMUX
CPU_TDO,ATOM0,ADC1,FIELD_6,10,-,-,((this/1024)*0.8),CPU_OTAPBIAS,,-,D:DUT.CPU_ATOM0_OTAPBIAS
CPU_TDO,ATOM1,ADC0,FIELD_1,10,-,-,((this/1024)*0.8),CPU_VBGBY2,,-,D:DUT.CPU_ATOM1_VBGBY2
CPU_TDO,ATOM1,ADC1,FIELD_2,10,-,-,((this/1024)*0.8),CPU_AMP_VINP,,-,D:DUT.CPU_ATOM1_AMP_VINP
CPU_TDO,ATOM1,ADC0,FIELD_3,10,-,-,((this/1024)*0.8),CPU_PREMUX,,-,D:DUT.CPU_ATOM1_PREMUX
CPU_TDO,ATOM1,ADC1,FIELD_4,10,-,-,((this/1024)*0.8),CPU_AMP_VINM,,-,D:DUT.CPU_ATOM1_AMP_VINM
CPU_TDO,ATOM1,ADC0,FIELD_5,10,-,-,((this/1024)*0.8),CPU_PREMUX1,,-,D:DUT.CPU_ATOM1_PREMUX
CPU_TDO,ATOM1,ADC1,FIELD_6,10,-,-,((this/1024)*0.8),CPU_OTAPBIAS,,-,D:DUT.CPU_ATOM1_OTAPBIAS
CPU_TDO,CORE0P,ADC0,FIELD_1,10,-,-,((this/1024)*0.8),CPU_VBGBY2,,-,D:DUT.CPU_CORE0P_VBGBY2
CPU_TDO,CORE0P,ADC1,FIELD_2,10,-,-,((this/1024)*0.8),CPU_AMP_VINP,,-,D:DUT.CPU_CORE0P_AMP_VINP
CPU_TDO,CORE0P,ADC0,FIELD_3,10,-,-,((this/1024)*0.8),CPU_PREMUX,,-,D:DUT.CPU_CORE0P_PREMUX
CPU_TDO,CORE0P,ADC1,FIELD_4,10,-,-,((this/1024)*0.8),CPU_AMP_VINM,,-,D:DUT.CPU_CORE0P_AMP_VINM
CPU_TDO,CORE0P,ADC0,FIELD_5,10,-,-,((this/1024)*0.8),CPU_PREMUX1,,-,D:DUT.CPU_CORE0P_PREMUX
CPU_TDO,CORE0P,ADC1,FIELD_6,10,-,-,((this/1024)*0.8),CPU_OTAPBIAS,,-,D:DUT.CPU_CORE0P_OTAPBIAS
CPU_TDO,CORE0S,ADC0,FIELD_1,10,-,-,((this/1024)*0.8),CPU_VBGBY2,,-,D:DUT.CPU_CORE0S_VBGBY2
CPU_TDO,CORE0S,ADC1,FIELD_2,10,-,-,((this/1024)*0.8),CPU_AMP_VINP,,-,D:DUT.CPU_CORE0S_AMP_VINP
CPU_TDO,CORE0S,ADC0,FIELD_3,10,-,-,((this/1024)*0.8),CPU_PREMUX,,-,D:DUT.CPU_CORE0S_PREMUX
CPU_TDO,CORE0S,ADC1,FIELD_4,10,-,-,((this/1024)*0.8),CPU_AMP_VINM,,-,D:DUT.CPU_CORE0S_AMP_VINM
CPU_TDO,CORE0S,ADC0,FIELD_5,10,-,-,((this/1024)*0.8),CPU_PREMUX1,,-,D:DUT.CPU_CORE0S_PREMUX
CPU_TDO,CORE0S,ADC1,FIELD_6,10,-,-,((this/1024)*0.8),CPU_OTAPBIAS,,-,D:DUT.CPU_CORE0S_OTAPBIAS
CPU_TDO,CORE1P,ADC0,FIELD_1,10,-,-,((this/1024)*0.8),CPU_VBGBY2,,-,D:DUT.CPU_CORE1P_VBGBY2
CPU_TDO,CORE1P,ADC1,FIELD_2,10,-,-,((this/1024)*0.8),CPU_AMP_VINP,,-,D:DUT.CPU_CORE1P_AMP_VINP
CPU_TDO,CORE1P,ADC0,FIELD_3,10,-,-,((this/1024)*0.8),CPU_PREMUX,,-,D:DUT.CPU_CORE1P_PREMUX
CPU_TDO,CORE1P,ADC1,FIELD_4,10,-,-,((this/1024)*0.8),CPU_AMP_VINM,,-,D:DUT.CPU_CORE1P_AMP_VINM
CPU_TDO,CORE1P,ADC0,FIELD_5,10,-,-,((this/1024)*0.8),CPU_PREMUX1,,-,D:DUT.CPU_CORE1P_PREMUX
CPU_TDO,CORE1P,ADC1,FIELD_6,10,-,-,((this/1024)*0.8),CPU_OTAPBIAS,,-,D:DUT.CPU_CORE1P_OTAPBIAS
CPU_TDO,CORE1S,ADC0,FIELD_1,10,-,-,((this/1024)*0.8),CPU_VBGBY2,,-,D:DUT.CPU_CORE1S_VBGBY2
CPU_TDO,CORE1S,ADC1,FIELD_2,10,-,-,((this/1024)*0.8),CPU_AMP_VINP,,-,D:DUT.CPU_CORE1S_AMP_VINP
CPU_TDO,CORE1S,ADC0,FIELD_3,10,-,-,((this/1024)*0.8),CPU_PREMUX,,-,D:DUT.CPU_CORE1S_PREMUX
CPU_TDO,CORE1S,ADC1,FIELD_4,10,-,-,((this/1024)*0.8),CPU_AMP_VINM,,-,D:DUT.CPU_CORE1S_AMP_VINM
CPU_TDO,CORE1S,ADC0,FIELD_5,10,-,-,((this/1024)*0.8),CPU_PREMUX1,,-,D:DUT.CPU_CORE1S_PREMUX
CPU_TDO,CORE1S,ADC1,FIELD_6,10,-,-,((this/1024)*0.8),CPU_OTAPBIAS,,-,D:DUT.CPU_CORE1S_OTAPBIAS
CPU_TDO,RINGPRIM,ADC0,FIELD_1,10,-,-,((this/1024)*0.8),CPU_VBGBY2,,-,D:DUT.CPU_RINGPRIM_VBGBY2
CPU_TDO,RINGPRIM,ADC1,FIELD_2,10,-,-,((this/1024)*0.8),CPU_AMP_VINP,,-,D:DUT.CPU_RINGPRIM_AMP_VINP
CPU_TDO,RINGPRIM,ADC0,FIELD_3,10,-,-,((this/1024)*0.8),CPU_PREMUX,,-,D:DUT.CPU_RINGPRIM_PREMUX
CPU_TDO,RINGPRIM,ADC1,FIELD_4,10,-,-,((this/1024)*0.8),CPU_AMP_VINM,,-,D:DUT.CPU_RINGPRIM_AMP_VINM
CPU_TDO,RINGPRIM,ADC0,FIELD_5,10,-,-,((this/1024)*0.8),CPU_PREMUX1,,-,D:DUT.CPU_RINGPRIM_PREMUX
CPU_TDO,RINGPRIM,ADC1,FIELD_6,10,-,-,((this/1024)*0.8),CPU_OTAPBIAS,,-,D:DUT.CPU_RINGPRIM_OTAPBIAS
CPU_TDO,RINGSEC0,ADC0,FIELD_1,10,-,-,((this/1024)*0.8),CPU_VBGBY2,,-,D:DUT.CPU_RINGSEC0_VBGBY2
CPU_TDO,RINGSEC0,ADC1,FIELD_2,10,-,-,((this/1024)*0.8),CPU_AMP_VINP,,-,D:DUT.CPU_RINGSEC0_AMP_VINP
CPU_TDO,RINGSEC0,ADC0,FIELD_3,10,-,-,((this/1024)*0.8),CPU_PREMUX,,-,D:DUT.CPU_RINGSEC0_PREMUX
CPU_TDO,RINGSEC0,ADC1,FIELD_4,10,-,-,((this/1024)*0.8),CPU_AMP_VINM,,-,D:DUT.CPU_RINGSEC0_AMP_VINM
CPU_TDO,RINGSEC0,ADC0,FIELD_5,10,-,-,((this/1024)*0.8),CPU_PREMUX1,,-,D:DUT.CPU_RINGSEC0_PREMUX
CPU_TDO,RINGSEC0,ADC1,FIELD_6,10,-,-,((this/1024)*0.8),CPU_OTAPBIAS,,-,D:DUT.CPU_RINGSEC0_OTAPBIAS
