Pin,CPU,Domain,Sequence,Subsequence,Register,Field,Size,Equation,ItuffToken,StorageToken
CPU_TDO,CPU,ATOM0,VBGREF_CH1,-,ADC1,ADC1_VBGREF,10,-,-,I:DUT.CPU_ATOM0_VBGREF_CH1
CPU_TDO,CPU,ATOM1,VBGREF_CH1,-,ADC1,ADC1_VBGREF,10,-,-,I:DUT.CPU_ATOM1_VBGREF_CH1
CPU_TDO,CPU,CORE0P,VBGREF_CH1,-,ADC1,ADC1_VBGREF,10,-,-,I:DUT.CPU_CORE0P_VBGREF_CH1
CPU_TDO,CPU,CORE0S,VBGREF_CH1,-,ADC1,ADC1_VBGREF,10,-,-,I:DUT.CPU_CORE0S_VBGREF_CH1
CPU_TDO,CPU,CORE1P,VBGREF_CH1,-,ADC1,ADC1_VBGREF,10,-,-,I:DUT.CPU_CORE1P_VBGREF_CH1
CPU_TDO,CPU,CORE1S,VBGREF_CH1,-,ADC1,ADC1_VBGREF,10,-,-,I:DUT.CPU_CORE1S_VBGREF_CH1
CPU_TDO,CPU,RINGPRIM,VBGREF_CH1,-,ADC1,ADC1_VBGREF,10,-,-,I:DUT.CPU_RINGPRIM_VBGREF_CH1
CPU_TDO,CPU,RINGSEC0,VBGREF_CH1,-,ADC1,ADC1_VBGREF,10,-,-,I:DUT.CPU_RINGSEC0_VBGREF_CH1
CPU_TDO,CPU,ATOM0,BGBUFF_CH1,-,ADC1,ADC1_BGBUFF,10,-,-,I:DUT.CPU_ATOM0_BGBUFF_CH1
CPU_TDO,CPU,ATOM1,BGBUFF_CH1,-,ADC1,ADC1_BGBUFF,10,-,-,I:DUT.CPU_ATOM1_BGBUFF_CH1
CPU_TDO,CPU,CORE0P,BGBUFF_CH1,-,ADC1,ADC1_BGBUFF,10,-,-,I:DUT.CPU_CORE0P_BGBUFF_CH1
CPU_TDO,CPU,CORE0S,BGBUFF_CH1,-,ADC1,ADC1_BGBUFF,10,-,-,I:DUT.CPU_CORE0S_BGBUFF_CH1
CPU_TDO,CPU,CORE1P,BGBUFF_CH1,-,ADC1,ADC1_BGBUFF,10,-,-,I:DUT.CPU_CORE1P_BGBUFF_CH1
CPU_TDO,CPU,CORE1S,BGBUFF_CH1,-,ADC1,ADC1_BGBUFF,10,-,-,I:DUT.CPU_CORE1S_BGBUFF_CH1
CPU_TDO,CPU,RINGPRIM,BGBUFF_CH1,-,ADC1,ADC1_BGBUFF,10,-,-,I:DUT.CPU_RINGPRIM_BGBUFF_CH1
CPU_TDO,CPU,RINGSEC0,BGBUFF_CH1,-,ADC1,ADC1_BGBUFF,10,-,-,I:DUT.CPU_RINGSEC0_BGBUFF_CH1
CPU_TDO,CPU,ATOM0,AGSH_CH1,-,ADC1,ADC1_AGSH,10,-,-,I:DUT.CPU_ATOM0_AGSH_CH1
CPU_TDO,CPU,ATOM1,AGSH_CH1,-,ADC1,ADC1_AGSH,10,-,-,I:DUT.CPU_ATOM1_AGSH_CH1
CPU_TDO,CPU,CORE0P,AGSH_CH1,-,ADC1,ADC1_AGSH,10,-,-,I:DUT.CPU_CORE0P_AGSH_CH1
CPU_TDO,CPU,CORE0S,AGSH_CH1,-,ADC1,ADC1_AGSH,10,-,-,I:DUT.CPU_CORE0S_AGSH_CH1
CPU_TDO,CPU,CORE1P,AGSH_CH1,-,ADC1,ADC1_AGSH,10,-,-,I:DUT.CPU_CORE1P_AGSH_CH1
CPU_TDO,CPU,CORE1S,AGSH_CH1,-,ADC1,ADC1_AGSH,10,-,-,I:DUT.CPU_CORE1S_AGSH_CH1
CPU_TDO,CPU,RINGPRIM,AGSH_CH1,-,ADC1,ADC1_AGSH,10,-,-,I:DUT.CPU_RINGPRIM_AGSH_CH1
CPU_TDO,CPU,RINGSEC0,AGSH_CH1,-,ADC1,ADC1_AGSH,10,-,-,I:DUT.CPU_RINGSEC0_AGSH_CH1
CPU_TDO,CPU,ATOM0,AGSHGATEDBY2_CH1,-,ADC1,ADC1_AGSHGATEDBY2,10,-,-,I:DUT.CPU_ATOM0_AGSHGATEDBY2_CH1
CPU_TDO,CPU,ATOM1,AGSHGATEDBY2_CH1,-,ADC1,ADC1_AGSHGATEDBY2,10,-,-,I:DUT.CPU_ATOM1_AGSHGATEDBY2_CH1
CPU_TDO,CPU,CORE0P,AGSHGATEDBY2_CH1,-,ADC1,ADC1_AGSHGATEDBY2,10,-,-,I:DUT.CPU_CORE0P_AGSHGATEDBY2_CH1
CPU_TDO,CPU,CORE0S,AGSHGATEDBY2_CH1,-,ADC1,ADC1_AGSHGATEDBY2,10,-,-,I:DUT.CPU_CORE0S_AGSHGATEDBY2_CH1
