Pin,Domain,Register,Field,Size,Base,StringData,Equation,ItuffToken,ItuffDescriptor,ExitPort,StorageToken
CPU_TDO,ATOM0,ADC0,FIELD_1,10,-,-,((this/1024)*0.8),CPU_EHVPRB1,,-,-
CPU_TDO,ATOM0,ADC1,FIELD_2,10,-,-,((this/1024)*0.8),CPU_CRIR,,-,-
CPU_TDO,ATOM0,ADC0,FIELD_3,10,-,-,((this/1024)*0.8),CPU_EHVPRB2,,-,-
CPU_TDO,ATOM0,ADC1,FIELD_4,10,-,-,((this/1024)*0.8),CPU_VREFAMP_VINM,,-,-
CPU_TDO,ATOM0,ADC0,FIELD_5,10,-,-,((this/1024)*0.8),CPU_EHVPRB3,,-,-
CPU_TDO,ATOM0,ADC1,FIELD_6,10,-,-,((this/1024)*0.8),CPU_MRREPLICAAMP_OUT,,-,-
CPU_TDO,ATOM0,ADC0,FIELD_7,10,-,-,((this/1024)*0.8),CPU_CSXAMP_VINP_BY2,,-,-
CPU_TDO,ATOM0,ADC1,FIELD_8,10,-,-,((this/1024)*0.8),CPU_EHVPRB4,,-,-
CPU_TDO,ATOM0,ADC0,FIELD_9,10,-,-,((this/1024)*0.8),CPU_CSXAMP_VINM_BY2,,-,-
CPU_TDO,ATOM0,ADC1,FIELD_10,10,-,-,((this/1024)*0.8),CPU_EHVPRB5,,-,-
CPU_TDO,ATOM0,ADC0,FIELD_11,10,-,-,((this/1024)*0.8),CPU_CSXAMP_OUT_BY2,,-,-
CPU_TDO,ATOM0,ADC1,FIELD_12,10,-,-,((this/1024)*0.8),CPU_EHVPRB6,,-,-
CPU_TDO,ATOM0,ADC0,FIELD_13,10,-,-,((this/1024)*0.8),CPU_MRBOT,,-,-
CPU_TDO,ATOM0,ADC1,FIELD_14,10,-,-,((this/1024)*0.8),CPU_VREFAMP_OUT_BY2,,-,-
CPU_TDO,ATOM0,ADC0,FIELD_15,10,-,-,((this/1024)*0.8),CPU_PG_BOT2,,-,-
CPU_TDO,ATOM0,ADC1,FIELD_16,10,-,-,((this/1024)*0.8),CPU_CSREPLICA_VINM_BY2,,-,-
CPU_TDO,ATOM0,ADC0,FIELD_17,10,-,-,((this/1024)*0.8),CPU_PG_BOT1,,-,-
CPU_TDO,ATOM0,ADC1,FIELD_18,10,-,-,((this/1024)*0.8),CPU_VREFAMP_VINP,,-,-
CPU_TDO,ATOM1,ADC0,FIELD_1,10,-,-,((this/1024)*0.8),CPU_EHVPRB1,,-,-
CPU_TDO,ATOM1,ADC1,FIELD_2,10,-,-,((this/1024)*0.8),CPU_CRIR,,-,-
CPU_TDO,ATOM1,ADC0,FIELD_3,10,-,-,((this/1024)*0.8),CPU_EHVPRB2,,-,-
CPU_TDO,ATOM1,ADC1,FIELD_4,10,-,-,((this/1024)*0.8),CPU_VREFAMP_VINM,,-,-
CPU_TDO,ATOM1,ADC0,FIELD_5,10,-,-,((this/1024)*0.8),CPU_EHVPRB3,,-,-
CPU_TDO,ATOM1,ADC1,FIELD_6,10,-,-,((this/1024)*0.8),CPU_MRREPLICAAMP_OUT,,-,-
CPU_TDO,ATOM1,ADC0,FIELD_7,10,-,-,((this/1024)*0.8),CPU_CSXAMP_VINP_BY2,,-,-
CPU_TDO,ATOM1,ADC1,FIELD_8,10,-,-,((this/1024)*0.8),CPU_EHVPRB4,,-,-
CPU_TDO,ATOM1,ADC0,FIELD_9,10,-,-,((this/1024)*0.8),CPU_CSXAMP_VINM_BY2,,-,-
CPU_TDO,ATOM1,ADC1,FIELD_10,10,-,-,((this/1024)*0.8),CPU_EHVPRB5,,-,-
CPU_TDO,ATOM1,ADC0,FIELD_11,10,-,-,((this/1024)*0.8),CPU_CSXAMP_OUT_BY2,,-,-
