Pin,Domain,Register,Field,Size,Base,StringData,ItuffToken,ItuffDescriptor,ExitPort,StorageToken,Equation
CPU_TDO,ATOM0,CLK_GATING,CRIA,1,-,-,CRIA,,-,-,-
CPU_TDO,ATOM0,CLK_GATING,CRIR,1,-,-,CRIR,,-,-,-
CPU_TDO,ATOM0,DLVR_TAP_RAIL_STATUS_RED,CRI_CLK_ACK_H,1,-,-,CRI_CLK_1,,-,-,-
CPU_TDO,ATOM0,DLVR_TAP_RAIL_STATUS_RED,CRI_CLK_ACK_H1,1,-,-,CRI_CLK_0,,-,-,-
CPU_TDO,ATOM1,CLK_GATING,CRIA,1,-,-,CRIA,,-,-,-
CPU_TDO,ATOM1,CLK_GATING,CRIR,1,-,-,CRIR,,-,-,-
CPU_TDO,ATOM1,DLVR_TAP_RAIL_STATUS_RED,CRI_CLK_ACK_H,1,-,-,CRI_CLK_1,,-,-,-
CPU_TDO,ATOM1,DLVR_TAP_RAIL_STATUS_RED,CRI_CLK_ACK_H1,1,-,-,CRI_CLK_0,,-,-,-
CPU_TDO,CORE0P,CLK_GATING,CRIA,1,-,-,CRIA,,-,-,-
CPU_TDO,CORE0P,CLK_GATING,CRIR,1,-,-,CRIR,,-,-,-
CPU_TDO,CORE0P,DLVR_TAP_RAIL_STATUS_RED,CRI_CLK_ACK_H,1,-,-,CRI_CLK_1,,-,-,-
CPU_TDO,CORE0P,DLVR_TAP_RAIL_STATUS_RED,CRI_CLK_ACK_H1,1,-,-,CRI_CLK_0,,-,-,-
CPU_TDO,CORE0S,CLK_GATING,CRIA,1,-,-,CRIA,,-,-,-
CPU_TDO,CORE0S,CLK_GATING,CRIR,1,-,-,CRIR,,-,-,-
CPU_TDO,CORE0S,DLVR_TAP_RAIL_STATUS_RED,CRI_CLK_ACK_H,1,-,-,CRI_CLK_1,,-,-,-
CPU_TDO,CORE0S,DLVR_TAP_RAIL_STATUS_RED,CRI_CLK_ACK_H1,1,-,-,CRI_CLK_0,,-,-,-
CPU_TDO,CORE1P,CLK_GATING,CRIA,1,-,-,CRIA,,-,-,-
CPU_TDO,CORE1P,CLK_GATING,CRIR,1,-,-,CRIR,,-,-,-
CPU_TDO,CORE1P,DLVR_TAP_RAIL_STATUS_RED,CRI_CLK_ACK_H,1,-,-,CRI_CLK_1,,-,-,-
CPU_TDO,CORE1P,DLVR_TAP_RAIL_STATUS_RED,CRI_CLK_ACK_H1,1,-,-,CRI_CLK_0,,-,-,-
CPU_TDO,CORE1S,CLK_GATING,CRIA,1,-,-,CRIA,,-,-,-
CPU_TDO,CORE1S,CLK_GATING,CRIR,1,-,-,CRIR,,-,-,-
CPU_TDO,CORE1S,DLVR_TAP_RAIL_STATUS_RED,CRI_CLK_ACK_H,1,-,-,CRI_CLK_1,,-,-,-
CPU_TDO,CORE1S,DLVR_TAP_RAIL_STATUS_RED,CRI_CLK_ACK_H1,1,-,-,CRI_CLK_0,,-,-,-
CPU_TDO,RINGPRIM,CLK_GATING,CRIA,1,-,-,CRIA,,-,-,-
CPU_TDO,RINGPRIM,CLK_GATING,CRIR,1,-,-,CRIR,,-,-,-
CPU_TDO,RINGPRIM,DLVR_TAP_RAIL_STATUS_RED,CRI_CLK_ACK_H,1,-,-,CRI_CLK_1,,-,-,-
CPU_TDO,RINGPRIM,DLVR_TAP_RAIL_STATUS_RED,CRI_CLK_ACK_H1,1,-,-,CRI_CLK_0,,-,-,-
CPU_TDO,RINGSEC0,CLK_GATING,CRIA,1,-,-,CRIA,,-,-,-
CPU_TDO,RINGSEC0,CLK_GATING,CRIR,1,-,-,CRIR,,-,-,-
CPU_TDO,RINGSEC0,DLVR_TAP_RAIL_STATUS_RED,CRI_CLK_ACK_H,1,-,-,CRI_CLK_1,,-,-,-
CPU_TDO,RINGSEC0,DLVR_TAP_RAIL_STATUS_RED,CRI_CLK_ACK_H1,1,-,-,CRI_CLK_0,,-,-,-
