Pin,ITER,PARAM,TAP,Domain,Register,Field,Size,Base,ExpectedData,LowLimit,HighLimit,StringData,ItuffToken,ItuffDescriptor,ExitPort,StorageToken,Equation
CPU_TDO,0,UGB_BOT,ATOMSLICE0_DLVRLATOM,ATOM0,DLVR_TAP_TRIM_STATUS,DFX_TRIM_DONE,1,-,-,0,31,-,,,-,-,-
CPU_TDO,0,UGB_BOT,ATOMSLICE0_DLVRLATOM,ATOM0,DLVR_TAP_TRIM_STATUS,DFX_TRIM_ERR,1,-,-,0,31,-,,,-,-,-
CPU_TDO,0,UGB_BOT,ATOMSLICE0_DLVRLATOM,ATOM0,DLVR_TAP_TRIM_STATUS,DFX_TRIM_CODE,5,-,-,0,31,-,,,-,I:DUT.CPU_ATOM0_UGB_BOT_0,-
CPU_TDO,0,UGB_BOT,ATOMSLICE0_DLVRRATOM,ATOM1,DLVR_TAP_TRIM_STATUS,DFX_TRIM_DONE,1,-,-,0,31,-,,,-,-,-
CPU_TDO,0,UGB_BOT,ATOMSLICE0_DLVRRATOM,ATOM1,DLVR_TAP_TRIM_STATUS,DFX_TRIM_ERR,1,-,-,0,31,-,,,-,-,-
CPU_TDO,0,UGB_BOT,ATOMSLICE0_DLVRRATOM,ATOM1,DLVR_TAP_TRIM_STATUS,DFX_TRIM_CODE,5,-,-,0,31,-,,,-,I:DUT.CPU_ATOM1_UGB_BOT_0,-
CPU_TDO,0,UGB_BOT,BCSLICE0_BSL_DLVRCORE_BOT,CORE0P,DLVR_TAP_TRIM_STATUS,DFX_TRIM_DONE,1,-,-,0,31,-,,,-,-,-
CPU_TDO,0,UGB_BOT,BCSLICE0_BSL_DLVRCORE_BOT,CORE0P,DLVR_TAP_TRIM_STATUS,DFX_TRIM_ERR,1,-,-,0,31,-,,,-,-,-
CPU_TDO,0,UGB_BOT,BCSLICE0_BSL_DLVRCORE_BOT,CORE0P,DLVR_TAP_TRIM_STATUS,DFX_TRIM_CODE,5,-,-,0,31,-,,,-,I:DUT.CPU_CORE0P_UGB_BOT_0,-
CPU_TDO,0,UGB_BOT,BCSLICE0_BSR_DLVRCORE_BOT,CORE1P,DLVR_TAP_TRIM_STATUS,DFX_TRIM_DONE,1,-,-,0,31,-,,,-,-,-
CPU_TDO,0,UGB_BOT,BCSLICE0_BSR_DLVRCORE_BOT,CORE1P,DLVR_TAP_TRIM_STATUS,DFX_TRIM_ERR,1,-,-,0,31,-,,,-,-,-
CPU_TDO,0,UGB_BOT,BCSLICE0_BSR_DLVRCORE_BOT,CORE1P,DLVR_TAP_TRIM_STATUS,DFX_TRIM_CODE,5,-,-,0,31,-,,,-,I:DUT.CPU_CORE1P_UGB_BOT_0,-
CPU_TDO,0,UGB_BOT,BCSLICE0_BSL_DLVRRING,RINGPRIM,DLVR_TAP_TRIM_STATUS,DFX_TRIM_DONE,1,-,-,0,31,-,,,-,-,-
CPU_TDO,0,UGB_BOT,BCSLICE0_BSL_DLVRRING,RINGPRIM,DLVR_TAP_TRIM_STATUS,DFX_TRIM_ERR,1,-,-,0,31,-,,,-,-,-
CPU_TDO,0,UGB_BOT,BCSLICE0_BSL_DLVRRING,RINGPRIM,DLVR_TAP_TRIM_STATUS,DFX_TRIM_CODE,5,-,-,0,31,-,,,-,I:DUT.CPU_RINGPRIM_UGB_BOT_0,-
CPU_TDO,0,UGB_TOP,ATOMSLICE0_DLVRLATOM,ATOM0,DLVR_TAP_TRIM_STATUS,DFX_TRIM_DONE,1,-,-,0,31,-,,,-,-,-
CPU_TDO,0,UGB_TOP,ATOMSLICE0_DLVRLATOM,ATOM0,DLVR_TAP_TRIM_STATUS,DFX_TRIM_ERR,1,-,-,0,31,-,,,-,-,-
CPU_TDO,0,UGB_TOP,ATOMSLICE0_DLVRLATOM,ATOM0,DLVR_TAP_TRIM_STATUS,DFX_TRIM_CODE,5,-,-,0,31,-,,,-,I:DUT.CPU_ATOM0_UGB_TOP_0,-
CPU_TDO,0,UGB_TOP,ATOMSLICE0_DLVRRATOM,ATOM1,DLVR_TAP_TRIM_STATUS,DFX_TRIM_DONE,1,-,-,0,31,-,,,-,-,-
CPU_TDO,0,UGB_TOP,ATOMSLICE0_DLVRRATOM,ATOM1,DLVR_TAP_TRIM_STATUS,DFX_TRIM_ERR,1,-,-,0,31,-,,,-,-,-
CPU_TDO,0,UGB_TOP,ATOMSLICE0_DLVRRATOM,ATOM1,DLVR_TAP_TRIM_STATUS,DFX_TRIM_CODE,5,-,-,0,31,-,,,-,I:DUT.CPU_ATOM1_UGB_TOP_0,-
CPU_TDO,0,UGB_TOP,BCSLICE0_BSL_DLVRCORE_BOT,CORE0P,DLVR_TAP_TRIM_STATUS,DFX_TRIM_DONE,1,-,-,0,31,-,,,-,-,-
CPU_TDO,0,UGB_TOP,BCSLICE0_BSL_DLVRCORE_BOT,CORE0P,DLVR_TAP_TRIM_STATUS,DFX_TRIM_ERR,1,-,-,0,31,-,,,-,-,-
CPU_TDO,0,UGB_TOP,BCSLICE0_BSL_DLVRCORE_BOT,CORE0P,DLVR_TAP_TRIM_STATUS,DFX_TRIM_CODE,5,-,-,0,31,-,,,-,I:DUT.CPU_CORE0P_UGB_TOP_0,-
CPU_TDO,0,UGB_TOP,BCSLICE0_BSR_DLVRCORE_BOT,CORE1P,DLVR_TAP_TRIM_STATUS,DFX_TRIM_DONE,1,-,-,0,31,-,,,-,-,-
CPU_TDO,0,UGB_TOP,BCSLICE0_BSR_DLVRCORE_BOT,CORE1P,DLVR_TAP_TRIM_STATUS,DFX_TRIM_ERR,1,-,-,0,31,-,,,-,-,-
CPU_TDO,0,UGB_TOP,BCSLICE0_BSR_DLVRCORE_BOT,CORE1P,DLVR_TAP_TRIM_STATUS,DFX_TRIM_CODE,5,-,-,0,31,-,,,-,I:DUT.CPU_CORE1P_UGB_TOP_0,-
CPU_TDO,0,UGB_TOP,BCSLICE0_BSL_DLVRRING,RINGPRIM,DLVR_TAP_TRIM_STATUS,DFX_TRIM_DONE,1,-,-,0,31,-,,,-,-,-
CPU_TDO,0,UGB_TOP,BCSLICE0_BSL_DLVRRING,RINGPRIM,DLVR_TAP_TRIM_STATUS,DFX_TRIM_ERR,1,-,-,0,31,-,,,-,-,-
CPU_TDO,0,UGB_TOP,BCSLICE0_BSL_DLVRRING,RINGPRIM,DLVR_TAP_TRIM_STATUS,DFX_TRIM_CODE,5,-,-,0,31,-,,,-,I:DUT.CPU_RINGPRIM_UGB_TOP_0,-
