Pin,Domain,FUSES,TAP,Register,Field,Size,Base,ExpectedData,LowLimit,HighLimit,StringData,ItuffToken,ItuffDescriptor,ExitPort,StorageToken,Equation
CPU_TDO,ATOM0,IREF_PT1,ATOMSLICE0_DLVRLATOM,TAP_REG_BYPASS_STATUS,TAP_REG_BYPASS_READOUT,7,-,I:DUT.CPU_ATOM0_DLVR_IREF_TRIM_P1_RESULT,-,-,-,-,-,-,-,-
CPU_TDO,ATOM0,ADC0_OFFSET,ATOMSLICE0_DLVRLATOM,TAP_REG_BYPASS_STATUS,TAP_REG_BYPASS_READOUT,8,-,I:DUT.CPU_ATOM0_DLVR_ADC0_OFFSET_RESULT_2COMP_INT,-,-,-,-,-,-,-,-
CPU_TDO,ATOM0,ADC0_SLOPE_MSB,ATOMSLICE0_DLVRLATOM,TAP_REG_BYPASS_STATUS,TAP_REG_BYPASS_READOUT,3,-,I:DUT.CPU_ATOM0_ADC0_SLOPE_MSB,-,-,-,-,-,-,-,-
CPU_TDO,ATOM0,ADC0_SLOPE_LSB,ATOMSLICE0_DLVRLATOM,TAP_REG_BYPASS_STATUS,TAP_REG_BYPASS_READOUT,8,-,I:DUT.CPU_ATOM0_ADC0_SLOPE_LSB,-,-,-,-,-,-,-,-
CPU_TDO,ATOM0,ADC1_OFFSET,ATOMSLICE0_DLVRLATOM,TAP_REG_BYPASS_STATUS,TAP_REG_BYPASS_READOUT,8,-,I:DUT.CPU_ATOM0_DLVR_ADC1_OFFSET_RESULT_2COMP_INT,-,-,-,-,-,-,-,-
CPU_TDO,ATOM0,ADC1_SLOPE_MSB,ATOMSLICE0_DLVRLATOM,TAP_REG_BYPASS_STATUS,TAP_REG_BYPASS_READOUT,3,-,I:DUT.CPU_ATOM0_ADC1_SLOPE_MSB,-,-,-,-,-,-,-,-
CPU_TDO,ATOM0,ADC1_SLOPE_LSB,ATOMSLICE0_DLVRLATOM,TAP_REG_BYPASS_STATUS,TAP_REG_BYPASS_READOUT,8,-,I:DUT.CPU_ATOM0_ADC1_SLOPE_LSB,-,-,-,-,-,-,-,-
CPU_TDO,ATOM0,MR_VSXTOP,ATOMSLICE0_DLVRLATOM,TAP_REG_BYPASS_STATUS,TAP_REG_BYPASS_READOUT,5,-,I:DUT.CPU_ATOM0_MR_VSXTOP_REF_RESULT,-,-,-,-,-,-,-,-
CPU_TDO,ATOM0,MR_REPLICA,ATOMSLICE0_DLVRLATOM,TAP_REG_BYPASS_STATUS,TAP_REG_BYPASS_READOUT,5,-,I:DUT.CPU_ATOM0_MR_REPLICA_AMP_RESULT,-,-,-,-,-,-,-,-
CPU_TDO,ATOM0,MR_CSX,ATOMSLICE0_DLVRLATOM,TAP_REG_BYPASS_STATUS,TAP_REG_BYPASS_READOUT,5,-,I:DUT.CPU_ATOM0_CSX_RESULT,-,-,-,-,-,-,-,-
CPU_TDO,ATOM1,IREF_PT1,ATOMSLICE0_DLVRRATOM,TAP_REG_BYPASS_STATUS,TAP_REG_BYPASS_READOUT,7,-,I:DUT.CPU_ATOM1_DLVR_IREF_TRIM_P1_RESULT,-,-,-,-,-,-,-,-
CPU_TDO,ATOM1,ADC0_OFFSET,ATOMSLICE0_DLVRRATOM,TAP_REG_BYPASS_STATUS,TAP_REG_BYPASS_READOUT,8,-,I:DUT.CPU_ATOM1_DLVR_ADC0_OFFSET_RESULT_2COMP_INT,-,-,-,-,-,-,-,-
CPU_TDO,ATOM1,ADC0_SLOPE_MSB,ATOMSLICE0_DLVRRATOM,TAP_REG_BYPASS_STATUS,TAP_REG_BYPASS_READOUT,3,-,I:DUT.CPU_ATOM1_ADC0_SLOPE_MSB,-,-,-,-,-,-,-,-
CPU_TDO,ATOM1,ADC0_SLOPE_LSB,ATOMSLICE0_DLVRRATOM,TAP_REG_BYPASS_STATUS,TAP_REG_BYPASS_READOUT,8,-,I:DUT.CPU_ATOM1_ADC0_SLOPE_LSB,-,-,-,-,-,-,-,-
CPU_TDO,ATOM1,ADC1_OFFSET,ATOMSLICE0_DLVRRATOM,TAP_REG_BYPASS_STATUS,TAP_REG_BYPASS_READOUT,8,-,I:DUT.CPU_ATOM1_DLVR_ADC1_OFFSET_RESULT_2COMP_INT,-,-,-,-,-,-,-,-
CPU_TDO,ATOM1,ADC1_SLOPE_MSB,ATOMSLICE0_DLVRRATOM,TAP_REG_BYPASS_STATUS,TAP_REG_BYPASS_READOUT,3,-,I:DUT.CPU_ATOM1_ADC1_SLOPE_MSB,-,-,-,-,-,-,-,-
CPU_TDO,ATOM1,ADC1_SLOPE_LSB,ATOMSLICE0_DLVRRATOM,TAP_REG_BYPASS_STATUS,TAP_REG_BYPASS_READOUT,8,-,I:DUT.CPU_ATOM1_ADC1_SLOPE_LSB,-,-,-,-,-,-,-,-
CPU_TDO,ATOM1,MR_VSXTOP,ATOMSLICE0_DLVRRATOM,TAP_REG_BYPASS_STATUS,TAP_REG_BYPASS_READOUT,5,-,I:DUT.CPU_ATOM1_MR_VSXTOP_REF_RESULT,-,-,-,-,-,-,-,-
CPU_TDO,ATOM1,MR_REPLICA,ATOMSLICE0_DLVRRATOM,TAP_REG_BYPASS_STATUS,TAP_REG_BYPASS_READOUT,5,-,I:DUT.CPU_ATOM1_MR_REPLICA_AMP_RESULT,-,-,-,-,-,-,-,-
CPU_TDO,ATOM1,MR_CSX,ATOMSLICE0_DLVRRATOM,TAP_REG_BYPASS_STATUS,TAP_REG_BYPASS_READOUT,5,-,I:DUT.CPU_ATOM1_CSX_RESULT,-,-,-,-,-,-,-,-
CPU_TDO,CORE0P,IREF_PT1,BCSLICE0_BSL_DLVRCORE_BOT,TAP_REG_BYPASS_STATUS,TAP_REG_BYPASS_READOUT,7,-,I:DUT.CPU_CORE0P_DLVR_IREF_TRIM_P1_RESULT,-,-,-,-,-,-,-,-
CPU_TDO,CORE0P,ADC0_OFFSET,BCSLICE0_BSL_DLVRCORE_BOT,TAP_REG_BYPASS_STATUS,TAP_REG_BYPASS_READOUT,8,-,I:DUT.CPU_CORE0P_DLVR_ADC0_OFFSET_RESULT_2COMP_INT,-,-,-,-,-,-,-,-
CPU_TDO,CORE0P,ADC0_SLOPE_MSB,BCSLICE0_BSL_DLVRCORE_BOT,TAP_REG_BYPASS_STATUS,TAP_REG_BYPASS_READOUT,3,-,I:DUT.CPU_CORE0P_ADC0_SLOPE_MSB,-,-,-,-,-,-,-,-
CPU_TDO,CORE0P,ADC0_SLOPE_LSB,BCSLICE0_BSL_DLVRCORE_BOT,TAP_REG_BYPASS_STATUS,TAP_REG_BYPASS_READOUT,8,-,I:DUT.CPU_CORE0P_ADC0_SLOPE_LSB,-,-,-,-,-,-,-,-
CPU_TDO,CORE0P,ADC1_OFFSET,BCSLICE0_BSL_DLVRCORE_BOT,TAP_REG_BYPASS_STATUS,TAP_REG_BYPASS_READOUT,8,-,I:DUT.CPU_CORE0P_DLVR_ADC1_OFFSET_RESULT_2COMP_INT,-,-,-,-,-,-,-,-
CPU_TDO,CORE0P,ADC1_SLOPE_MSB,BCSLICE0_BSL_DLVRCORE_BOT,TAP_REG_BYPASS_STATUS,TAP_REG_BYPASS_READOUT,3,-,I:DUT.CPU_CORE0P_ADC1_SLOPE_MSB,-,-,-,-,-,-,-,-
CPU_TDO,CORE0P,ADC1_SLOPE_LSB,BCSLICE0_BSL_DLVRCORE_BOT,TAP_REG_BYPASS_STATUS,TAP_REG_BYPASS_READOUT,8,-,I:DUT.CPU_CORE0P_ADC1_SLOPE_LSB,-,-,-,-,-,-,-,-
CPU_TDO,CORE0P,MR_VSXTOP,BCSLICE0_BSL_DLVRCORE_BOT,TAP_REG_BYPASS_STATUS,TAP_REG_BYPASS_READOUT,5,-,I:DUT.CPU_CORE0P_MR_VSXTOP_REF_RESULT,-,-,-,-,-,-,-,-
CPU_TDO,CORE0P,MR_REPLICA,BCSLICE0_BSL_DLVRCORE_BOT,TAP_REG_BYPASS_STATUS,TAP_REG_BYPASS_READOUT,5,-,I:DUT.CPU_CORE0P_MR_REPLICA_AMP_RESULT,-,-,-,-,-,-,-,-
CPU_TDO,CORE0P,MR_CSX,BCSLICE0_BSL_DLVRCORE_BOT,TAP_REG_BYPASS_STATUS,TAP_REG_BYPASS_READOUT,5,-,I:DUT.CPU_CORE0P_CSX_RESULT,-,-,-,-,-,-,-,-
CPU_TDO,CORE0S,IREF_PT1,BCSLICE0_BSL_DLVRCORE_TOP,TAP_REG_BYPASS_STATUS,TAP_REG_BYPASS_READOUT,7,,I:DUT.CPU_CORE0S_DLVR_IREF_TRIM_P1_RESULT,-,-,-,-,-,-,-,-
CPU_TDO,CORE0S,ADC0_OFFSET,BCSLICE0_BSL_DLVRCORE_TOP,TAP_REG_BYPASS_STATUS,TAP_REG_BYPASS_READOUT,8,-,I:DUT.CPU_CORE0S_DLVR_ADC0_OFFSET_RESULT_2COMP_INT,-,-,-,-,-,-,-,-
CPU_TDO,CORE0S,ADC0_SLOPE_MSB,BCSLICE0_BSL_DLVRCORE_TOP,TAP_REG_BYPASS_STATUS,TAP_REG_BYPASS_READOUT,3,-,I:DUT.CPU_CORE0S_ADC0_SLOPE_MSB,-,-,-,-,-,-,-,-
CPU_TDO,CORE0S,ADC0_SLOPE_LSB,BCSLICE0_BSL_DLVRCORE_TOP,TAP_REG_BYPASS_STATUS,TAP_REG_BYPASS_READOUT,8,-,I:DUT.CPU_CORE0S_ADC0_SLOPE_LSB,-,-,-,-,-,-,-,-
CPU_TDO,CORE0S,ADC1_OFFSET,BCSLICE0_BSL_DLVRCORE_TOP,TAP_REG_BYPASS_STATUS,TAP_REG_BYPASS_READOUT,8,-,I:DUT.CPU_CORE0S_DLVR_ADC1_OFFSET_RESULT_2COMP_INT,-,-,-,-,-,-,-,-
