Pin,Domain,Pol,TAP,Register,Field,Size,Base,ExpectedData,LowLimit,HighLimit,StringData,ItuffToken,ItuffDescriptor,ExitPort,StorageToken,Equation
CPU_TDO,ATOM0,0,ATOMSLICE0_DLVRLATOM,DLVR_TAP_TRIM_STATUS,PT1_TRIM_DONE,1,-,-,-,-,-,-,-,-,I:DUT.CPU_ATOM0_PT1_TRIM_DONE_0,-
CPU_TDO,ATOM0,0,ATOMSLICE0_DLVRLATOM,DLVR_TAP_TRIM_STATUS,PT1_TRIM_ERR,1,-,-,-,-,-,-,-,-,I:DUT.CPU_ATOM0_PT1_TRIM_ERR_0,-
CPU_TDO,ATOM0,0,ATOMSLICE0_DLVRLATOM,DLVR_TAP_TRIM_STATUS,PT1_TRIM_CODE,7,-,-,-,-,-,-,-,-,I:DUT.CPU_ATOM0_PT1_TRIM_CODE_0,-
CPU_TDO,ATOM0,1,ATOMSLICE0_DLVRLATOM,DLVR_TAP_TRIM_STATUS,PT1_TRIM_DONE,1,-,-,-,-,-,-,-,-,I:DUT.CPU_ATOM0_PT1_TRIM_DONE_1,-
CPU_TDO,ATOM0,1,ATOMSLICE0_DLVRLATOM,DLVR_TAP_TRIM_STATUS,PT1_TRIM_ERR,1,-,-,-,-,-,-,-,-,I:DUT.CPU_ATOM0_PT1_TRIM_ERR_1,-
CPU_TDO,ATOM0,1,ATOMSLICE0_DLVRLATOM,DLVR_TAP_TRIM_STATUS,PT1_TRIM_CODE,7,-,-,-,-,-,-,-,-,I:DUT.CPU_ATOM0_PT1_TRIM_CODE_1,-
CPU_TDO,ATOM0,2,ATOMSLICE0_DLVRLATOM,DLVR_TAP_TRIM_STATUS,PT1_TRIM_DONE,1,-,-,-,-,-,-,-,-,I:DUT.CPU_ATOM0_PT1_TRIM_DONE_2,-
CPU_TDO,ATOM0,2,ATOMSLICE0_DLVRLATOM,DLVR_TAP_TRIM_STATUS,PT1_TRIM_ERR,1,-,-,-,-,-,-,-,-,I:DUT.CPU_ATOM0_PT1_TRIM_ERR_2,-
CPU_TDO,ATOM0,2,ATOMSLICE0_DLVRLATOM,DLVR_TAP_TRIM_STATUS,PT1_TRIM_CODE,7,-,-,-,-,-,-,-,-,I:DUT.CPU_ATOM0_PT1_TRIM_CODE_2,-
CPU_TDO,ATOM0,3,ATOMSLICE0_DLVRLATOM,DLVR_TAP_TRIM_STATUS,PT1_TRIM_DONE,1,-,-,-,-,-,-,-,-,I:DUT.CPU_ATOM0_PT1_TRIM_DONE_3,-
CPU_TDO,ATOM0,3,ATOMSLICE0_DLVRLATOM,DLVR_TAP_TRIM_STATUS,PT1_TRIM_ERR,1,-,-,-,-,-,-,-,-,I:DUT.CPU_ATOM0_PT1_TRIM_ERR_3,-
CPU_TDO,ATOM0,3,ATOMSLICE0_DLVRLATOM,DLVR_TAP_TRIM_STATUS,PT1_TRIM_CODE,7,-,-,-,-,-,-,-,-,I:DUT.CPU_ATOM0_PT1_TRIM_CODE_3,-
CPU_TDO,ATOM0,4,ATOMSLICE0_DLVRLATOM,DLVR_TAP_TRIM_STATUS,PT1_TRIM_DONE,1,-,-,-,-,-,-,-,-,I:DUT.CPU_ATOM0_PT1_TRIM_DONE_4,-
CPU_TDO,ATOM0,4,ATOMSLICE0_DLVRLATOM,DLVR_TAP_TRIM_STATUS,PT1_TRIM_ERR,1,-,-,-,-,-,-,-,-,I:DUT.CPU_ATOM0_PT1_TRIM_ERR_4,-
CPU_TDO,ATOM0,4,ATOMSLICE0_DLVRLATOM,DLVR_TAP_TRIM_STATUS,PT1_TRIM_CODE,7,-,-,-,-,-,-,-,-,I:DUT.CPU_ATOM0_PT1_TRIM_CODE_4,-
CPU_TDO,ATOM0,5,ATOMSLICE0_DLVRLATOM,DLVR_TAP_TRIM_STATUS,PT1_TRIM_DONE,1,-,-,-,-,-,-,-,-,I:DUT.CPU_ATOM0_PT1_TRIM_DONE_5,-
CPU_TDO,ATOM0,5,ATOMSLICE0_DLVRLATOM,DLVR_TAP_TRIM_STATUS,PT1_TRIM_ERR,1,-,-,-,-,-,-,-,-,I:DUT.CPU_ATOM0_PT1_TRIM_ERR_5,-
CPU_TDO,ATOM0,5,ATOMSLICE0_DLVRLATOM,DLVR_TAP_TRIM_STATUS,PT1_TRIM_CODE,7,-,-,-,-,-,-,-,-,I:DUT.CPU_ATOM0_PT1_TRIM_CODE_5,-
CPU_TDO,ATOM1,0,ATOMSLICE0_DLVRRATOM,DLVR_TAP_TRIM_STATUS,PT1_TRIM_DONE,1,-,-,-,-,-,-,-,-,I:DUT.CPU_ATOM1_PT1_TRIM_DONE_0,-
CPU_TDO,ATOM1,0,ATOMSLICE0_DLVRRATOM,DLVR_TAP_TRIM_STATUS,PT1_TRIM_ERR,1,-,-,-,-,-,-,-,-,I:DUT.CPU_ATOM1_PT1_TRIM_ERR_0,-
CPU_TDO,ATOM1,0,ATOMSLICE0_DLVRRATOM,DLVR_TAP_TRIM_STATUS,PT1_TRIM_CODE,7,-,-,-,-,-,-,-,-,I:DUT.CPU_ATOM1_PT1_TRIM_CODE_0,-
CPU_TDO,ATOM1,1,ATOMSLICE0_DLVRRATOM,DLVR_TAP_TRIM_STATUS,PT1_TRIM_DONE,1,-,-,-,-,-,-,-,-,I:DUT.CPU_ATOM1_PT1_TRIM_DONE_1,-
CPU_TDO,ATOM1,1,ATOMSLICE0_DLVRRATOM,DLVR_TAP_TRIM_STATUS,PT1_TRIM_ERR,1,-,-,-,-,-,-,-,-,I:DUT.CPU_ATOM1_PT1_TRIM_ERR_1,-
CPU_TDO,ATOM1,1,ATOMSLICE0_DLVRRATOM,DLVR_TAP_TRIM_STATUS,PT1_TRIM_CODE,7,-,-,-,-,-,-,-,-,I:DUT.CPU_ATOM1_PT1_TRIM_CODE_1,-
CPU_TDO,ATOM1,2,ATOMSLICE0_DLVRRATOM,DLVR_TAP_TRIM_STATUS,PT1_TRIM_DONE,1,-,-,-,-,-,-,-,-,I:DUT.CPU_ATOM1_PT1_TRIM_DONE_2,-
CPU_TDO,ATOM1,2,ATOMSLICE0_DLVRRATOM,DLVR_TAP_TRIM_STATUS,PT1_TRIM_ERR,1,-,-,-,-,-,-,-,-,I:DUT.CPU_ATOM1_PT1_TRIM_ERR_2,-
CPU_TDO,ATOM1,2,ATOMSLICE0_DLVRRATOM,DLVR_TAP_TRIM_STATUS,PT1_TRIM_CODE,7,-,-,-,-,-,-,-,-,I:DUT.CPU_ATOM1_PT1_TRIM_CODE_2,-
CPU_TDO,ATOM1,3,ATOMSLICE0_DLVRRATOM,DLVR_TAP_TRIM_STATUS,PT1_TRIM_DONE,1,-,-,-,-,-,-,-,-,I:DUT.CPU_ATOM1_PT1_TRIM_DONE_3,-
CPU_TDO,ATOM1,3,ATOMSLICE0_DLVRRATOM,DLVR_TAP_TRIM_STATUS,PT1_TRIM_ERR,1,-,-,-,-,-,-,-,-,I:DUT.CPU_ATOM1_PT1_TRIM_ERR_3,-
CPU_TDO,ATOM1,3,ATOMSLICE0_DLVRRATOM,DLVR_TAP_TRIM_STATUS,PT1_TRIM_CODE,7,-,-,-,-,-,-,-,-,I:DUT.CPU_ATOM1_PT1_TRIM_CODE_3,-
CPU_TDO,ATOM1,4,ATOMSLICE0_DLVRRATOM,DLVR_TAP_TRIM_STATUS,PT1_TRIM_DONE,1,-,-,-,-,-,-,-,-,I:DUT.CPU_ATOM1_PT1_TRIM_DONE_4,-
CPU_TDO,ATOM1,4,ATOMSLICE0_DLVRRATOM,DLVR_TAP_TRIM_STATUS,PT1_TRIM_ERR,1,-,-,-,-,-,-,-,-,I:DUT.CPU_ATOM1_PT1_TRIM_ERR_4,-
CPU_TDO,ATOM1,4,ATOMSLICE0_DLVRRATOM,DLVR_TAP_TRIM_STATUS,PT1_TRIM_CODE,7,-,-,-,-,-,-,-,-,I:DUT.CPU_ATOM1_PT1_TRIM_CODE_4,-
CPU_TDO,ATOM1,5,ATOMSLICE0_DLVRRATOM,DLVR_TAP_TRIM_STATUS,PT1_TRIM_DONE,1,-,-,-,-,-,-,-,-,I:DUT.CPU_ATOM1_PT1_TRIM_DONE_5,-
CPU_TDO,ATOM1,5,ATOMSLICE0_DLVRRATOM,DLVR_TAP_TRIM_STATUS,PT1_TRIM_ERR,1,-,-,-,-,-,-,-,-,I:DUT.CPU_ATOM1_PT1_TRIM_ERR_5,-
CPU_TDO,ATOM1,5,ATOMSLICE0_DLVRRATOM,DLVR_TAP_TRIM_STATUS,PT1_TRIM_CODE,7,-,-,-,-,-,-,-,-,I:DUT.CPU_ATOM1_PT1_TRIM_CODE_5,-
CPU_TDO,CORE0P,0,BCSLICE0_BSL_DLVRCORE_BOT,DLVR_TAP_TRIM_STATUS,PT1_TRIM_DONE,1,-,-,-,-,-,-,-,-,I:DUT.CPU_CORE0P_PT1_TRIM_DONE_0,-
CPU_TDO,CORE0P,0,BCSLICE0_BSL_DLVRCORE_BOT,DLVR_TAP_TRIM_STATUS,PT1_TRIM_ERR,1,-,-,-,-,-,-,-,-,I:DUT.CPU_CORE0P_PT1_TRIM_ERR_0,-
CPU_TDO,CORE0P,0,BCSLICE0_BSL_DLVRCORE_BOT,DLVR_TAP_TRIM_STATUS,PT1_TRIM_CODE,7,-,-,-,-,-,-,-,-,I:DUT.CPU_CORE0P_PT1_TRIM_CODE_0,-
CPU_TDO,CORE0P,1,BCSLICE0_BSL_DLVRCORE_BOT,DLVR_TAP_TRIM_STATUS,PT1_TRIM_DONE,1,-,-,-,-,-,-,-,-,I:DUT.CPU_CORE0P_PT1_TRIM_DONE_1,-
CPU_TDO,CORE0P,1,BCSLICE0_BSL_DLVRCORE_BOT,DLVR_TAP_TRIM_STATUS,PT1_TRIM_ERR,1,-,-,-,-,-,-,-,-,I:DUT.CPU_CORE0P_PT1_TRIM_ERR_1,-
CPU_TDO,CORE0P,1,BCSLICE0_BSL_DLVRCORE_BOT,DLVR_TAP_TRIM_STATUS,PT1_TRIM_CODE,7,-,-,-,-,-,-,-,-,I:DUT.CPU_CORE0P_PT1_TRIM_CODE_1,-
CPU_TDO,CORE0P,2,BCSLICE0_BSL_DLVRCORE_BOT,DLVR_TAP_TRIM_STATUS,PT1_TRIM_DONE,1,-,-,-,-,-,-,-,-,I:DUT.CPU_CORE0P_PT1_TRIM_DONE_2,-
CPU_TDO,CORE0P,2,BCSLICE0_BSL_DLVRCORE_BOT,DLVR_TAP_TRIM_STATUS,PT1_TRIM_ERR,1,-,-,-,-,-,-,-,-,I:DUT.CPU_CORE0P_PT1_TRIM_ERR_2,-
