Pin,Domain,IREFTRIM,TAP,Register,Field,Size,Base,ExpectedData,LowLimit,HighLimit,ItuffToken,ItuffDescriptor,ExitPort,StorageToken,Equation
CPU_TDO,ATOM0,1,ATOMSLICE0_DLVRLATOM,DLVR_TAP_ADC_STATUS,VCS_DATA_STATUS,10,-,-,-,-,CPU_0xFE,-,-,-,-
CPU_TDO,ATOM0,2,ATOMSLICE0_DLVRLATOM,DLVR_TAP_ADC_STATUS,VCS_DATA_STATUS,10,-,-,-,-,CPU_0xFB,-,-,-,-
CPU_TDO,ATOM0,3,ATOMSLICE0_DLVRLATOM,DLVR_TAP_ADC_STATUS,VCS_DATA_STATUS,10,-,-,-,-,CPU_0xF8,-,-,-,-
CPU_TDO,ATOM0,4,ATOMSLICE0_DLVRLATOM,DLVR_TAP_ADC_STATUS,VCS_DATA_STATUS,10,-,-,-,-,CPU_0xF4,-,-,-,-
CPU_TDO,ATOM0,5,ATOMSLICE0_DLVRLATOM,DLVR_TAP_ADC_STATUS,VCS_DATA_STATUS,10,-,-,-,-,CPU_0xF0,-,-,-,-
CPU_TDO,ATOM0,6,ATOMSLICE0_DLVRLATOM,DLVR_TAP_ADC_STATUS,VCS_DATA_STATUS,10,-,-,-,-,CPU_0xEF,-,-,-,-
CPU_TDO,ATOM0,7,ATOMSLICE0_DLVRLATOM,DLVR_TAP_ADC_STATUS,VCS_DATA_STATUS,10,-,-,-,-,CPU_0xDF,-,-,-,-
CPU_TDO,ATOM0,8,ATOMSLICE0_DLVRLATOM,DLVR_TAP_ADC_STATUS,VCS_DATA_STATUS,10,-,-,-,-,CPU_0xBF,-,-,-,-
CPU_TDO,ATOM0,9,ATOMSLICE0_DLVRLATOM,DLVR_TAP_ADC_STATUS,VCS_DATA_STATUS,10,-,-,-,-,CPU_0x7F,-,-,-,-
CPU_TDO,ATOM1,1,ATOMSLICE0_DLVRRATOM,DLVR_TAP_ADC_STATUS,VCS_DATA_STATUS,10,-,-,-,-,CPU_0xFE,-,-,-,-
CPU_TDO,ATOM1,2,ATOMSLICE0_DLVRRATOM,DLVR_TAP_ADC_STATUS,VCS_DATA_STATUS,10,-,-,-,-,CPU_0xFB,-,-,-,-
CPU_TDO,ATOM1,3,ATOMSLICE0_DLVRRATOM,DLVR_TAP_ADC_STATUS,VCS_DATA_STATUS,10,-,-,-,-,CPU_0xF8,-,-,-,-
CPU_TDO,ATOM1,4,ATOMSLICE0_DLVRRATOM,DLVR_TAP_ADC_STATUS,VCS_DATA_STATUS,10,-,-,-,-,CPU_0xF4,-,-,-,-
CPU_TDO,ATOM1,5,ATOMSLICE0_DLVRRATOM,DLVR_TAP_ADC_STATUS,VCS_DATA_STATUS,10,-,-,-,-,CPU_0xF0,-,-,-,-
CPU_TDO,ATOM1,6,ATOMSLICE0_DLVRRATOM,DLVR_TAP_ADC_STATUS,VCS_DATA_STATUS,10,-,-,-,-,CPU_0xEF,-,-,-,-
CPU_TDO,ATOM1,7,ATOMSLICE0_DLVRRATOM,DLVR_TAP_ADC_STATUS,VCS_DATA_STATUS,10,-,-,-,-,CPU_0xDF,-,-,-,-
CPU_TDO,ATOM1,8,ATOMSLICE0_DLVRRATOM,DLVR_TAP_ADC_STATUS,VCS_DATA_STATUS,10,-,-,-,-,CPU_0xBF,-,-,-,-
CPU_TDO,ATOM1,9,ATOMSLICE0_DLVRRATOM,DLVR_TAP_ADC_STATUS,VCS_DATA_STATUS,10,-,-,-,-,CPU_0x7F,-,-,-,-
CPU_TDO,CORE0P,1,BCSLICE0_BSL_DLVRCORE_BOT,DLVR_TAP_ADC_STATUS,VCS_DATA_STATUS,10,-,-,-,-,CPU_0xFE,-,-,-,-
CPU_TDO,CORE0P,2,BCSLICE0_BSL_DLVRCORE_BOT,DLVR_TAP_ADC_STATUS,VCS_DATA_STATUS,10,-,-,-,-,CPU_0xFB,-,-,-,-
CPU_TDO,CORE0P,3,BCSLICE0_BSL_DLVRCORE_BOT,DLVR_TAP_ADC_STATUS,VCS_DATA_STATUS,10,-,-,-,-,CPU_0xF8,-,-,-,-
CPU_TDO,CORE0P,4,BCSLICE0_BSL_DLVRCORE_BOT,DLVR_TAP_ADC_STATUS,VCS_DATA_STATUS,10,-,-,-,-,CPU_0xF4,-,-,-,-
