Pin,CPU,Domain,Sequence,Subsequence,Register,Field,Size,Equation,ItuffToken,StorageToken
CPU_OBS_06,CPU,ATOM0,IREFPT1,POL0,IREFGEN_COMPOUT,TRIM_1,1,-,-,I:DUT.CPU_ATOM0_IREFPT1_0_CODE1
CPU_OBS_06,CPU,ATOM0,IREFPT1,POL0,IREFGEN_COMPOUT,TRIM_2,1,-,-,I:DUT.CPU_ATOM0_IREFPT1_0_CODE2
CPU_OBS_06,CPU,ATOM0,IREFPT1,POL0,IREFGEN_COMPOUT,TRIM_3,1,-,-,I:DUT.CPU_ATOM0_IREFPT1_0_CODE3
CPU_OBS_06,CPU,ATOM0,IREFPT1,POL0,IREFGEN_COMPOUT,TRIM_4,1,-,-,I:DUT.CPU_ATOM0_IREFPT1_0_CODE4
CPU_OBS_06,CPU,ATOM0,IREFPT1,POL0,IREFGEN_COMPOUT,TRIM_5,1,-,-,I:DUT.CPU_ATOM0_IREFPT1_0_CODE5
CPU_OBS_06,CPU,ATOM0,IREFPT1,POL0,IREFGEN_COMPOUT,TRIM_6,1,-,-,I:DUT.CPU_ATOM0_IREFPT1_0_CODE6
CPU_OBS_06,CPU,ATOM0,IREFPT1,POL0,IREFGEN_COMPOUT,TRIM_7,1,-,-,I:DUT.CPU_ATOM0_IREFPT1_0_CODE7
CPU_OBS_06,CPU,ATOM0,IREFPT1,POL0,IREFGEN_COMPOUT,TRIM_8,1,-,-,I:DUT.CPU_ATOM0_IREFPT1_0_CODE8
CPU_OBS_06,CPU,ATOM0,IREFPT1,POL0,IREFGEN_COMPOUT,TRIM_9,1,-,-,I:DUT.CPU_ATOM0_IREFPT1_0_CODE9
CPU_OBS_06,CPU,ATOM0,IREFPT1,POL0,IREFGEN_COMPOUT,TRIM_10,1,-,-,I:DUT.CPU_ATOM0_IREFPT1_0_CODE10
CPU_OBS_06,CPU,ATOM0,IREFPT1,POL0,IREFGEN_COMPOUT,TRIM_11,1,-,-,I:DUT.CPU_ATOM0_IREFPT1_0_CODE11
CPU_OBS_06,CPU,ATOM0,IREFPT1,POL0,IREFGEN_COMPOUT,TRIM_12,1,-,-,I:DUT.CPU_ATOM0_IREFPT1_0_CODE12
CPU_OBS_06,CPU,ATOM0,IREFPT1,POL0,IREFGEN_COMPOUT,TRIM_13,1,-,-,I:DUT.CPU_ATOM0_IREFPT1_0_CODE13
CPU_OBS_06,CPU,ATOM0,IREFPT1,POL0,IREFGEN_COMPOUT,TRIM_14,1,-,-,I:DUT.CPU_ATOM0_IREFPT1_0_CODE14
CPU_OBS_06,CPU,ATOM0,IREFPT1,POL0,IREFGEN_COMPOUT,TRIM_15,1,-,-,I:DUT.CPU_ATOM0_IREFPT1_0_CODE15
CPU_OBS_06,CPU,ATOM0,IREFPT1,POL0,IREFGEN_COMPOUT,TRIM_16,1,-,-,I:DUT.CPU_ATOM0_IREFPT1_0_CODE16
CPU_OBS_06,CPU,ATOM0,IREFPT1,POL0,IREFGEN_COMPOUT,TRIM_17,1,-,-,I:DUT.CPU_ATOM0_IREFPT1_0_CODE17
CPU_OBS_06,CPU,ATOM0,IREFPT1,POL0,IREFGEN_COMPOUT,TRIM_18,1,-,-,I:DUT.CPU_ATOM0_IREFPT1_0_CODE18
CPU_OBS_06,CPU,ATOM0,IREFPT1,POL0,IREFGEN_COMPOUT,TRIM_19,1,-,-,I:DUT.CPU_ATOM0_IREFPT1_0_CODE19
CPU_OBS_06,CPU,ATOM0,IREFPT1,POL0,IREFGEN_COMPOUT,TRIM_20,1,-,-,I:DUT.CPU_ATOM0_IREFPT1_0_CODE20
CPU_OBS_06,CPU,ATOM0,IREFPT1,POL0,IREFGEN_COMPOUT,TRIM_21,1,-,-,I:DUT.CPU_ATOM0_IREFPT1_0_CODE21
CPU_OBS_06,CPU,ATOM0,IREFPT1,POL0,IREFGEN_COMPOUT,TRIM_22,1,-,-,I:DUT.CPU_ATOM0_IREFPT1_0_CODE22
CPU_OBS_06,CPU,ATOM0,IREFPT1,POL0,IREFGEN_COMPOUT,TRIM_23,1,-,-,I:DUT.CPU_ATOM0_IREFPT1_0_CODE23
CPU_OBS_06,CPU,ATOM0,IREFPT1,POL0,IREFGEN_COMPOUT,TRIM_24,1,-,-,I:DUT.CPU_ATOM0_IREFPT1_0_CODE24
CPU_OBS_06,CPU,ATOM0,IREFPT1,POL0,IREFGEN_COMPOUT,TRIM_25,1,-,-,I:DUT.CPU_ATOM0_IREFPT1_0_CODE25
CPU_OBS_06,CPU,ATOM0,IREFPT1,POL0,IREFGEN_COMPOUT,TRIM_26,1,-,-,I:DUT.CPU_ATOM0_IREFPT1_0_CODE26
CPU_OBS_06,CPU,ATOM0,IREFPT1,POL0,IREFGEN_COMPOUT,TRIM_27,1,-,-,I:DUT.CPU_ATOM0_IREFPT1_0_CODE27
CPU_OBS_06,CPU,ATOM0,IREFPT1,POL0,IREFGEN_COMPOUT,TRIM_28,1,-,-,I:DUT.CPU_ATOM0_IREFPT1_0_CODE28
CPU_OBS_06,CPU,ATOM0,IREFPT1,POL0,IREFGEN_COMPOUT,TRIM_29,1,-,-,I:DUT.CPU_ATOM0_IREFPT1_0_CODE29
CPU_OBS_06,CPU,ATOM0,IREFPT1,POL0,IREFGEN_COMPOUT,TRIM_30,1,-,-,I:DUT.CPU_ATOM0_IREFPT1_0_CODE30
CPU_OBS_06,CPU,ATOM0,IREFPT1,POL0,IREFGEN_COMPOUT,TRIM_31,1,-,-,I:DUT.CPU_ATOM0_IREFPT1_0_CODE31
CPU_OBS_06,CPU,ATOM0,IREFPT1,POL0,IREFGEN_COMPOUT,TRIM_32,1,-,-,I:DUT.CPU_ATOM0_IREFPT1_0_CODE32
