Pin,CPU,Domain,Sequence,Subsequence,Register,Field,Size,Equation,ItuffToken,StorageToken
CPU_TDO,CPU,ATOM0,DLVR_TAP_RAIL_STATUS_RED,SCHERROR_STATUS,SCHERROR_STATUS,Field1,1,-,SCHERROR_STATUS,-
CPU_TDO,CPU,ATOM0,DLVR_TAP_RAIL_STATUS_RED,SCHPREEMPTION_STATUS,SCHPREEMPTION_STATUS,Field2,1,-,SCHPREEMPTION_STATUS,-
CPU_TDO,CPU,ATOM0,DLVR_TAP_RAIL_STATUS_RED,DLVR_IN_PS0,DLVR_IN_PS0,Field3,1,-,DLVR_IN_PS0,-
CPU_TDO,CPU,ATOM0,DLVR_TAP_RAIL_STATUS_RED,DLVR_IN_PS7,DLVR_IN_PS7,Field4,1,-,DLVR_IN_PS7,-
CPU_TDO,CPU,ATOM0,DLVR_TAP_RAIL_STATUS_RED,PG_OFF_EN_SCH,PG_OFF_EN_SCH,Field5,1,-,PG_OFF_EN_SCH,-
CPU_TDO,CPU,ATOM0,DLVR_TAP_RAIL_STATUS_RED,O_CRI_CHAIN_RST_L,O_CRI_CHAIN_RST_L,Field6,1,-,O_CRI_CHAIN_RST_L,-
CPU_TDO,CPU,ATOM0,DLVR_TAP_RAIL_STATUS_RED,CRI_CLK_ACK_H,CRI_CLK_ACK_H,Field7,1,-,CRI_CLK_ACK_H,-
CPU_TDO,CPU,ATOM0,DLVR_TAP_RAIL_STATUS_RED,FUSE_PULL_DONE_STICKY,FUSE_PULL_DONE_STICKY,Field8,1,-,FUSE_PULL_DONE_STICKY,-
CPU_TDO,CPU,ATOM0,DLVR_TAP_RAIL_STATUS_RED,DLVR_EN,DLVR_EN,Field9,1,-,DLVR_EN,-
CPU_TDO,CPU,ATOM0,DLVR_TAP_RAIL_STATUS_RED,LINEAR_ONLY_MODE,LINEAR_ONLY_MODE,Field10,1,-,LINEAR_ONLY_MODE,-
CPU_TDO,CPU,ATOM0,DLVR_TAP_RAIL_STATUS_RED,RESET_FSM_STATE,RESET_FSM_STATE,Field11,3,-,RESET_FSM_STATE,-
CPU_TDO,CPU,ATOM0,DLVR_TAP_RAIL_STATUS_RED,ANALOGTIMEREXPIRED,ANALOGTIMEREXPIRED,Field12,1,-,ANALOGTIMEREXPIRED,-
CPU_TDO,CPU,ATOM0,DLVR_TAP_RAIL_STATUS_RED,TRIM_START_PRE,TRIM_START_PRE,Field13,1,-,TRIM_START_PRE,-
CPU_TDO,CPU,ATOM0,DLVR_TAP_RAIL_STATUS_RED,CBB_EN,CBB_EN,Field14,1,-,CBB_EN,-
CPU_TDO,CPU,ATOM0,DLVR_TAP_RAIL_STATUS_RED,DLVR_ACTIVE,DLVR_ACTIVE,Field15,1,-,DLVR_ACTIVE,-
CPU_TDO,CPU,ATOM0,DLVR_TAP_RAIL_STATUS_RED,I_FUSE_PULL_REQ_INT,I_FUSE_PULL_REQ_INT,Field16,1,-,I_FUSE_PULL_REQ_INT,-
CPU_TDO,CPU,ATOM0,DLVR_TAP_RAIL_STATUS_RED,CRI_CLK_REQ_RF,CRI_CLK_REQ_RF,Field17,1,-,CRI_CLK_REQ_RF,-
CPU_TDO,CPU,ATOM0,DLVR_TAP_RAIL_STATUS_RED,CRI_SLAVE_EVENT_H,CRI_SLAVE_EVENT_H,Field18,4,-,CRI_SLAVE_EVENT_H,-
CPU_TDO,CPU,ATOM0,DLVR_TAP_RAIL_STATUS_RED,CRI_SLAVE_ALERT_H,CRI_SLAVE_ALERT_H,Field19,1,-,CRI_SLAVE_ALERT_H,-
CPU_TDO,CPU,ATOM0,DLVR_TAP_RAIL_STATUS_RED,DLVR_IN_PS7_OR_ZV_PRE,DLVR_IN_PS7_OR_ZV_PRE,Field20,1,-,DLVR_IN_PS7_OR_ZV_PRE,-
