Pin,CPU,Domain,Sequence,Subsequence,Register,Field,Size,Equation,ItuffToken,StorageToken
CPU_OBS_06,CPU,ATOM0,UGB,BOT,TRIM_OUT,TRIM_1,1,-,-,I:DUT.CPU_ATOM0_UGB_BOT_CODE1
CPU_OBS_06,CPU,ATOM0,UGB,BOT,TRIM_OUT,TRIM_2,1,-,-,I:DUT.CPU_ATOM0_UGB_BOT_CODE2
CPU_OBS_06,CPU,ATOM0,UGB,BOT,TRIM_OUT,TRIM_3,1,-,-,I:DUT.CPU_ATOM0_UGB_BOT_CODE3
CPU_OBS_06,CPU,ATOM0,UGB,BOT,TRIM_OUT,TRIM_4,1,-,-,I:DUT.CPU_ATOM0_UGB_BOT_CODE4
CPU_OBS_06,CPU,ATOM0,UGB,BOT,TRIM_OUT,TRIM_5,1,-,-,I:DUT.CPU_ATOM0_UGB_BOT_CODE5
CPU_OBS_06,CPU,ATOM0,UGB,BOT,TRIM_OUT,TRIM_6,1,-,-,I:DUT.CPU_ATOM0_UGB_BOT_CODE6
CPU_OBS_06,CPU,ATOM0,UGB,BOT,TRIM_OUT,TRIM_7,1,-,-,I:DUT.CPU_ATOM0_UGB_BOT_CODE7
CPU_OBS_06,CPU,ATOM0,UGB,BOT,TRIM_OUT,TRIM_8,1,-,-,I:DUT.CPU_ATOM0_UGB_BOT_CODE8
CPU_OBS_06,CPU,ATOM0,UGB,BOT,TRIM_OUT,TRIM_9,1,-,-,I:DUT.CPU_ATOM0_UGB_BOT_CODE9
CPU_OBS_06,CPU,ATOM0,UGB,BOT,TRIM_OUT,TRIM_10,1,-,-,I:DUT.CPU_ATOM0_UGB_BOT_CODE10
CPU_OBS_06,CPU,ATOM0,UGB,BOT,TRIM_OUT,TRIM_11,1,-,-,I:DUT.CPU_ATOM0_UGB_BOT_CODE11
CPU_OBS_06,CPU,ATOM0,UGB,BOT,TRIM_OUT,TRIM_12,1,-,-,I:DUT.CPU_ATOM0_UGB_BOT_CODE12
