Pin,CPU,Domain,Sequence,Subsequence,Register,Field,Size,Equation,ItuffToken,StorageToken
CPU_TDO,CPU,ATOM0,AGS_0,,ADC0,ADC0_AGSBGBUFADC0,10,-,-,I:DUT.CPU_ATOM0_AGSBGBUFADC0_AGS_0
CPU_TDO,CPU,ATOM0,DGS_0,,ADC1,ADC1_AGSBGBUFADC0,10,-,-,I:DUT.CPU_ATOM0_AGSBGBUFADC0_DGS_0
CPU_TDO,CPU,ATOM1,AGS_0,,ADC0,ADC0_AGSBGBUFADC0,10,-,-,I:DUT.CPU_ATOM1_AGSBGBUFADC0_AGS_0
CPU_TDO,CPU,ATOM1,DGS_0,,ADC1,ADC1_AGSBGBUFADC0,10,-,-,I:DUT.CPU_ATOM1_AGSBGBUFADC0_DGS_0
CPU_TDO,CPU,ATOM2,AGS_0,,ADC0,ADC0_AGSBGBUFADC0,10,-,-,I:DUT.CPU_ATOM2_AGSBGBUFADC0_AGS_0
CPU_TDO,CPU,ATOM2,DGS_0,,ADC1,ADC1_AGSBGBUFADC0,10,-,-,I:DUT.CPU_ATOM2_AGSBGBUFADC0_DGS_0
CPU_TDO,CPU,ATOM3,AGS_0,,ADC0,ADC0_AGSBGBUFADC0,10,-,-,I:DUT.CPU_ATOM3_AGSBGBUFADC0_AGS_0
CPU_TDO,CPU,ATOM3,DGS_0,,ADC1,ADC1_AGSBGBUFADC0,10,-,-,I:DUT.CPU_ATOM3_AGSBGBUFADC0_DGS_0
CPU_TDO,CPU,CORE0P,AGS_0,,ADC0,ADC0_AGSBGBUFADC0,10,-,-,I:DUT.CPU_CORE0P_AGSBGBUFADC0_AGS_0
CPU_TDO,CPU,CORE0P,DGS_0,,ADC1,ADC1_AGSBGBUFADC0,10,-,-,I:DUT.CPU_CORE0P_AGSBGBUFADC0_DGS_0
CPU_TDO,CPU,CORE0S,AGS_0,,ADC0,ADC0_AGSBGBUFADC0,10,-,-,I:DUT.CPU_CORE0S_AGSBGBUFADC0_AGS_0
CPU_TDO,CPU,CORE0S,DGS_0,,ADC1,ADC1_AGSBGBUFADC0,10,-,-,I:DUT.CPU_CORE0S_AGSBGBUFADC0_DGS_0
CPU_TDO,CPU,CORE1P,AGS_0,,ADC0,ADC0_AGSBGBUFADC0,10,-,-,I:DUT.CPU_CORE1P_AGSBGBUFADC0_AGS_0
CPU_TDO,CPU,CORE1P,DGS_0,,ADC1,ADC1_AGSBGBUFADC0,10,-,-,I:DUT.CPU_CORE1P_AGSBGBUFADC0_DGS_0
CPU_TDO,CPU,CORE1S,AGS_0,,ADC0,ADC0_AGSBGBUFADC0,10,-,-,I:DUT.CPU_CORE1S_AGSBGBUFADC0_AGS_0
CPU_TDO,CPU,CORE1S,DGS_0,,ADC1,ADC1_AGSBGBUFADC0,10,-,-,I:DUT.CPU_CORE1S_AGSBGBUFADC0_DGS_0
CPU_TDO,CPU,CORE2P,AGS_0,,ADC0,ADC0_AGSBGBUFADC0,10,-,-,I:DUT.CPU_CORE2P_AGSBGBUFADC0_AGS_0
CPU_TDO,CPU,CORE2P,DGS_0,,ADC1,ADC1_AGSBGBUFADC0,10,-,-,I:DUT.CPU_CORE2P_AGSBGBUFADC0_DGS_0
CPU_TDO,CPU,CORE2S,AGS_0,,ADC0,ADC0_AGSBGBUFADC0,10,-,-,I:DUT.CPU_CORE2S_AGSBGBUFADC0_AGS_0
CPU_TDO,CPU,CORE2S,DGS_0,,ADC1,ADC1_AGSBGBUFADC0,10,-,-,I:DUT.CPU_CORE2S_AGSBGBUFADC0_DGS_0
CPU_TDO,CPU,CORE3P,AGS_0,,ADC0,ADC0_AGSBGBUFADC0,10,-,-,I:DUT.CPU_CORE3P_AGSBGBUFADC0_AGS_0
CPU_TDO,CPU,CORE3P,DGS_0,,ADC1,ADC1_AGSBGBUFADC0,10,-,-,I:DUT.CPU_CORE3P_AGSBGBUFADC0_DGS_0
CPU_TDO,CPU,CORE3S,AGS_0,,ADC0,ADC0_AGSBGBUFADC0,10,-,-,I:DUT.CPU_CORE3S_AGSBGBUFADC0_AGS_0
CPU_TDO,CPU,CORE3S,DGS_0,,ADC1,ADC1_AGSBGBUFADC0,10,-,-,I:DUT.CPU_CORE3S_AGSBGBUFADC0_DGS_0
