Pin,CPU,Domain,Sequence,Subsequence,Register,Field,Size,Equation,ItuffToken,StorageToken
CPU_TDO,CPU,ATOM0,AGS_0,_CH0,ADC0,ADC0_AGSVIEW,10,-,-,I:DUT.CPU_ATOM0_AGSVIEW_CH0_AGS_0
CPU_TDO,CPU,ATOM0,DGS_0,_CH0,ADC1,ADC1_AGSVIEW,10,-,-,I:DUT.CPU_ATOM0_AGSVIEW_CH0_DGS_0
CPU_TDO,CPU,ATOM1,AGS_0,_CH0,ADC0,ADC0_AGSVIEW,10,-,-,I:DUT.CPU_ATOM1_AGSVIEW_CH0_AGS_0
CPU_TDO,CPU,ATOM1,DGS_0,_CH0,ADC1,ADC1_AGSVIEW,10,-,-,I:DUT.CPU_ATOM1_AGSVIEW_CH0_DGS_0
CPU_TDO,CPU,ATOM2,AGS_0,_CH0,ADC0,ADC0_AGSVIEW,10,-,-,I:DUT.CPU_ATOM2_AGSVIEW_CH0_AGS_0
CPU_TDO,CPU,ATOM2,DGS_0,_CH0,ADC1,ADC1_AGSVIEW,10,-,-,I:DUT.CPU_ATOM2_AGSVIEW_CH0_DGS_0
CPU_TDO,CPU,ATOM3,AGS_0,_CH0,ADC0,ADC0_AGSVIEW,10,-,-,I:DUT.CPU_ATOM3_AGSVIEW_CH0_AGS_0
CPU_TDO,CPU,ATOM3,DGS_0,_CH0,ADC1,ADC1_AGSVIEW,10,-,-,I:DUT.CPU_ATOM3_AGSVIEW_CH0_DGS_0
CPU_TDO,CPU,CORE0P,AGS_0,_CH0,ADC0,ADC0_AGSVIEW,10,-,-,I:DUT.CPU_CORE0P_AGSVIEW_CH0_AGS_0
CPU_TDO,CPU,CORE0P,DGS_0,_CH0,ADC1,ADC1_AGSVIEW,10,-,-,I:DUT.CPU_CORE0P_AGSVIEW_CH0_DGS_0
CPU_TDO,CPU,CORE0S,AGS_0,_CH0,ADC0,ADC0_AGSVIEW,10,-,-,I:DUT.CPU_CORE0S_AGSVIEW_CH0_AGS_0
CPU_TDO,CPU,CORE0S,DGS_0,_CH0,ADC1,ADC1_AGSVIEW,10,-,-,I:DUT.CPU_CORE0S_AGSVIEW_CH0_DGS_0
