Pin,Domain,Register,Field,Size,Base,StringData,Equation,ItuffToken,ItuffDescriptor,ExitPort,StorageToken
CPU_TDO,ATOM0,ADC0,FIELD_1,10,-,-,((this/1024)*0.8),CPU_VBGBY2,,-,D:DUT.CPU_ATOM0_VBGBY2
CPU_TDO,ATOM0,ADC1,FIELD_2,10,-,-,((this/1024)*0.8),CPU_AMP_VINP,,-,D:DUT.CPU_ATOM0_AMP_VINP
CPU_TDO,ATOM0,ADC0,FIELD_3,10,-,-,((this/1024)*0.8),CPU_PREMUX,,-,D:DUT.CPU_ATOM0_PREMUX
CPU_TDO,ATOM0,ADC1,FIELD_4,10,-,-,((this/1024)*0.8),CPU_AMP_VINM,,-,D:DUT.CPU_ATOM0_AMP_VINM
CPU_TDO,ATOM0,ADC0,FIELD_5,10,-,-,((this/1024)*0.8),CPU_PREMUX1,,-,D:DUT.CPU_ATOM0_PREMUX
CPU_TDO,ATOM0,ADC1,FIELD_6,10,-,-,((this/1024)*0.8),CPU_OTAPBIAS,,-,D:DUT.CPU_ATOM0_OTAPBIAS
CPU_TDO,ATOM1,ADC0,FIELD_1,10,-,-,((this/1024)*0.8),CPU_VBGBY2,,-,D:DUT.CPU_ATOM1_VBGBY2
CPU_TDO,ATOM1,ADC1,FIELD_2,10,-,-,((this/1024)*0.8),CPU_AMP_VINP,,-,D:DUT.CPU_ATOM1_AMP_VINP
CPU_TDO,ATOM1,ADC0,FIELD_3,10,-,-,((this/1024)*0.8),CPU_PREMUX,,-,D:DUT.CPU_ATOM1_PREMUX
CPU_TDO,ATOM1,ADC1,FIELD_4,10,-,-,((this/1024)*0.8),CPU_AMP_VINM,,-,D:DUT.CPU_ATOM1_AMP_VINM
CPU_TDO,ATOM1,ADC0,FIELD_5,10,-,-,((this/1024)*0.8),CPU_PREMUX1,,-,D:DUT.CPU_ATOM1_PREMUX
CPU_TDO,ATOM1,ADC1,FIELD_6,10,-,-,((this/1024)*0.8),CPU_OTAPBIAS,,-,D:DUT.CPU_ATOM1_OTAPBIAS
CPU_TDO,ATOM2,ADC0,FIELD_1,10,-,-,((this/1024)*0.8),CPU_VBGBY2,,-,D:DUT.CPU_ATOM2_VBGBY2
CPU_TDO,ATOM2,ADC1,FIELD_2,10,-,-,((this/1024)*0.8),CPU_AMP_VINP,,-,D:DUT.CPU_ATOM2_AMP_VINP
CPU_TDO,ATOM2,ADC0,FIELD_3,10,-,-,((this/1024)*0.8),CPU_PREMUX,,-,D:DUT.CPU_ATOM2_PREMUX
CPU_TDO,ATOM2,ADC1,FIELD_4,10,-,-,((this/1024)*0.8),CPU_AMP_VINM,,-,D:DUT.CPU_ATOM2_AMP_VINM
CPU_TDO,ATOM2,ADC0,FIELD_5,10,-,-,((this/1024)*0.8),CPU_PREMUX1,,-,D:DUT.CPU_ATOM2_PREMUX
CPU_TDO,ATOM2,ADC1,FIELD_6,10,-,-,((this/1024)*0.8),CPU_OTAPBIAS,,-,D:DUT.CPU_ATOM2_OTAPBIAS
CPU_TDO,ATOM3,ADC0,FIELD_1,10,-,-,((this/1024)*0.8),CPU_VBGBY2,,-,D:DUT.CPU_ATOM3_VBGBY2
CPU_TDO,ATOM3,ADC1,FIELD_2,10,-,-,((this/1024)*0.8),CPU_AMP_VINP,,-,D:DUT.CPU_ATOM3_AMP_VINP
CPU_TDO,ATOM3,ADC0,FIELD_3,10,-,-,((this/1024)*0.8),CPU_PREMUX,,-,D:DUT.CPU_ATOM3_PREMUX
CPU_TDO,ATOM3,ADC1,FIELD_4,10,-,-,((this/1024)*0.8),CPU_AMP_VINM,,-,D:DUT.CPU_ATOM3_AMP_VINM
CPU_TDO,ATOM3,ADC0,FIELD_5,10,-,-,((this/1024)*0.8),CPU_PREMUX1,,-,D:DUT.CPU_ATOM3_PREMUX
CPU_TDO,ATOM3,ADC1,FIELD_6,10,-,-,((this/1024)*0.8),CPU_OTAPBIAS,,-,D:DUT.CPU_ATOM3_OTAPBIAS
CPU_TDO,CORE0P,ADC0,FIELD_1,10,-,-,((this/1024)*0.8),CPU_VBGBY2,,-,D:DUT.CPU_CORE0P_VBGBY2
CPU_TDO,CORE0P,ADC1,FIELD_2,10,-,-,((this/1024)*0.8),CPU_AMP_VINP,,-,D:DUT.CPU_CORE0P_AMP_VINP
CPU_TDO,CORE0P,ADC0,FIELD_3,10,-,-,((this/1024)*0.8),CPU_PREMUX,,-,D:DUT.CPU_CORE0P_PREMUX
CPU_TDO,CORE0P,ADC1,FIELD_4,10,-,-,((this/1024)*0.8),CPU_AMP_VINM,,-,D:DUT.CPU_CORE0P_AMP_VINM
CPU_TDO,CORE0P,ADC0,FIELD_5,10,-,-,((this/1024)*0.8),CPU_PREMUX1,,-,D:DUT.CPU_CORE0P_PREMUX
CPU_TDO,CORE0P,ADC1,FIELD_6,10,-,-,((this/1024)*0.8),CPU_OTAPBIAS,,-,D:DUT.CPU_CORE0P_OTAPBIAS
CPU_TDO,CORE0S,ADC0,FIELD_1,10,-,-,((this/1024)*0.8),CPU_VBGBY2,,-,D:DUT.CPU_CORE0S_VBGBY2
CPU_TDO,CORE0S,ADC1,FIELD_2,10,-,-,((this/1024)*0.8),CPU_AMP_VINP,,-,D:DUT.CPU_CORE0S_AMP_VINP
CPU_TDO,CORE0S,ADC0,FIELD_3,10,-,-,((this/1024)*0.8),CPU_PREMUX,,-,D:DUT.CPU_CORE0S_PREMUX
CPU_TDO,CORE0S,ADC1,FIELD_4,10,-,-,((this/1024)*0.8),CPU_AMP_VINM,,-,D:DUT.CPU_CORE0S_AMP_VINM
CPU_TDO,CORE0S,ADC0,FIELD_5,10,-,-,((this/1024)*0.8),CPU_PREMUX1,,-,D:DUT.CPU_CORE0S_PREMUX
CPU_TDO,CORE0S,ADC1,FIELD_6,10,-,-,((this/1024)*0.8),CPU_OTAPBIAS,,-,D:DUT.CPU_CORE0S_OTAPBIAS
CPU_TDO,CORE1P,ADC0,FIELD_1,10,-,-,((this/1024)*0.8),CPU_VBGBY2,,-,D:DUT.CPU_CORE1P_VBGBY2
CPU_TDO,CORE1P,ADC1,FIELD_2,10,-,-,((this/1024)*0.8),CPU_AMP_VINP,,-,D:DUT.CPU_CORE1P_AMP_VINP
CPU_TDO,CORE1P,ADC0,FIELD_3,10,-,-,((this/1024)*0.8),CPU_PREMUX,,-,D:DUT.CPU_CORE1P_PREMUX
CPU_TDO,CORE1P,ADC1,FIELD_4,10,-,-,((this/1024)*0.8),CPU_AMP_VINM,,-,D:DUT.CPU_CORE1P_AMP_VINM
CPU_TDO,CORE1P,ADC0,FIELD_5,10,-,-,((this/1024)*0.8),CPU_PREMUX1,,-,D:DUT.CPU_CORE1P_PREMUX
CPU_TDO,CORE1P,ADC1,FIELD_6,10,-,-,((this/1024)*0.8),CPU_OTAPBIAS,,-,D:DUT.CPU_CORE1P_OTAPBIAS
CPU_TDO,CORE1S,ADC0,FIELD_1,10,-,-,((this/1024)*0.8),CPU_VBGBY2,,-,D:DUT.CPU_CORE1S_VBGBY2
CPU_TDO,CORE1S,ADC1,FIELD_2,10,-,-,((this/1024)*0.8),CPU_AMP_VINP,,-,D:DUT.CPU_CORE1S_AMP_VINP
CPU_TDO,CORE1S,ADC0,FIELD_3,10,-,-,((this/1024)*0.8),CPU_PREMUX,,-,D:DUT.CPU_CORE1S_PREMUX
CPU_TDO,CORE1S,ADC1,FIELD_4,10,-,-,((this/1024)*0.8),CPU_AMP_VINM,,-,D:DUT.CPU_CORE1S_AMP_VINM
CPU_TDO,CORE1S,ADC0,FIELD_5,10,-,-,((this/1024)*0.8),CPU_PREMUX1,,-,D:DUT.CPU_CORE1S_PREMUX
CPU_TDO,CORE1S,ADC1,FIELD_6,10,-,-,((this/1024)*0.8),CPU_OTAPBIAS,,-,D:DUT.CPU_CORE1S_OTAPBIAS
CPU_TDO,CORE2P,ADC0,FIELD_1,10,-,-,((this/1024)*0.8),CPU_VBGBY2,,-,D:DUT.CPU_CORE2P_VBGBY2
CPU_TDO,CORE2P,ADC1,FIELD_2,10,-,-,((this/1024)*0.8),CPU_AMP_VINP,,-,D:DUT.CPU_CORE2P_AMP_VINP
CPU_TDO,CORE2P,ADC0,FIELD_3,10,-,-,((this/1024)*0.8),CPU_PREMUX,,-,D:DUT.CPU_CORE2P_PREMUX
CPU_TDO,CORE2P,ADC1,FIELD_4,10,-,-,((this/1024)*0.8),CPU_AMP_VINM,,-,D:DUT.CPU_CORE2P_AMP_VINM
CPU_TDO,CORE2P,ADC0,FIELD_5,10,-,-,((this/1024)*0.8),CPU_PREMUX1,,-,D:DUT.CPU_CORE2P_PREMUX
CPU_TDO,CORE2P,ADC1,FIELD_6,10,-,-,((this/1024)*0.8),CPU_OTAPBIAS,,-,D:DUT.CPU_CORE2P_OTAPBIAS
CPU_TDO,CORE2S,ADC0,FIELD_1,10,-,-,((this/1024)*0.8),CPU_VBGBY2,,-,D:DUT.CPU_CORE2S_VBGBY2
CPU_TDO,CORE2S,ADC1,FIELD_2,10,-,-,((this/1024)*0.8),CPU_AMP_VINP,,-,D:DUT.CPU_CORE2S_AMP_VINP
CPU_TDO,CORE2S,ADC0,FIELD_3,10,-,-,((this/1024)*0.8),CPU_PREMUX,,-,D:DUT.CPU_CORE2S_PREMUX
CPU_TDO,CORE2S,ADC1,FIELD_4,10,-,-,((this/1024)*0.8),CPU_AMP_VINM,,-,D:DUT.CPU_CORE2S_AMP_VINM
CPU_TDO,CORE2S,ADC0,FIELD_5,10,-,-,((this/1024)*0.8),CPU_PREMUX1,,-,D:DUT.CPU_CORE2S_PREMUX
CPU_TDO,CORE2S,ADC1,FIELD_6,10,-,-,((this/1024)*0.8),CPU_OTAPBIAS,,-,D:DUT.CPU_CORE2S_OTAPBIAS
CPU_TDO,CORE3P,ADC0,FIELD_1,10,-,-,((this/1024)*0.8),CPU_VBGBY2,,-,D:DUT.CPU_CORE3P_VBGBY2
CPU_TDO,CORE3P,ADC1,FIELD_2,10,-,-,((this/1024)*0.8),CPU_AMP_VINP,,-,D:DUT.CPU_CORE3P_AMP_VINP
CPU_TDO,CORE3P,ADC0,FIELD_3,10,-,-,((this/1024)*0.8),CPU_PREMUX,,-,D:DUT.CPU_CORE3P_PREMUX
CPU_TDO,CORE3P,ADC1,FIELD_4,10,-,-,((this/1024)*0.8),CPU_AMP_VINM,,-,D:DUT.CPU_CORE3P_AMP_VINM
CPU_TDO,CORE3P,ADC0,FIELD_5,10,-,-,((this/1024)*0.8),CPU_PREMUX1,,-,D:DUT.CPU_CORE3P_PREMUX
CPU_TDO,CORE3P,ADC1,FIELD_6,10,-,-,((this/1024)*0.8),CPU_OTAPBIAS,,-,D:DUT.CPU_CORE3P_OTAPBIAS
CPU_TDO,CORE3S,ADC0,FIELD_1,10,-,-,((this/1024)*0.8),CPU_VBGBY2,,-,D:DUT.CPU_CORE3S_VBGBY2
CPU_TDO,CORE3S,ADC1,FIELD_2,10,-,-,((this/1024)*0.8),CPU_AMP_VINP,,-,D:DUT.CPU_CORE3S_AMP_VINP
CPU_TDO,CORE3S,ADC0,FIELD_3,10,-,-,((this/1024)*0.8),CPU_PREMUX,,-,D:DUT.CPU_CORE3S_PREMUX
CPU_TDO,CORE3S,ADC1,FIELD_4,10,-,-,((this/1024)*0.8),CPU_AMP_VINM,,-,D:DUT.CPU_CORE3S_AMP_VINM
CPU_TDO,CORE3S,ADC0,FIELD_5,10,-,-,((this/1024)*0.8),CPU_PREMUX1,,-,D:DUT.CPU_CORE3S_PREMUX
CPU_TDO,CORE3S,ADC1,FIELD_6,10,-,-,((this/1024)*0.8),CPU_OTAPBIAS,,-,D:DUT.CPU_CORE3S_OTAPBIAS
CPU_TDO,RINGPRIM,ADC0,FIELD_1,10,-,-,((this/1024)*0.8),CPU_VBGBY2,,-,D:DUT.CPU_RINGPRIM_VBGBY2
CPU_TDO,RINGPRIM,ADC1,FIELD_2,10,-,-,((this/1024)*0.8),CPU_AMP_VINP,,-,D:DUT.CPU_RINGPRIM_AMP_VINP
CPU_TDO,RINGPRIM,ADC0,FIELD_3,10,-,-,((this/1024)*0.8),CPU_PREMUX,,-,D:DUT.CPU_RINGPRIM_PREMUX
CPU_TDO,RINGPRIM,ADC1,FIELD_4,10,-,-,((this/1024)*0.8),CPU_AMP_VINM,,-,D:DUT.CPU_RINGPRIM_AMP_VINM
CPU_TDO,RINGPRIM,ADC0,FIELD_5,10,-,-,((this/1024)*0.8),CPU_PREMUX1,,-,D:DUT.CPU_RINGPRIM_PREMUX
CPU_TDO,RINGPRIM,ADC1,FIELD_6,10,-,-,((this/1024)*0.8),CPU_OTAPBIAS,,-,D:DUT.CPU_RINGPRIM_OTAPBIAS
CPU_TDO,RINGSEC0,ADC0,FIELD_1,10,-,-,((this/1024)*0.8),CPU_VBGBY2,,-,D:DUT.CPU_RINGSEC0_VBGBY2
CPU_TDO,RINGSEC0,ADC1,FIELD_2,10,-,-,((this/1024)*0.8),CPU_AMP_VINP,,-,D:DUT.CPU_RINGSEC0_AMP_VINP
CPU_TDO,RINGSEC0,ADC0,FIELD_3,10,-,-,((this/1024)*0.8),CPU_PREMUX,,-,D:DUT.CPU_RINGSEC0_PREMUX
CPU_TDO,RINGSEC0,ADC1,FIELD_4,10,-,-,((this/1024)*0.8),CPU_AMP_VINM,,-,D:DUT.CPU_RINGSEC0_AMP_VINM
CPU_TDO,RINGSEC0,ADC0,FIELD_5,10,-,-,((this/1024)*0.8),CPU_PREMUX1,,-,D:DUT.CPU_RINGSEC0_PREMUX
CPU_TDO,RINGSEC0,ADC1,FIELD_6,10,-,-,((this/1024)*0.8),CPU_OTAPBIAS,,-,D:DUT.CPU_RINGSEC0_OTAPBIAS
CPU_TDO,RINGSEC1,ADC0,FIELD_1,10,-,-,((this/1024)*0.8),CPU_VBGBY2,,-,D:DUT.CPU_RINGSEC1_VBGBY2
CPU_TDO,RINGSEC1,ADC1,FIELD_2,10,-,-,((this/1024)*0.8),CPU_AMP_VINP,,-,D:DUT.CPU_RINGSEC1_AMP_VINP
CPU_TDO,RINGSEC1,ADC0,FIELD_3,10,-,-,((this/1024)*0.8),CPU_PREMUX,,-,D:DUT.CPU_RINGSEC1_PREMUX
CPU_TDO,RINGSEC1,ADC1,FIELD_4,10,-,-,((this/1024)*0.8),CPU_AMP_VINM,,-,D:DUT.CPU_RINGSEC1_AMP_VINM
CPU_TDO,RINGSEC1,ADC0,FIELD_5,10,-,-,((this/1024)*0.8),CPU_PREMUX1,,-,D:DUT.CPU_RINGSEC1_PREMUX
CPU_TDO,RINGSEC1,ADC1,FIELD_6,10,-,-,((this/1024)*0.8),CPU_OTAPBIAS,,-,D:DUT.CPU_RINGSEC1_OTAPBIAS
CPU_TDO,RINGSEC2,ADC0,FIELD_1,10,-,-,((this/1024)*0.8),CPU_VBGBY2,,-,D:DUT.CPU_RINGSEC2_VBGBY2
CPU_TDO,RINGSEC2,ADC1,FIELD_2,10,-,-,((this/1024)*0.8),CPU_AMP_VINP,,-,D:DUT.CPU_RINGSEC2_AMP_VINP
CPU_TDO,RINGSEC2,ADC0,FIELD_3,10,-,-,((this/1024)*0.8),CPU_PREMUX,,-,D:DUT.CPU_RINGSEC2_PREMUX
CPU_TDO,RINGSEC2,ADC1,FIELD_4,10,-,-,((this/1024)*0.8),CPU_AMP_VINM,,-,D:DUT.CPU_RINGSEC2_AMP_VINM
CPU_TDO,RINGSEC2,ADC0,FIELD_5,10,-,-,((this/1024)*0.8),CPU_PREMUX1,,-,D:DUT.CPU_RINGSEC2_PREMUX
CPU_TDO,RINGSEC2,ADC1,FIELD_6,10,-,-,((this/1024)*0.8),CPU_OTAPBIAS,,-,D:DUT.CPU_RINGSEC2_OTAPBIAS
