Pin,Domain,Register,Field,Size,Base,StringData,ItuffToken,ItuffDescriptor,ExitPort,StorageToken,Equation
CPU_TDO,ATOM0,CLK_GATING,CRIA,1,-,-,CPU_CRIA,,-,-,-
CPU_TDO,ATOM0,CLK_GATING,CRIR,1,-,-,CPU_CRIR,,-,-,-
CPU_TDO,ATOM0,DLVR_TAP_RAIL_STATUS_RED,CRI_CLK_ACK_H,1,-,-,CPU_CRI_CLK_1,,-,-,-
CPU_TDO,ATOM0,DLVR_TAP_RAIL_STATUS_RED,CRI_CLK_ACK_H1,1,-,-,CPU_CRI_CLK_0,,-,-,-
CPU_TDO,ATOM1,CLK_GATING,CRIA,1,-,-,CPU_CRIA,,-,-,-
CPU_TDO,ATOM1,CLK_GATING,CRIR,1,-,-,CPU_CRIR,,-,-,-
CPU_TDO,ATOM1,DLVR_TAP_RAIL_STATUS_RED,CRI_CLK_ACK_H,1,-,-,CPU_CRI_CLK_1,,-,-,-
CPU_TDO,ATOM1,DLVR_TAP_RAIL_STATUS_RED,CRI_CLK_ACK_H1,1,-,-,CPU_CRI_CLK_0,,-,-,-
CPU_TDO,ATOM2,CLK_GATING,CRIA,1,-,-,CPU_CRIA,,-,-,-
CPU_TDO,ATOM2,CLK_GATING,CRIR,1,-,-,CPU_CRIR,,-,-,-
CPU_TDO,ATOM2,DLVR_TAP_RAIL_STATUS_RED,CRI_CLK_ACK_H,1,-,-,CPU_CRI_CLK_1,,-,-,-
CPU_TDO,ATOM2,DLVR_TAP_RAIL_STATUS_RED,CRI_CLK_ACK_H1,1,-,-,CPU_CRI_CLK_0,,-,-,-
CPU_TDO,ATOM3,CLK_GATING,CRIA,1,-,-,CPU_CRIA,,-,-,-
CPU_TDO,ATOM3,CLK_GATING,CRIR,1,-,-,CPU_CRIR,,-,-,-
CPU_TDO,ATOM3,DLVR_TAP_RAIL_STATUS_RED,CRI_CLK_ACK_H,1,-,-,CPU_CRI_CLK_1,,-,-,-
CPU_TDO,ATOM3,DLVR_TAP_RAIL_STATUS_RED,CRI_CLK_ACK_H1,1,-,-,CPU_CRI_CLK_0,,-,-,-
CPU_TDO,CORE0P,CLK_GATING,CRIA,1,-,-,CPU_CRIA,,-,-,-
CPU_TDO,CORE0P,CLK_GATING,CRIR,1,-,-,CPU_CRIR,,-,-,-
CPU_TDO,CORE0P,DLVR_TAP_RAIL_STATUS_RED,CRI_CLK_ACK_H,1,-,-,CPU_CRI_CLK_1,,-,-,-
CPU_TDO,CORE0P,DLVR_TAP_RAIL_STATUS_RED,CRI_CLK_ACK_H1,1,-,-,CPU_CRI_CLK_0,,-,-,-
CPU_TDO,CORE0S,CLK_GATING,CRIA,1,-,-,CPU_CRIA,,-,-,-
CPU_TDO,CORE0S,CLK_GATING,CRIR,1,-,-,CPU_CRIR,,-,-,-
CPU_TDO,CORE0S,DLVR_TAP_RAIL_STATUS_RED,CRI_CLK_ACK_H,1,-,-,CPU_CRI_CLK_1,,-,-,-
CPU_TDO,CORE0S,DLVR_TAP_RAIL_STATUS_RED,CRI_CLK_ACK_H1,1,-,-,CPU_CRI_CLK_0,,-,-,-
CPU_TDO,CORE1P,CLK_GATING,CRIA,1,-,-,CPU_CRIA,,-,-,-
