Pin,CPU,Domain,Sequence,Subsequence,Register,Field,Size,Equation,ItuffToken,StorageToken
CPU_OBS_06,CPU,ATOM0,DIGCOMPTRIM,BOT_NLC_BSA_DIG,TRIM_OUT,TRIM_1,1,-,,I:DUT.CPU_ATOM0_DIG_BOT_NLC_BSA_CODE1
CPU_OBS_06,CPU,ATOM0,DIGCOMPTRIM,BOT_NLC_BSA_DIG,TRIM_OUT,TRIM_2,1,-,,I:DUT.CPU_ATOM0_DIG_BOT_NLC_BSA_CODE2
CPU_OBS_06,CPU,ATOM0,DIGCOMPTRIM,BOT_NLC_BSA_DIG,TRIM_OUT,TRIM_3,1,-,,I:DUT.CPU_ATOM0_DIG_BOT_NLC_BSA_CODE3
CPU_OBS_06,CPU,ATOM0,DIGCOMPTRIM,BOT_NLC_BSA_DIG,TRIM_OUT,TRIM_4,1,-,,I:DUT.CPU_ATOM0_DIG_BOT_NLC_BSA_CODE4
CPU_OBS_06,CPU,ATOM0,DIGCOMPTRIM,BOT_NLC_BSA_DIG,TRIM_OUT,TRIM_5,1,-,,I:DUT.CPU_ATOM0_DIG_BOT_NLC_BSA_CODE5
CPU_OBS_06,CPU,ATOM0,DIGCOMPTRIM,BOT_NLC_BSA_DIG,TRIM_OUT,TRIM_6,1,-,,I:DUT.CPU_ATOM0_DIG_BOT_NLC_BSA_CODE6
CPU_OBS_06,CPU,ATOM0,DIGCOMPTRIM,BOT_NLC_BSA_DIG,TRIM_OUT,TRIM_7,1,-,,I:DUT.CPU_ATOM0_DIG_BOT_NLC_BSA_CODE7
CPU_OBS_06,CPU,ATOM0,DIGCOMPTRIM,BOT_NLC_BSA_DIG,TRIM_OUT,TRIM_8,1,-,,I:DUT.CPU_ATOM0_DIG_BOT_NLC_BSA_CODE8
CPU_OBS_06,CPU,ATOM0,DIGCOMPTRIM,BOT_NLC_BSA_DIG,TRIM_OUT,TRIM_9,1,-,,I:DUT.CPU_ATOM0_DIG_BOT_NLC_BSA_CODE9
CPU_OBS_06,CPU,ATOM0,DIGCOMPTRIM,BOT_NLC_BSA_DIG,TRIM_OUT,TRIM_10,1,-,,I:DUT.CPU_ATOM0_DIG_BOT_NLC_BSA_CODE10
CPU_OBS_06,CPU,ATOM0,DIGCOMPTRIM,BOT_NLC_BSA_DIG,TRIM_OUT,TRIM_11,1,-,,I:DUT.CPU_ATOM0_DIG_BOT_NLC_BSA_CODE11
CPU_OBS_06,CPU,ATOM0,DIGCOMPTRIM,BOT_NLC_BSA_DIG,TRIM_OUT,TRIM_12,1,-,,I:DUT.CPU_ATOM0_DIG_BOT_NLC_BSA_CODE12
CPU_OBS_06,CPU,ATOM0,DIGCOMPTRIM,BOT_NLC_BSA_DIG,TRIM_OUT,TRIM_13,1,-,,I:DUT.CPU_ATOM0_DIG_BOT_NLC_BSA_CODE13
CPU_OBS_06,CPU,ATOM0,DIGCOMPTRIM,BOT_NLC_BSA_DIG,TRIM_OUT,TRIM_14,1,-,,I:DUT.CPU_ATOM0_DIG_BOT_NLC_BSA_CODE14
CPU_OBS_06,CPU,ATOM0,DIGCOMPTRIM,BOT_NLC_BSA_DIG,TRIM_OUT,TRIM_15,1,-,,I:DUT.CPU_ATOM0_DIG_BOT_NLC_BSA_CODE15
CPU_OBS_06,CPU,ATOM0,DIGCOMPTRIM,BOT_NLC_BSA_DIG,TRIM_OUT,TRIM_16,1,-,,I:DUT.CPU_ATOM0_DIG_BOT_NLC_BSA_CODE16
CPU_OBS_06,CPU,ATOM0,DIGCOMPTRIM,BOT_NLC_BSA_DIG,TRIM_OUT,TRIM_17,1,-,,I:DUT.CPU_ATOM0_DIG_BOT_NLC_BSA_CODE17
CPU_OBS_06,CPU,ATOM0,DIGCOMPTRIM,BOT_NLC_BSA_DIG,TRIM_OUT,TRIM_18,1,-,,I:DUT.CPU_ATOM0_DIG_BOT_NLC_BSA_CODE18
CPU_OBS_06,CPU,ATOM0,DIGCOMPTRIM,BOT_NLC_BSA_DIG,TRIM_OUT,TRIM_19,1,-,,I:DUT.CPU_ATOM0_DIG_BOT_NLC_BSA_CODE19
CPU_OBS_06,CPU,ATOM0,DIGCOMPTRIM,BOT_NLC_BSA_DIG,TRIM_OUT,TRIM_20,1,-,,I:DUT.CPU_ATOM0_DIG_BOT_NLC_BSA_CODE20
CPU_OBS_06,CPU,ATOM0,DIGCOMPTRIM,BOT_NLC_BSA_DIG,TRIM_OUT,TRIM_21,1,-,,I:DUT.CPU_ATOM0_DIG_BOT_NLC_BSA_CODE21
CPU_OBS_06,CPU,ATOM0,DIGCOMPTRIM,BOT_NLC_BSA_DIG,TRIM_OUT,TRIM_22,1,-,,I:DUT.CPU_ATOM0_DIG_BOT_NLC_BSA_CODE22
CPU_OBS_06,CPU,ATOM0,DIGCOMPTRIM,BOT_NLC_BSA_DIG,TRIM_OUT,TRIM_23,1,-,,I:DUT.CPU_ATOM0_DIG_BOT_NLC_BSA_CODE23
