Pin;IP;Sequence;Subsequence;Field;Size;PerBit;LowLimit;HighLimit;ExpectedData;Equation;ItuffToken;ExitPort;Base;StorageToken
IPC::CPU_TDO;DTS;TAPCHK_IPVERSION_IP_GEN_VERSION;raw;AON;8;0;-;-;-;-;-;2;;I:DUT.iC48_SDS_TDO_<IP>_<Sequence>_<Subsequence>_<Field>
IPC::CPU_TDO;DTS;TAPCHK_IPVERSION_IP_PROCESS_NODE;raw;AON;4;0;-;-;-;-;-;2;;I:DUT.iC48_SDS_TDO_<IP>_<Sequence>_<Subsequence>_<Field>
IPC::CPU_TDO;DTS;TAPCHK_IPVERSION_IP_STEPPING;raw;AON;8;0;-;-;-;-;-;2;;I:DUT.iC48_SDS_TDO_<IP>_<Sequence>_<Subsequence>_<Field>
IPC::CPU_TDO;DTS;TAPCHK_IPVERSION_IP_SUBVERSION;raw;AON;4;0;-;-;-;-;-;2;;I:DUT.iC48_SDS_TDO_<IP>_<Sequence>_<Subsequence>_<Field>
IPC::CPU_TDO;DTS;TAPCHK_IPVERSION_IP_GEN_VERSION;raw;CCF0;8;0;-;-;-;-;-;2;;I:DUT.iC48_SDS_TDO_<IP>_<Sequence>_<Subsequence>_<Field>
IPC::CPU_TDO;DTS;TAPCHK_IPVERSION_IP_PROCESS_NODE;raw;CCF0;4;0;-;-;-;-;-;2;;I:DUT.iC48_SDS_TDO_<IP>_<Sequence>_<Subsequence>_<Field>
IPC::CPU_TDO;DTS;TAPCHK_IPVERSION_IP_STEPPING;raw;CCF0;8;0;-;-;-;-;-;2;;I:DUT.iC48_SDS_TDO_<IP>_<Sequence>_<Subsequence>_<Field>
IPC::CPU_TDO;DTS;TAPCHK_IPVERSION_IP_SUBVERSION;raw;CCF0;4;0;-;-;-;-;-;2;;I:DUT.iC48_SDS_TDO_<IP>_<Sequence>_<Subsequence>_<Field>
IPC::CPU_TDO;DTS;TAPCHK_IPVERSION_IP_GEN_VERSION;raw;CCF1;8;0;-;-;-;-;-;2;;I:DUT.iC48_SDS_TDO_<IP>_<Sequence>_<Subsequence>_<Field>
IPC::CPU_TDO;DTS;TAPCHK_IPVERSION_IP_PROCESS_NODE;raw;CCF1;4;0;-;-;-;-;-;2;;I:DUT.iC48_SDS_TDO_<IP>_<Sequence>_<Subsequence>_<Field>
IPC::CPU_TDO;DTS;TAPCHK_IPVERSION_IP_STEPPING;raw;CCF1;8;0;-;-;-;-;-;2;;I:DUT.iC48_SDS_TDO_<IP>_<Sequence>_<Subsequence>_<Field>
IPC::CPU_TDO;DTS;TAPCHK_IPVERSION_IP_SUBVERSION;raw;CCF1;4;0;-;-;-;-;-;2;;I:DUT.iC48_SDS_TDO_<IP>_<Sequence>_<Subsequence>_<Field>
IPC::CPU_TDO;DTS;TAPCHK_IPVERSION_IP_GEN_VERSION;raw;A0;8;0;-;-;-;-;-;2;;I:DUT.iC48_SDS_TDO_<IP>_<Sequence>_<Subsequence>_<Field>
IPC::CPU_TDO;DTS;TAPCHK_IPVERSION_IP_PROCESS_NODE;raw;A0;4;0;-;-;-;-;-;2;;I:DUT.iC48_SDS_TDO_<IP>_<Sequence>_<Subsequence>_<Field>
IPC::CPU_TDO;DTS;TAPCHK_IPVERSION_IP_STEPPING;raw;A0;8;0;-;-;-;-;-;2;;I:DUT.iC48_SDS_TDO_<IP>_<Sequence>_<Subsequence>_<Field>
IPC::CPU_TDO;DTS;TAPCHK_IPVERSION_IP_SUBVERSION;raw;A0;4;0;-;-;-;-;-;2;;I:DUT.iC48_SDS_TDO_<IP>_<Sequence>_<Subsequence>_<Field>
IPC::CPU_TDO;DTS;TAPCHK_IPVERSION_IP_GEN_VERSION;raw;A1;8;0;-;-;-;-;-;2;;I:DUT.iC48_SDS_TDO_<IP>_<Sequence>_<Subsequence>_<Field>
IPC::CPU_TDO;DTS;TAPCHK_IPVERSION_IP_PROCESS_NODE;raw;A1;4;0;-;-;-;-;-;2;;I:DUT.iC48_SDS_TDO_<IP>_<Sequence>_<Subsequence>_<Field>
IPC::CPU_TDO;DTS;TAPCHK_IPVERSION_IP_STEPPING;raw;A1;8;0;-;-;-;-;-;2;;I:DUT.iC48_SDS_TDO_<IP>_<Sequence>_<Subsequence>_<Field>
IPC::CPU_TDO;DTS;TAPCHK_IPVERSION_IP_SUBVERSION;raw;A1;4;0;-;-;-;-;-;2;;I:DUT.iC48_SDS_TDO_<IP>_<Sequence>_<Subsequence>_<Field>
IPC::CPU_TDO;DTS;TAPCHK_IPVERSION_IP_GEN_VERSION;raw;C0;8;0;-;-;-;-;-;2;;I:DUT.iC48_SDS_TDO_<IP>_<Sequence>_<Subsequence>_<Field>
IPC::CPU_TDO;DTS;TAPCHK_IPVERSION_IP_PROCESS_NODE;raw;C0;4;0;-;-;-;-;-;2;;I:DUT.iC48_SDS_TDO_<IP>_<Sequence>_<Subsequence>_<Field>
IPC::CPU_TDO;DTS;TAPCHK_IPVERSION_IP_STEPPING;raw;C0;8;0;-;-;-;-;-;2;;I:DUT.iC48_SDS_TDO_<IP>_<Sequence>_<Subsequence>_<Field>
IPC::CPU_TDO;DTS;TAPCHK_IPVERSION_IP_SUBVERSION;raw;C0;4;0;-;-;-;-;-;2;;I:DUT.iC48_SDS_TDO_<IP>_<Sequence>_<Subsequence>_<Field>
IPC::CPU_TDO;DTS;TAPCHK_IPVERSION_IP_GEN_VERSION;raw;C1;8;0;-;-;-;-;-;2;;I:DUT.iC48_SDS_TDO_<IP>_<Sequence>_<Subsequence>_<Field>
IPC::CPU_TDO;DTS;TAPCHK_IPVERSION_IP_PROCESS_NODE;raw;C1;4;0;-;-;-;-;-;2;;I:DUT.iC48_SDS_TDO_<IP>_<Sequence>_<Subsequence>_<Field>
IPC::CPU_TDO;DTS;TAPCHK_IPVERSION_IP_STEPPING;raw;C1;8;0;-;-;-;-;-;2;;I:DUT.iC48_SDS_TDO_<IP>_<Sequence>_<Subsequence>_<Field>
IPC::CPU_TDO;DTS;TAPCHK_IPVERSION_IP_SUBVERSION;raw;C1;4;0;-;-;-;-;-;2;;I:DUT.iC48_SDS_TDO_<IP>_<Sequence>_<Subsequence>_<Field>
IPC::CPU_TDO;DTS;TAPCHK_IPVERSION_IP_GEN_VERSION;raw;C2;8;0;-;-;-;-;-;2;;I:DUT.iC48_SDS_TDO_<IP>_<Sequence>_<Subsequence>_<Field>
IPC::CPU_TDO;DTS;TAPCHK_IPVERSION_IP_PROCESS_NODE;raw;C2;4;0;-;-;-;-;-;2;;I:DUT.iC48_SDS_TDO_<IP>_<Sequence>_<Subsequence>_<Field>
IPC::CPU_TDO;DTS;TAPCHK_IPVERSION_IP_STEPPING;raw;C2;8;0;-;-;-;-;-;2;;I:DUT.iC48_SDS_TDO_<IP>_<Sequence>_<Subsequence>_<Field>
IPC::CPU_TDO;DTS;TAPCHK_IPVERSION_IP_SUBVERSION;raw;C2;4;0;-;-;-;-;-;2;;I:DUT.iC48_SDS_TDO_<IP>_<Sequence>_<Subsequence>_<Field>
IPC::CPU_TDO;DTS;TAPCHK_IPVERSION_IP_GEN_VERSION;raw;C3;8;0;-;-;-;-;-;2;;I:DUT.iC48_SDS_TDO_<IP>_<Sequence>_<Subsequence>_<Field>
IPC::CPU_TDO;DTS;TAPCHK_IPVERSION_IP_PROCESS_NODE;raw;C3;4;0;-;-;-;-;-;2;;I:DUT.iC48_SDS_TDO_<IP>_<Sequence>_<Subsequence>_<Field>
IPC::CPU_TDO;DTS;TAPCHK_IPVERSION_IP_STEPPING;raw;C3;8;0;-;-;-;-;-;2;;I:DUT.iC48_SDS_TDO_<IP>_<Sequence>_<Subsequence>_<Field>
IPC::CPU_TDO;DTS;TAPCHK_IPVERSION_IP_SUBVERSION;raw;C3;4;0;-;-;-;-;-;2;;I:DUT.iC48_SDS_TDO_<IP>_<Sequence>_<Subsequence>_<Field>
IPC::CPU_TDO;DTS;TAPCHK_IPVERSION_IP_GEN_VERSION;print;AON;0;0;-;-;-;TAPCHK_IPVERSION_IP_GEN_VERSION.raw.AON;TH_C48_TAPCHK_IPVERSION_IP_GEN_VERSION;2;;
IPC::CPU_TDO;DTS;TAPCHK_IPVERSION_IP_GEN_VERSION;print;CCF0;0;0;-;-;-;TAPCHK_IPVERSION_IP_GEN_VERSION.raw.CCF0;TH_C48_TAPCHK_IPVERSION_IP_GEN_VERSION;2;;
IPC::CPU_TDO;DTS;TAPCHK_IPVERSION_IP_GEN_VERSION;print;CCF1;0;0;-;-;-;TAPCHK_IPVERSION_IP_GEN_VERSION.raw.CCF1;TH_C48_TAPCHK_IPVERSION_IP_GEN_VERSION;2;;
IPC::CPU_TDO;DTS;TAPCHK_IPVERSION_IP_GEN_VERSION;print;A0;0;0;-;-;-;TAPCHK_IPVERSION_IP_GEN_VERSION.raw.A0;TH_C48_TAPCHK_IPVERSION_IP_GEN_VERSION;2;;
IPC::CPU_TDO;DTS;TAPCHK_IPVERSION_IP_GEN_VERSION;print;A1;0;0;-;-;-;TAPCHK_IPVERSION_IP_GEN_VERSION.raw.A1;TH_C48_TAPCHK_IPVERSION_IP_GEN_VERSION;2;;
IPC::CPU_TDO;DTS;TAPCHK_IPVERSION_IP_GEN_VERSION;print;C0;0;0;-;-;-;TAPCHK_IPVERSION_IP_GEN_VERSION.raw.C0;TH_C48_TAPCHK_IPVERSION_IP_GEN_VERSION;2;;
IPC::CPU_TDO;DTS;TAPCHK_IPVERSION_IP_GEN_VERSION;print;C1;0;0;-;-;-;TAPCHK_IPVERSION_IP_GEN_VERSION.raw.C1;TH_C48_TAPCHK_IPVERSION_IP_GEN_VERSION;2;;
IPC::CPU_TDO;DTS;TAPCHK_IPVERSION_IP_GEN_VERSION;print;C2;0;0;-;-;-;TAPCHK_IPVERSION_IP_GEN_VERSION.raw.C2;TH_C48_TAPCHK_IPVERSION_IP_GEN_VERSION;2;;
