Pin;IP;Sequence;Subsequence;Field;Size;PerBit;LowLimit;HighLimit;ExpectedData;Equation;ItuffToken;ExitPort;Base;StorageToken
IPC::CPU_TDO;DTS;CATTRIMFSMSTATE;raw;AON;2;0;-;-;-;-;;2;;I:DUT.iC48_CLASS_TDO_<IP>_<Sequence>_<Subsequence>_<Field>
IPC::CPU_TDO;DTS;CATTRIM;raw;AON;8;0;40;200;-;-;;3;;I:DUT.iC48_CLASS_TDO_<IP>_<Sequence>_<Subsequence>_<Field>
IPC::CPU_TDO;DTS;CATTRIMFSMSTATE;raw;CCF0S0;2;0;-;-;-;-;;2;;I:DUT.iC48_CLASS_TDO_<IP>_<Sequence>_<Subsequence>_<Field>
IPC::CPU_TDO;DTS;CATTRIM;raw;CCF0S0;8;0;70;111;-;-;;3;;I:DUT.iC48_CLASS_TDO_<IP>_<Sequence>_<Subsequence>_<Field>
IPC::CPU_TDO;DTS;CATTRIMFSMSTATE;raw;CCF0S1;2;0;-;-;-;-;;2;;I:DUT.iC48_CLASS_TDO_<IP>_<Sequence>_<Subsequence>_<Field>
IPC::CPU_TDO;DTS;CATTRIM;raw;CCF0S1;8;0;70;111;-;-;;3;;I:DUT.iC48_CLASS_TDO_<IP>_<Sequence>_<Subsequence>_<Field>
IPC::CPU_TDO;DTS;CATTRIMFSMSTATE;raw;CCF0S2;2;0;-;-;-;-;;2;;I:DUT.iC48_CLASS_TDO_<IP>_<Sequence>_<Subsequence>_<Field>
IPC::CPU_TDO;DTS;CATTRIM;raw;CCF0S2;8;0;70;111;-;-;;3;;I:DUT.iC48_CLASS_TDO_<IP>_<Sequence>_<Subsequence>_<Field>
IPC::CPU_TDO;DTS;CATTRIMFSMSTATE;raw;CCF0S3;2;0;-;-;-;-;;2;;I:DUT.iC48_CLASS_TDO_<IP>_<Sequence>_<Subsequence>_<Field>
IPC::CPU_TDO;DTS;CATTRIM;raw;CCF0S3;8;0;70;111;-;-;;3;;I:DUT.iC48_CLASS_TDO_<IP>_<Sequence>_<Subsequence>_<Field>
IPC::CPU_TDO;DTS;CATTRIMFSMSTATE;raw;CCF0S4;2;0;-;-;-;-;;2;;I:DUT.iC48_CLASS_TDO_<IP>_<Sequence>_<Subsequence>_<Field>
IPC::CPU_TDO;DTS;CATTRIM;raw;CCF0S4;8;0;70;111;-;-;;3;;I:DUT.iC48_CLASS_TDO_<IP>_<Sequence>_<Subsequence>_<Field>
IPC::CPU_TDO;DTS;CATTRIMFSMSTATE;raw;CCF0S5;2;0;-;-;-;-;;2;;I:DUT.iC48_CLASS_TDO_<IP>_<Sequence>_<Subsequence>_<Field>
IPC::CPU_TDO;DTS;CATTRIM;raw;CCF0S5;8;0;70;111;-;-;;3;;I:DUT.iC48_CLASS_TDO_<IP>_<Sequence>_<Subsequence>_<Field>
IPC::CPU_TDO;DTS;CATTRIMFSMSTATE;raw;CCF0S6;2;0;-;-;-;-;;2;;I:DUT.iC48_CLASS_TDO_<IP>_<Sequence>_<Subsequence>_<Field>
IPC::CPU_TDO;DTS;CATTRIM;raw;CCF0S6;8;0;70;111;-;-;;3;;I:DUT.iC48_CLASS_TDO_<IP>_<Sequence>_<Subsequence>_<Field>
IPC::CPU_TDO;DTS;CATTRIMFSMSTATE;raw;CCF0S7;2;0;-;-;-;-;;2;;I:DUT.iC48_CLASS_TDO_<IP>_<Sequence>_<Subsequence>_<Field>
IPC::CPU_TDO;DTS;CATTRIM;raw;CCF0S7;8;0;70;111;-;-;;3;;I:DUT.iC48_CLASS_TDO_<IP>_<Sequence>_<Subsequence>_<Field>
IPC::CPU_TDO;DTS;CATTRIMFSMSTATE;raw;CCF0S8;2;0;-;-;-;-;;2;;I:DUT.iC48_CLASS_TDO_<IP>_<Sequence>_<Subsequence>_<Field>
IPC::CPU_TDO;DTS;CATTRIM;raw;CCF0S8;8;0;70;111;-;-;;3;;I:DUT.iC48_CLASS_TDO_<IP>_<Sequence>_<Subsequence>_<Field>
IPC::CPU_TDO;DTS;CATTRIMFSMSTATE;raw;CCF0S9;2;0;-;-;-;-;;2;;I:DUT.iC48_CLASS_TDO_<IP>_<Sequence>_<Subsequence>_<Field>
IPC::CPU_TDO;DTS;CATTRIM;raw;CCF0S9;8;0;70;111;-;-;;3;;I:DUT.iC48_CLASS_TDO_<IP>_<Sequence>_<Subsequence>_<Field>
