Pin;IP;Sequence;Subsequence;Field;Size;PerBit;LowLimit;HighLimit;ExpectedData;Equation;ItuffToken;ExitPort;Base;StorageToken
IPC::CPU_TDO;DTS;DTSCODE_VALID;raw0;AON;1;0;-;-;-;-;TH_C48_DTSCODE_CLASS_VALID_0;2;;
IPC::CPU_TDO;DTS;DTSCODE;raw0;AON;15;0;-;-;-;-;TH_C48_DTSCODE_CLASS_0;2;;
IPC::CPU_TDO;DTS;DTSCODE_VALID;raw0;CCF0S0;1;0;-;-;-;-;TH_C48_DTSCODE_CLASS_VALID_0;2;;
IPC::CPU_TDO;DTS;DTSCODE;raw0;CCF0S0;15;0;-;-;-;-;TH_C48_DTSCODE_CLASS_0;2;;
IPC::CPU_TDO;DTS;DTSCODE_VALID;raw0;CCF0S1;1;0;-;-;-;-;TH_C48_DTSCODE_CLASS_VALID_0;2;;
IPC::CPU_TDO;DTS;DTSCODE;raw0;CCF0S1;15;0;-;-;-;-;TH_C48_DTSCODE_CLASS_0;2;;
IPC::CPU_TDO;DTS;DTSCODE_VALID;raw0;CCF0S2;1;0;-;-;-;-;TH_C48_DTSCODE_CLASS_VALID_0;2;;
IPC::CPU_TDO;DTS;DTSCODE;raw0;CCF0S2;15;0;-;-;-;-;TH_C48_DTSCODE_CLASS_0;2;;
IPC::CPU_TDO;DTS;DTSCODE_VALID;raw0;CCF0S3;1;0;-;-;-;-;TH_C48_DTSCODE_CLASS_VALID_0;2;;
IPC::CPU_TDO;DTS;DTSCODE;raw0;CCF0S3;15;0;-;-;-;-;TH_C48_DTSCODE_CLASS_0;2;;
IPC::CPU_TDO;DTS;DTSCODE_VALID;raw0;CCF0S4;1;0;-;-;-;-;TH_C48_DTSCODE_CLASS_VALID_0;2;;
IPC::CPU_TDO;DTS;DTSCODE;raw0;CCF0S4;15;0;-;-;-;-;TH_C48_DTSCODE_CLASS_0;2;;
IPC::CPU_TDO;DTS;DTSCODE_VALID;raw0;CCF0S5;1;0;-;-;-;-;TH_C48_DTSCODE_CLASS_VALID_0;2;;
IPC::CPU_TDO;DTS;DTSCODE;raw0;CCF0S5;15;0;-;-;-;-;TH_C48_DTSCODE_CLASS_0;2;;
IPC::CPU_TDO;DTS;DTSCODE_VALID;raw0;CCF0S6;1;0;-;-;-;-;TH_C48_DTSCODE_CLASS_VALID_0;2;;
IPC::CPU_TDO;DTS;DTSCODE;raw0;CCF0S6;15;0;-;-;-;-;TH_C48_DTSCODE_CLASS_0;2;;
IPC::CPU_TDO;DTS;DTSCODE_VALID;raw0;CCF0S7;1;0;-;-;-;-;TH_C48_DTSCODE_CLASS_VALID_0;2;;
IPC::CPU_TDO;DTS;DTSCODE;raw0;CCF0S7;15;0;-;-;-;-;TH_C48_DTSCODE_CLASS_0;2;;
IPC::CPU_TDO;DTS;DTSCODE_VALID;raw0;CCF0S8;1;0;-;-;-;-;TH_C48_DTSCODE_CLASS_VALID_0;2;;
IPC::CPU_TDO;DTS;DTSCODE;raw0;CCF0S8;15;0;-;-;-;-;TH_C48_DTSCODE_CLASS_0;2;;
IPC::CPU_TDO;DTS;DTSCODE_VALID;raw0;CCF0S9;1;0;-;-;-;-;TH_C48_DTSCODE_CLASS_VALID_0;2;;
IPC::CPU_TDO;DTS;DTSCODE;raw0;CCF0S9;15;0;-;-;-;-;TH_C48_DTSCODE_CLASS_0;2;;
IPC::CPU_TDO;DTS;DTSCODE_VALID;raw0;CCF1S0;1;0;-;-;-;-;TH_C48_DTSCODE_CLASS_VALID_0;2;;
IPC::CPU_TDO;DTS;DTSCODE;raw0;CCF1S0;15;0;-;-;-;-;TH_C48_DTSCODE_CLASS_0;2;;
IPC::CPU_TDO;DTS;DTSCODE_VALID;raw0;CCF1S1;1;0;-;-;-;-;TH_C48_DTSCODE_CLASS_VALID_0;2;;
IPC::CPU_TDO;DTS;DTSCODE;raw0;CCF1S1;15;0;-;-;-;-;TH_C48_DTSCODE_CLASS_0;2;;
IPC::CPU_TDO;DTS;DTSCODE_VALID;raw0;CCF1S2;1;0;-;-;-;-;TH_C48_DTSCODE_CLASS_VALID_0;2;;
