Pin;IP;Sequence;Subsequence;Field;Size;PerBit;LowLimit;HighLimit;ExpectedData;Equation;ItuffToken;ExitPort;Base;StorageToken
IPC::CPU_TDO;DTS;CAT_ALERT_PLUSMINUS;raw0;AON;1;0;-;-;-;-;TH_C816_CAT_ALERT_PLUSMINUS_CLASS_AON;2;;I:DUT.iC816_CLASS_TDO_<IP>_<Sequence>_<Subsequence>_<Field>
IPC::CPU_TDO;DTS;CAT_ALERT_PLUSMINUS;raw0;CCF0S0;1;0;-;-;-;-;TH_C816_CAT_ALERT_PLUSMINUS_CLASS_CCF0S0;2;;I:DUT.iC816_CLASS_TDO_<IP>_<Sequence>_<Subsequence>_<Field>
IPC::CPU_TDO;DTS;CAT_ALERT_PLUSMINUS;raw0;CCF0S1;1;0;-;-;-;-;TH_C816_CAT_ALERT_PLUSMINUS_CLASS_CCF0S1;2;;I:DUT.iC816_CLASS_TDO_<IP>_<Sequence>_<Subsequence>_<Field>
IPC::CPU_TDO;DTS;CAT_ALERT_PLUSMINUS;raw0;CCF0S2;1;0;-;-;-;-;TH_C816_CAT_ALERT_PLUSMINUS_CLASS_CCF0S2;2;;I:DUT.iC816_CLASS_TDO_<IP>_<Sequence>_<Subsequence>_<Field>
IPC::CPU_TDO;DTS;CAT_ALERT_PLUSMINUS;raw0;CCF0S3;1;0;-;-;-;-;TH_C816_CAT_ALERT_PLUSMINUS_CLASS_CCF0S3;2;;I:DUT.iC816_CLASS_TDO_<IP>_<Sequence>_<Subsequence>_<Field>
IPC::CPU_TDO;DTS;CAT_ALERT_PLUSMINUS;raw0;CCF0S4;1;0;-;-;-;-;TH_C816_CAT_ALERT_PLUSMINUS_CLASS_CCF0S4;2;;I:DUT.iC816_CLASS_TDO_<IP>_<Sequence>_<Subsequence>_<Field>
IPC::CPU_TDO;DTS;CAT_ALERT_PLUSMINUS;raw0;CCF0S5;1;0;-;-;-;-;TH_C816_CAT_ALERT_PLUSMINUS_CLASS_CCF0S5;2;;I:DUT.iC816_CLASS_TDO_<IP>_<Sequence>_<Subsequence>_<Field>
IPC::CPU_TDO;DTS;CAT_ALERT_PLUSMINUS;raw0;CCF0S6;1;0;-;-;-;-;TH_C816_CAT_ALERT_PLUSMINUS_CLASS_CCF0S6;2;;I:DUT.iC816_CLASS_TDO_<IP>_<Sequence>_<Subsequence>_<Field>
IPC::CPU_TDO;DTS;CAT_ALERT_PLUSMINUS;raw0;CCF0S7;1;0;-;-;-;-;TH_C816_CAT_ALERT_PLUSMINUS_CLASS_CCF0S7;2;;I:DUT.iC816_CLASS_TDO_<IP>_<Sequence>_<Subsequence>_<Field>
IPC::CPU_TDO;DTS;CAT_ALERT_PLUSMINUS;raw0;CCF0S8;1;0;-;-;-;-;TH_C816_CAT_ALERT_PLUSMINUS_CLASS_CCF0S8;2;;I:DUT.iC816_CLASS_TDO_<IP>_<Sequence>_<Subsequence>_<Field>
IPC::CPU_TDO;DTS;CAT_ALERT_PLUSMINUS;raw0;CCF0S9;1;0;-;-;-;-;TH_C816_CAT_ALERT_PLUSMINUS_CLASS_CCF0S9;2;;I:DUT.iC816_CLASS_TDO_<IP>_<Sequence>_<Subsequence>_<Field>
IPC::CPU_TDO;DTS;CAT_ALERT_PLUSMINUS;raw0;CCF1S0;1;0;-;-;-;-;TH_C816_CAT_ALERT_PLUSMINUS_CLASS_CCF1S0;2;;I:DUT.iC816_CLASS_TDO_<IP>_<Sequence>_<Subsequence>_<Field>
IPC::CPU_TDO;DTS;CAT_ALERT_PLUSMINUS;raw0;CCF1S1;1;0;-;-;-;-;TH_C816_CAT_ALERT_PLUSMINUS_CLASS_CCF1S1;2;;I:DUT.iC816_CLASS_TDO_<IP>_<Sequence>_<Subsequence>_<Field>
IPC::CPU_TDO;DTS;CAT_ALERT_PLUSMINUS;raw0;CCF1S2;1;0;-;-;-;-;TH_C816_CAT_ALERT_PLUSMINUS_CLASS_CCF1S2;2;;I:DUT.iC816_CLASS_TDO_<IP>_<Sequence>_<Subsequence>_<Field>
IPC::CPU_TDO;DTS;CAT_ALERT_PLUSMINUS;raw0;CCF1S3;1;0;-;-;-;-;TH_C816_CAT_ALERT_PLUSMINUS_CLASS_CCF1S3;2;;I:DUT.iC816_CLASS_TDO_<IP>_<Sequence>_<Subsequence>_<Field>
IPC::CPU_TDO;DTS;CAT_ALERT_PLUSMINUS;raw0;CCF2S0;1;0;-;-;-;-;TH_C816_CAT_ALERT_PLUSMINUS_CLASS_CCF2S0;2;;I:DUT.iC816_CLASS_TDO_<IP>_<Sequence>_<Subsequence>_<Field>
IPC::CPU_TDO;DTS;CAT_ALERT_PLUSMINUS;raw0;CCF2S1;1;0;-;-;-;-;TH_C816_CAT_ALERT_PLUSMINUS_CLASS_CCF2S1;2;;I:DUT.iC816_CLASS_TDO_<IP>_<Sequence>_<Subsequence>_<Field>
IPC::CPU_TDO;DTS;CAT_ALERT_PLUSMINUS;raw0;CCF2S2;1;0;-;-;-;-;TH_C816_CAT_ALERT_PLUSMINUS_CLASS_CCF2S2;2;;I:DUT.iC816_CLASS_TDO_<IP>_<Sequence>_<Subsequence>_<Field>
IPC::CPU_TDO;DTS;CAT_ALERT_PLUSMINUS;raw0;CCF2S3;1;0;-;-;-;-;TH_C816_CAT_ALERT_PLUSMINUS_CLASS_CCF2S3;2;;I:DUT.iC816_CLASS_TDO_<IP>_<Sequence>_<Subsequence>_<Field>
IPC::CPU_TDO;DTS;CAT_ALERT_PLUSMINUS;raw0;CCF2S4;1;0;-;-;-;-;TH_C816_CAT_ALERT_PLUSMINUS_CLASS_CCF2S4;2;;I:DUT.iC816_CLASS_TDO_<IP>_<Sequence>_<Subsequence>_<Field>
IPC::CPU_TDO;DTS;CAT_ALERT_PLUSMINUS;raw0;CCF2S5;1;0;-;-;-;-;TH_C816_CAT_ALERT_PLUSMINUS_CLASS_CCF2S5;2;;I:DUT.iC816_CLASS_TDO_<IP>_<Sequence>_<Subsequence>_<Field>
IPC::CPU_TDO;DTS;CAT_ALERT_PLUSMINUS;raw0;CCF2S6;1;0;-;-;-;-;TH_C816_CAT_ALERT_PLUSMINUS_CLASS_CCF2S6;2;;I:DUT.iC816_CLASS_TDO_<IP>_<Sequence>_<Subsequence>_<Field>
IPC::CPU_TDO;DTS;CAT_ALERT_PLUSMINUS;raw0;CCF2S7;1;0;-;-;-;-;TH_C816_CAT_ALERT_PLUSMINUS_CLASS_CCF2S7;2;;I:DUT.iC816_CLASS_TDO_<IP>_<Sequence>_<Subsequence>_<Field>
IPC::CPU_TDO;DTS;CAT_ALERT_PLUSMINUS;raw0;CCF2S8;1;0;-;-;-;-;TH_C816_CAT_ALERT_PLUSMINUS_CLASS_CCF2S8;2;;I:DUT.iC816_CLASS_TDO_<IP>_<Sequence>_<Subsequence>_<Field>
IPC::CPU_TDO;DTS;CAT_ALERT_PLUSMINUS;raw0;CCF2S9;1;0;-;-;-;-;TH_C816_CAT_ALERT_PLUSMINUS_CLASS_CCF2S9;2;;I:DUT.iC816_CLASS_TDO_<IP>_<Sequence>_<Subsequence>_<Field>
IPC::CPU_TDO;DTS;CAT_ALERT_PLUSMINUS;raw0;CCF3S0;1;0;-;-;-;-;TH_C816_CAT_ALERT_PLUSMINUS_CLASS_CCF3S0;2;;I:DUT.iC816_CLASS_TDO_<IP>_<Sequence>_<Subsequence>_<Field>
IPC::CPU_TDO;DTS;CAT_ALERT_PLUSMINUS;raw0;CCF3S1;1;0;-;-;-;-;TH_C816_CAT_ALERT_PLUSMINUS_CLASS_CCF3S1;2;;I:DUT.iC816_CLASS_TDO_<IP>_<Sequence>_<Subsequence>_<Field>
IPC::CPU_TDO;DTS;CAT_ALERT_PLUSMINUS;raw0;CCF3S2;1;0;-;-;-;-;TH_C816_CAT_ALERT_PLUSMINUS_CLASS_CCF3S2;2;;I:DUT.iC816_CLASS_TDO_<IP>_<Sequence>_<Subsequence>_<Field>
IPC::CPU_TDO;DTS;CAT_ALERT_PLUSMINUS;raw0;CCF3S3;1;0;-;-;-;-;TH_C816_CAT_ALERT_PLUSMINUS_CLASS_CCF3S3;2;;I:DUT.iC816_CLASS_TDO_<IP>_<Sequence>_<Subsequence>_<Field>
IPC::CPU_TDO;DTS;CAT_ALERT_PLUSMINUS;raw0;A0S0;1;0;-;-;-;-;TH_C816_CAT_ALERT_PLUSMINUS_CLASS_A0S0;2;;I:DUT.iC816_CLASS_TDO_<IP>_<Sequence>_<Subsequence>_<Field>
IPC::CPU_TDO;DTS;CAT_ALERT_PLUSMINUS;raw0;A0S2;1;0;-;-;-;-;TH_C816_CAT_ALERT_PLUSMINUS_CLASS_A0S2;2;;I:DUT.iC816_CLASS_TDO_<IP>_<Sequence>_<Subsequence>_<Field>
IPC::CPU_TDO;DTS;CAT_ALERT_PLUSMINUS;raw0;A0S3;1;0;-;-;-;-;TH_C816_CAT_ALERT_PLUSMINUS_CLASS_A0S3;2;;I:DUT.iC816_CLASS_TDO_<IP>_<Sequence>_<Subsequence>_<Field>
IPC::CPU_TDO;DTS;CAT_ALERT_PLUSMINUS;raw0;A0S4;1;0;-;-;-;-;TH_C816_CAT_ALERT_PLUSMINUS_CLASS_A0S4;2;;I:DUT.iC816_CLASS_TDO_<IP>_<Sequence>_<Subsequence>_<Field>
IPC::CPU_TDO;DTS;CAT_ALERT_PLUSMINUS;raw0;A0S5;1;0;-;-;-;-;TH_C816_CAT_ALERT_PLUSMINUS_CLASS_A0S5;2;;I:DUT.iC816_CLASS_TDO_<IP>_<Sequence>_<Subsequence>_<Field>
IPC::CPU_TDO;DTS;CAT_ALERT_PLUSMINUS;raw0;A0S6;1;0;-;-;-;-;TH_C816_CAT_ALERT_PLUSMINUS_CLASS_A0S6;2;;I:DUT.iC816_CLASS_TDO_<IP>_<Sequence>_<Subsequence>_<Field>
IPC::CPU_TDO;DTS;CAT_ALERT_PLUSMINUS;raw0;A0S7;1;0;-;-;-;-;TH_C816_CAT_ALERT_PLUSMINUS_CLASS_A0S7;2;;I:DUT.iC816_CLASS_TDO_<IP>_<Sequence>_<Subsequence>_<Field>
IPC::CPU_TDO;DTS;CAT_ALERT_PLUSMINUS;raw0;A0S8;1;0;-;-;-;-;TH_C816_CAT_ALERT_PLUSMINUS_CLASS_A0S8;2;;I:DUT.iC816_CLASS_TDO_<IP>_<Sequence>_<Subsequence>_<Field>
IPC::CPU_TDO;DTS;CAT_ALERT_PLUSMINUS;raw0;A0S9;1;0;-;-;-;-;TH_C816_CAT_ALERT_PLUSMINUS_CLASS_A0S9;2;;I:DUT.iC816_CLASS_TDO_<IP>_<Sequence>_<Subsequence>_<Field>
IPC::CPU_TDO;DTS;CAT_ALERT_PLUSMINUS;raw0;A0S10;1;0;-;-;-;-;TH_C816_CAT_ALERT_PLUSMINUS_CLASS_A0S10;2;;I:DUT.iC816_CLASS_TDO_<IP>_<Sequence>_<Subsequence>_<Field>
IPC::CPU_TDO;DTS;CAT_ALERT_PLUSMINUS;raw0;A0S11;1;0;-;-;-;-;TH_C816_CAT_ALERT_PLUSMINUS_CLASS_A0S11;2;;I:DUT.iC816_CLASS_TDO_<IP>_<Sequence>_<Subsequence>_<Field>
IPC::CPU_TDO;DTS;CAT_ALERT_PLUSMINUS;raw0;A0S12;1;0;-;-;-;-;TH_C816_CAT_ALERT_PLUSMINUS_CLASS_A0S12;2;;I:DUT.iC816_CLASS_TDO_<IP>_<Sequence>_<Subsequence>_<Field>
