Pin;IP;Sequence;Subsequence;Field;Size;PerBit;LowLimit;HighLimit;ExpectedData;Equation;ItuffToken;ExitPort;Base;StorageToken
IPC::CPU_TDO;DTS;DTSTEMP;raw0;valid_AON;1;0;-;-;-;-;TH_C816_valid_DTSTEMP0;2;;
IPC::CPU_TDO;DTS;DTSTEMP;raw0;AON;9;0;-;-;-;((this/2)-64);TH_C816_DTSTEMP0;2;;
IPC::CPU_TDO;DTS;DTSTEMP;raw0;valid_CCF0S0;1;0;-;-;-;-;TH_C816_valid_DTSTEMP0;2;;
IPC::CPU_TDO;DTS;DTSTEMP;raw0;valid_CCF0S1;1;0;-;-;-;-;TH_C816_valid_DTSTEMP0;2;;
IPC::CPU_TDO;DTS;DTSTEMP;raw0;valid_CCF0S2;1;0;-;-;-;-;TH_C816_valid_DTSTEMP0;2;;
IPC::CPU_TDO;DTS;DTSTEMP;raw0;valid_CCF0S3;1;0;-;-;-;-;TH_C816_valid_DTSTEMP0;2;;
IPC::CPU_TDO;DTS;DTSTEMP;raw0;valid_CCF0S4;1;0;-;-;-;-;TH_C816_valid_DTSTEMP0;2;;
IPC::CPU_TDO;DTS;DTSTEMP;raw0;valid_CCF0S5;1;0;-;-;-;-;TH_C816_valid_DTSTEMP0;2;;
IPC::CPU_TDO;DTS;DTSTEMP;raw0;valid_CCF0S6;1;0;-;-;-;-;TH_C816_valid_DTSTEMP0;2;;
IPC::CPU_TDO;DTS;DTSTEMP;raw0;valid_CCF0S7;1;0;-;-;-;-;TH_C816_valid_DTSTEMP0;2;;
IPC::CPU_TDO;DTS;DTSTEMP;raw0;valid_CCF0S8;1;0;-;-;-;-;TH_C816_valid_DTSTEMP0;2;;
IPC::CPU_TDO;DTS;DTSTEMP;raw0;valid_CCF0S9;1;0;-;-;-;-;TH_C816_valid_DTSTEMP0;2;;
IPC::CPU_TDO;DTS;DTSTEMP;raw0;CCF0S0;9;0;-;-;-;((this/2)-64);TH_C816_DTSTEMP0;2;;
IPC::CPU_TDO;DTS;DTSTEMP;raw0;CCF0S1;9;0;-;-;-;((this/2)-64);TH_C816_DTSTEMP0;2;;
IPC::CPU_TDO;DTS;DTSTEMP;raw0;CCF0S2;9;0;-;-;-;((this/2)-64);TH_C816_DTSTEMP0;2;;
IPC::CPU_TDO;DTS;DTSTEMP;raw0;CCF0S3;9;0;-;-;-;((this/2)-64);TH_C816_DTSTEMP0;2;;
IPC::CPU_TDO;DTS;DTSTEMP;raw0;CCF0S4;9;0;-;-;-;((this/2)-64);TH_C816_DTSTEMP0;2;;
IPC::CPU_TDO;DTS;DTSTEMP;raw0;CCF0S5;9;0;-;-;-;((this/2)-64);TH_C816_DTSTEMP0;2;;
IPC::CPU_TDO;DTS;DTSTEMP;raw0;CCF0S6;9;0;-;-;-;((this/2)-64);TH_C816_DTSTEMP0;2;;
IPC::CPU_TDO;DTS;DTSTEMP;raw0;CCF0S7;9;0;-;-;-;((this/2)-64);TH_C816_DTSTEMP0;2;;
