Pin;IP;Sequence;Subsequence;Field;Size;PerBit;LowLimit;HighLimit;ExpectedData;Equation;ItuffToken;ExitPort;Base;StorageToken
IPC::CPU_TDO;DTS;CPU0_BGADC_VALID;raw0;AON;1;0;-;-;-;-;TH_CPU0_C816_BGADC_VALID_0;2;;
IPC::CPU_TDO;DTS;CPU0_BGADC_VBG;raw0;AON;15;0;-;-;-;((this/1023)*0.94);TH_CPU0_C816_BGADC_VBG_0;2;;
IPC::CPU_TDO;DTS;CPU0_BGADC_VALID;raw0;CCF0;1;0;-;-;-;-;TH_CPU0_C816_BGADC_VALID_0;2;;
IPC::CPU_TDO;DTS;CPU0_BGADC_VBG;raw0;CCF0;15;0;-;-;-;((this/1023)*0.94);TH_CPU0_C816_BGADC_VBG_0;2;;
IPC::CPU_TDO;DTS;CPU0_BGADC_VALID;raw0;CCF1;1;0;-;-;-;-;TH_CPU0_C816_BGADC_VALID_0;2;;
IPC::CPU_TDO;DTS;CPU0_BGADC_VBG;raw0;CCF1;15;0;-;-;-;((this/1023)*0.94);TH_CPU0_C816_BGADC_VBG_0;2;;
IPC::CPU_TDO;DTS;CPU0_BGADC_VALID;raw0;CCF2;1;0;-;-;-;-;TH_CPU0_C816_BGADC_VALID_0;2;;
IPC::CPU_TDO;DTS;CPU0_BGADC_VBG;raw0;CCF2;15;0;-;-;-;((this/1023)*0.94);TH_CPU0_C816_BGADC_VBG_0;2;;
IPC::CPU_TDO;DTS;CPU0_BGADC_VALID;raw0;CCF3;1;0;-;-;-;-;TH_CPU0_C816_BGADC_VALID_0;2;;
IPC::CPU_TDO;DTS;CPU0_BGADC_VBG;raw0;CCF3;15;0;-;-;-;((this/1023)*0.94);TH_CPU0_C816_BGADC_VBG_0;2;;
IPC::CPU_TDO;DTS;CPU0_BGADC_VALID;raw0;A0;1;0;-;-;-;-;TH_CPU0_C816_BGADC_VALID_0;2;;
IPC::CPU_TDO;DTS;CPU0_BGADC_VBG;raw0;A0;15;0;-;-;-;((this/1023)*0.94);TH_CPU0_C816_BGADC_VBG_0;2;;
IPC::CPU_TDO;DTS;CPU0_BGADC_VALID;raw0;A1;1;0;-;-;-;-;TH_CPU0_C816_BGADC_VALID_0;2;;
IPC::CPU_TDO;DTS;CPU0_BGADC_VBG;raw0;A1;15;0;-;-;-;((this/1023)*0.94);TH_CPU0_C816_BGADC_VBG_0;2;;
IPC::CPU_TDO;DTS;CPU0_BGADC_VALID;raw0;A2;1;0;-;-;-;-;TH_CPU0_C816_BGADC_VALID_0;2;;
IPC::CPU_TDO;DTS;CPU0_BGADC_VBG;raw0;A2;15;0;-;-;-;((this/1023)*0.94);TH_CPU0_C816_BGADC_VBG_0;2;;
IPC::CPU_TDO;DTS;CPU0_BGADC_VALID;raw0;A3;1;0;-;-;-;-;TH_CPU0_C816_BGADC_VALID_0;2;;
IPC::CPU_TDO;DTS;CPU0_BGADC_VBG;raw0;A3;15;0;-;-;-;((this/1023)*0.94);TH_CPU0_C816_BGADC_VBG_0;2;;
IPC::CPU_TDO;DTS;CPU0_BGADC_VALID;raw0;C0;1;0;-;-;-;-;TH_CPU0_C816_BGADC_VALID_0;2;;
IPC::CPU_TDO;DTS;CPU0_BGADC_VBG;raw0;C0;15;0;-;-;-;((this/1023)*0.94);TH_CPU0_C816_BGADC_VBG_0;2;;
IPC::CPU_TDO;DTS;CPU0_BGADC_VALID;raw0;C1;1;0;-;-;-;-;TH_CPU0_C816_BGADC_VALID_0;2;;
IPC::CPU_TDO;DTS;CPU0_BGADC_VBG;raw0;C1;15;0;-;-;-;((this/1023)*0.94);TH_CPU0_C816_BGADC_VBG_0;2;;
IPC::CPU_TDO;DTS;CPU0_BGADC_VALID;raw0;C2;1;0;-;-;-;-;TH_CPU0_C816_BGADC_VALID_0;2;;
IPC::CPU_TDO;DTS;CPU0_BGADC_VBG;raw0;C2;15;0;-;-;-;((this/1023)*0.94);TH_CPU0_C816_BGADC_VBG_0;2;;
IPC::CPU_TDO;DTS;CPU0_BGADC_VALID;raw0;C3;1;0;-;-;-;-;TH_CPU0_C816_BGADC_VALID_0;2;;
IPC::CPU_TDO;DTS;CPU0_BGADC_VBG;raw0;C3;15;0;-;-;-;((this/1023)*0.94);TH_CPU0_C816_BGADC_VBG_0;2;;
IPC::CPU_TDO;DTS;CPU0_BGADC_VALID;raw0;C4;1;0;-;-;-;-;TH_CPU0_C816_BGADC_VALID_0;2;;
IPC::CPU_TDO;DTS;CPU0_BGADC_VBG;raw0;C4;15;0;-;-;-;((this/1023)*0.94);TH_CPU0_C816_BGADC_VBG_0;2;;
IPC::CPU_TDO;DTS;CPU0_BGADC_VALID;raw0;C5;1;0;-;-;-;-;TH_CPU0_C816_BGADC_VALID_0;2;;
IPC::CPU_TDO;DTS;CPU0_BGADC_VBG;raw0;C5;15;0;-;-;-;((this/1023)*0.94);TH_CPU0_C816_BGADC_VBG_0;2;;
IPC::CPU_TDO;DTS;CPU0_BGADC_VALID;raw0;C6;1;0;-;-;-;-;TH_CPU0_C816_BGADC_VALID_0;2;;
IPC::CPU_TDO;DTS;CPU0_BGADC_VBG;raw0;C6;15;0;-;-;-;((this/1023)*0.94);TH_CPU0_C816_BGADC_VBG_0;2;;
IPC::CPU_TDO;DTS;CPU0_BGADC_VALID;raw0;C7;1;0;-;-;-;-;TH_CPU0_C816_BGADC_VALID_0;2;;
IPC::CPU_TDO;DTS;CPU0_BGADC_VBG;raw0;C7;15;0;-;-;-;((this/1023)*0.94);TH_CPU0_C816_BGADC_VBG_0;2;;
IPC::CPU_TDO;DTS;CPU0_BGADC_VALID;raw1;AON;1;0;-;-;-;-;TH_CPU0_C816_BGADC_VALID_1;2;;
IPC::CPU_TDO;DTS;CPU0_BGADC_VBG;raw1;AON;15;0;-;-;-;((this/1023)*0.94);TH_CPU0_C816_BGADC_VBG_1;2;;
IPC::CPU_TDO;DTS;CPU0_BGADC_VALID;raw1;CCF0;1;0;-;-;-;-;TH_CPU0_C816_BGADC_VALID_1;2;;
IPC::CPU_TDO;DTS;CPU0_BGADC_VBG;raw1;CCF0;15;0;-;-;-;((this/1023)*0.94);TH_CPU0_C816_BGADC_VBG_1;2;;
IPC::CPU_TDO;DTS;CPU0_BGADC_VALID;raw1;CCF1;1;0;-;-;-;-;TH_CPU0_C816_BGADC_VALID_1;2;;
