# Bucket B1  type=CSharpTest  template=CallbacksManager  tests=5
InstanceName,B1_INSTANCE_P1,PreInstance,SetPointsPreInstance
DLVR_X_UF_K_INIT_X_X_X_X_816,816,"ATOM0:0.8,ATOM1:0.8,ATOM2:0.8,ATOM3:0.8,CORE0:0.8,CORE1:0.8,CORE2:0.8,CORE3:0.8,CCF:0.8 --railconfigurations CDIE_ATOM_POWERMUXM0",ATOM
DLVR_X_UF_K_INIT_X_X_X_X_CPU1,CPU1,"ATOM0:0.8,ATOM1:0.8,ATOM2:0.8,ATOM3:0.8,CORE0:0.8,CORE1:0.8,CORE2:0.8,CORE3:0.8,CCF:0.8,ATOM0_1:0.8,ATOM1_1:0.8,ATOM2_1:0.8,ATOM3_1:0.8,CORE0_1:0.8,CORE1_1:0.8,CORE2_1:0.8,CORE3_1:0.8,CCF_1:0.8 --railconfigurations CDIE_ATOM_POWERMUXM0 CDIE_ATOM_POWERMUXM0_CPU1",ATOM
DLVR_X_UF_K_INIT_X_X_X_X_48,48,"ATOM0:0.8,ATOM1:0.8,CORE0:0.8,CORE1:0.8,CCF:0.8 --railconfigurations CDIE_ATOM_POWERMUXM0",ATOM
DLVR_X_UF_K_INIT_X_X_X_X_40,40,"CORE0:0.8,CORE1:0.8,CCF:0.8 --railconfigurations CDIE_CCF_POWERMUX",CORE0
DLVR_X_UF_K_INIT_X_X_X_X_20,20,"CORE0:0.8,CCF:0.8 --railconfigurations CDIE_CCF_POWERMUX",CORE0

# Bucket F1  type=Flow  flows=1
FlowName
PTH_VDAC_CXX_INIT

