Pin,IP,Sequence,Subsequence,Field,Size,LowLimit,HighLimit,ExpectedData,Equation,ItuffToken,ExitPort,Base,StorageToken
CPU_TDO,BGR,TRIM_CODE_GROUP_10,CODE_0,TRIM_CODE,8,-,-,-,-,TCSWEEP_0_10,-,-,I:DUT.BGDEFTEMPCO_BGTRIMCODE_H_0_10
CPU_TDO,BGR,TRIM_CODE_GROUP_10,CODE_0,DONE,1,-,-,-,-,TCSWEEP_0_10,-,-,
CPU_TDO,BGR,TRIM_CODE_GROUP_10,CODE_0,ERROR,1,-,-,-,-,TCSWEEP_0_10,-,-,
CPU_TDO,BGR,TRIM_CODE_GROUP_10,CODE_1,TRIM_CODE,8,-,-,-,-,TCSWEEP_1_10,-,-,I:DUT.BGDEFTEMPCO_BGTRIMCODE_H_1_10
CPU_TDO,BGR,TRIM_CODE_GROUP_10,CODE_1,DONE,1,-,-,-,-,TCSWEEP_1_10,-,-,
CPU_TDO,BGR,TRIM_CODE_GROUP_10,CODE_1,ERROR,1,-,-,-,-,TCSWEEP_1_10,-,-,
CPU_TDO,BGR,TRIM_CODE_GROUP_10,CODE_2,TRIM_CODE,8,-,-,-,-,TCSWEEP_2_10,-,-,I:DUT.BGDEFTEMPCO_BGTRIMCODE_H_2_10
CPU_TDO,BGR,TRIM_CODE_GROUP_10,CODE_2,DONE,1,-,-,-,-,TCSWEEP_2_10,-,-,
CPU_TDO,BGR,TRIM_CODE_GROUP_10,CODE_2,ERROR,1,-,-,-,-,TCSWEEP_2_10,-,-,
CPU_TDO,BGR,TRIM_CODE_GROUP_10,CODE_3,TRIM_CODE,8,-,-,-,-,TCSWEEP_3_10,-,-,I:DUT.BGDEFTEMPCO_BGTRIMCODE_H_3_10
CPU_TDO,BGR,TRIM_CODE_GROUP_10,CODE_3,DONE,1,-,-,-,-,TCSWEEP_3_10,-,-,
CPU_TDO,BGR,TRIM_CODE_GROUP_10,CODE_3,ERROR,1,-,-,-,-,TCSWEEP_3_10,-,-,
CPU_TDO,BGR,TRIM_CODE_GROUP_10,CODE_4,TRIM_CODE,8,-,-,-,-,TCSWEEP_4_10,-,-,I:DUT.BGDEFTEMPCO_BGTRIMCODE_H_4_10
