Pin,IP,Sequence,Subsequence,Field,Size,LowLimit,HighLimit,ExpectedData,Equation,ItuffToken,ExitPort,Base,StorageToken
IP_CPU0::,BGR,TRIM_CODE_GROUP_10,CODE_0,TRIM_CODE,8,-,-,-,-,TCSWEEP_0_10,-,-,I:DUT.BGDEFTEMPCO_BGTRIMCODE_0_10
IP_CPU0::,BGR,TRIM_CODE_GROUP_10,CODE_0,DONE,1,-,-,-,-,TCSWEEP_0_10,-,-,
IP_CPU0::,BGR,TRIM_CODE_GROUP_10,CODE_0,ERROR,1,-,-,-,-,TCSWEEP_0_10,-,-,
IP_CPU0::,BGR,TRIM_CODE_GROUP_10,CODE_0,MED_TRIM_CODE,8,-,-,-,-,,-,-,
IP_CPU0::,BGR,TRIM_CODE_GROUP_10,CODE_0,MED_DONE,1,-,-,-,-,,-,-,
IP_CPU0::,BGR,TRIM_CODE_GROUP_10,CODE_0,dummy_unused,13,-,-,-,-,,-,-,
IP_CPU0::,BGR,TRIM_CODE_GROUP_10,CODE_1,TRIM_CODE,8,-,-,-,-,TCSWEEP_1_10,-,-,I:DUT.BGDEFTEMPCO_BGTRIMCODE_1_10
IP_CPU0::,BGR,TRIM_CODE_GROUP_10,CODE_1,DONE,1,-,-,-,-,TCSWEEP_1_10,-,-,
IP_CPU0::,BGR,TRIM_CODE_GROUP_10,CODE_1,ERROR,1,-,-,-,-,TCSWEEP_1_10,-,-,
IP_CPU0::,BGR,TRIM_CODE_GROUP_10,CODE_1,MED_TRIM_CODE,8,-,-,-,-,,-,-,
IP_CPU0::,BGR,TRIM_CODE_GROUP_10,CODE_1,MED_DONE,1,-,-,-,-,,-,-,
IP_CPU0::,BGR,TRIM_CODE_GROUP_10,CODE_1,dummy_unused,13,-,-,-,-,,-,-,
IP_CPU0::,BGR,TRIM_CODE_GROUP_10,CODE_2,TRIM_CODE,8,-,-,-,-,TCSWEEP_2_10,-,-,I:DUT.BGDEFTEMPCO_BGTRIMCODE_2_10
IP_CPU0::,BGR,TRIM_CODE_GROUP_10,CODE_2,DONE,1,-,-,-,-,TCSWEEP_2_10,-,-,
IP_CPU0::,BGR,TRIM_CODE_GROUP_10,CODE_2,ERROR,1,-,-,-,-,TCSWEEP_2_10,-,-,
IP_CPU0::,BGR,TRIM_CODE_GROUP_10,CODE_2,MED_TRIM_CODE,8,-,-,-,-,,-,-,
IP_CPU0::,BGR,TRIM_CODE_GROUP_10,CODE_2,MED_DONE,1,-,-,-,-,,-,-,
IP_CPU0::,BGR,TRIM_CODE_GROUP_10,CODE_2,dummy_unused,13,-,-,-,-,,-,-,
IP_CPU0::,BGR,TRIM_CODE_GROUP_10,CODE_3,TRIM_CODE,8,-,-,-,-,TCSWEEP_3_10,-,-,I:DUT.BGDEFTEMPCO_BGTRIMCODE_3_10
IP_CPU0::,BGR,TRIM_CODE_GROUP_10,CODE_3,DONE,1,-,-,-,-,TCSWEEP_3_10,-,-,
IP_CPU0::,BGR,TRIM_CODE_GROUP_10,CODE_3,ERROR,1,-,-,-,-,TCSWEEP_3_10,-,-,
IP_CPU0::,BGR,TRIM_CODE_GROUP_10,CODE_3,MED_TRIM_CODE,8,-,-,-,-,,-,-,
IP_CPU0::,BGR,TRIM_CODE_GROUP_10,CODE_3,MED_DONE,1,-,-,-,-,,-,-,
