Pin,CFG,HIP,INV,NAND,NOR,RPT,Field,Size,Base,ExpectedData,LowLimit,HighLimit,Equation,StringData,ExitPort,ItuffToken
IPC::CPU_TDO,1,0,1,1,1,0,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,1,0,1,1,1,1,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,1,0,1,1,1,2,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,1,0,1,1,1,3,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,2,0,2,2,2,0,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,2,0,2,2,2,1,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,2,0,2,2,2,2,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,2,0,2,2,2,3,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,3,0,3,3,3,0,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,3,0,3,3,3,1,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
IPC::CPU_TDO,3,0,3,3,3,2,DAS_TAP_RESULT,42,2,-,-,-,-,-,-,CFG_<CFG>_HIP_<HIP>_INV_<INV>_NAND_<NAND>_NOR_<NOR>_<Field>
