Subflow Name,AHMT,Dieslct_SC & LTTC,Dieslct_SC & not LTTC & not QE,Dieslct_SC & not LTTC & QE,Dieslct_EC & LTTC,Dieslct_EC & not LTTC & not QE,Dieslct_EC & not LTTC & QE,Dieslct_SG & LTTC,Dieslct_SG & not LTTC & not QE,Dieslct_SG & not LTTC & QE,Dieslct_EG & LTTC,Dieslct_EG & not LTTC & not QE,Dieslct_EG & not LTTC & QE,Dieslct_SH & LTTC,Dieslct_SH & not LTTC & not QE,Dieslct_SH & not LTTC & QE,Dieslct_EH & LTTC,Dieslct_EH & not LTTC & not QE,Dieslct_EH & not LTTC & QE,Dieslct_SP & LTTC,Dieslct_SP & not LTTC & not QE,Dieslct_SP & not LTTC & QE,Dieslct_EP & LTTC,Dieslct_EP & not LTTC & not QE,Dieslct_EP & not LTTC & QE,not LTTC & not QE,not LTTC & QE,Default
STARTCPUNOM,1,1,1,1,2,2,2,2,2,2,1,1,1,2,2,2,1,1,1,2,2,2,1,1,1,1,1,1
STARTANA0CPU,2,1,1,1,2,2,2,2,2,2,1,1,1,2,2,2,1,1,1,2,2,2,1,1,1,1,1,1
STARTANA1CPU,2,1,1,1,2,2,2,2,2,2,1,1,1,2,2,2,1,1,1,2,2,2,1,1,1,1,1,1
STARTPWRCPU,2,1,1,1,2,2,2,2,2,2,1,1,1,2,2,2,1,1,1,2,2,2,1,1,1,1,1,1
STARTHPTPDRVCPU,2,1,1,1,2,2,2,2,2,2,1,1,1,2,2,2,1,1,1,2,2,2,1,1,1,1,1,1
HVBICPU,2,1,1,1,2,2,2,2,2,2,1,1,1,2,2,2,1,1,1,2,2,2,1,1,1,1,1,1
BEGINCPU,2,1,1,1,2,2,2,2,2,2,1,1,1,2,2,2,1,1,1,2,2,2,1,1,1,1,1,1
BEGINCPUNOM,2,1,1,1,2,2,2,2,2,2,1,1,1,2,2,2,1,1,1,2,2,2,1,1,1,1,1,1
BEGINCPUMAX,2,1,1,1,2,2,2,2,2,2,1,1,1,2,2,2,1,1,1,2,2,2,1,1,1,1,1,1
F1XCCF,2,1,1,1,2,2,2,2,2,2,1,1,1,2,2,2,1,1,1,2,2,2,1,1,1,1,1,1
F1XAT,2,1,1,1,2,2,2,2,2,2,1,1,1,2,2,2,1,1,1,2,2,2,1,1,1,1,1,1
F1XATCCF,2,1,1,1,2,2,2,2,2,2,1,1,1,2,2,2,1,1,1,2,2,2,1,1,1,1,1,1
F1XCR,2,1,1,1,2,2,2,2,2,2,1,1,1,2,2,2,1,1,1,2,2,2,1,1,1,1,1,1
F5XCCFLO,2,1,1,1,2,2,2,2,2,2,1,1,1,2,2,2,1,1,1,2,2,2,1,1,1,1,1,1
F5XATLO,2,1,1,1,2,2,2,2,2,2,1,1,1,2,2,2,1,1,1,2,2,2,1,1,1,1,1,1
