Service,VarType,VarName,InitValue,Scope
GSDS,Int,iSOCN_SDTCLASS_CATTRIM_raw0_AON,0,unit
GSDS,Int,iSOCN_SDTCLASS_CATTRIM_raw1_AON,0,unit
GSDS,Int,iSOCN_SDTCLASS_CATTRIM_raw2_AON,0,unit
GSDS,Int,iSOCN_SDTCLASS_CATTRIM_raw3_AON,0,unit
GSDS,Int,iSOCN_SDTCLASS_CATTRIM_raw4_AON,0,unit
GSDS,Int,iSOCN_SDTCLASS_CATTRIM_raw5_AON,0,unit
GSDS,Int,iSOCN_SDTCLASS_CATTRIM_raw6_AON,0,unit
GSDS,Int,iSOCN_SDTCLASS_CATTRIM_raw7_AON,0,unit
GSDS,Int,iSOCN_SDTCLASS_CATTRIM_raw8_AON,0,unit
GSDS,Int,iSOCN_SDTCLASS_CATTRIM_raw9_AON,0,unit
GSDS,Int,iSOCN_SDTCLASS_CATTRIM_raw10_AON,0,unit
GSDS,Int,iSOCN_SDTCLASS_CATTRIM_raw11_AON,0,unit
GSDS,Int,iSOCN_SDTCLASS_CATTRIM_raw12_AON,0,unit
GSDS,Int,iSOCN_SDTCLASS_CATTRIM_raw13_AON,0,unit
GSDS,Int,iSOCN_SDTCLASS_CATTRIM_raw14_AON,0,unit
GSDS,Int,iSOCN_SDTCLASS_CATTRIM_raw15_AON,0,unit
GSDS,Int,iSOCN_SDTCLASS_CATTRIM_raw16_AON,0,unit
GSDS,Int,iSOCN_SDTCLASS_CATTRIM_raw17_AON,0,unit
GSDS,Int,iSOCN_SDTCLASS_CATTRIM_raw18_AON,0,unit
GSDS,Int,iSOCN_SDTCLASS_CATTRIM_raw19_AON,0,unit
GSDS,Int,iSOCN_SDTCLASS_CATTRIM_raw20_AON,0,unit
GSDS,Int,iSOCN_SDTCLASS_CATTRIM_raw21_AON,0,unit
GSDS,Int,iSOCN_SDTCLASS_CATTRIM_raw22_AON,1,unit
GSDS,Int,iSOCN_SDTCLASS_CATTRIM_raw23_AON,1,unit
GSDS,Int,iSOCN_SDTCLASS_CATTRIM_raw24_AON,1,unit
GSDS,Int,iSOCN_SDTCLASS_CATTRIM_raw25_AON,1,unit
GSDS,Int,iSOCN_SDTCLASS_CATTRIM_raw26_AON,1,unit
GSDS,Int,iSOCN_SDTCLASS_CATTRIM_raw27_AON,1,unit
GSDS,Int,iSOCN_SDTCLASS_CATTRIM_raw28_AON,1,unit
GSDS,Int,iSOCN_SDTCLASS_CATTRIM_raw29_AON,1,unit
GSDS,Int,iSOCN_SDTCLASS_CATTRIM_raw30_AON,1,unit
GSDS,Int,iSOCN_SDTCLASS_CATTRIM_raw31_AON,1,unit
GSDS,Int,iSOCN_SDTCLASS_CATTRIM_raw32_AON,1,unit
GSDS,Int,iSOCN_SDTCLASS_CATTRIM_raw33_AON,1,unit
GSDS,Int,iSOCN_SDTCLASS_CATTRIM_raw34_AON,1,unit
GSDS,Int,iSOCN_SDTCLASS_CATTRIM_raw35_AON,1,unit
GSDS,Int,iSOCN_SDTCLASS_CATTRIM_raw36_AON,1,unit
GSDS,Int,iSOCN_SDTCLASS_CATTRIM_raw37_AON,1,unit
GSDS,Int,iSOCN_SDTCLASS_CATTRIM_raw38_AON,1,unit
GSDS,Int,iSOCN_SDTCLASS_CATTRIM_raw39_AON,1,unit
GSDS,Int,iSOCN_SDTCLASS_CATTRIM_raw40_AON,1,unit
GSDS,Int,iSOCN_SDTCLASS_CATTRIM_raw41_AON,1,unit
GSDS,Int,iSOCN_SDTCLASS_CATTRIM_raw42_AON,1,unit
GSDS,Int,iSOCN_SDTCLASS_CATTRIM_raw43_AON,1,unit
GSDS,Int,iSOCN_SDTCLASS_CATTRIM_raw44_AON,1,unit
GSDS,Int,iSOCN_SDTCLASS_CATTRIM_raw45_AON,1,unit
GSDS,Int,iSOCN_SDTCLASS_CATTRIM_raw46_AON,1,unit
GSDS,Int,iSOCN_SDTCLASS_CATTRIM_raw47_AON,1,unit
GSDS,Int,iSOCN_SDTCLASS_CATTRIM_raw48_AON,1,unit
GSDS,Int,iSOCN_SDTCLASS_CATTRIM_raw49_AON,1,unit
GSDS,Int,iSOCN_SDTCLASS_CATTRIM_raw50_AON,1,unit
GSDS,Int,iSOCN_SDTCLASS_CATTRIM_raw51_AON,1,unit
GSDS,Int,iSOCN_SDTCLASS_CATTRIM_raw52_AON,1,unit
GSDS,Int,iSOCN_SDTCLASS_CATTRIM_raw53_AON,1,unit
GSDS,Int,iSOCN_SDTCLASS_CATTRIM_raw54_AON,1,unit
GSDS,Int,iSOCN_SDTCLASS_CATTRIM_raw55_AON,1,unit
GSDS,Int,iSOCN_SDTCLASS_CATTRIM_raw56_AON,1,unit
GSDS,Int,iSOCN_SDTCLASS_CATTRIM_raw57_AON,1,unit
GSDS,Int,iSOCN_SDTCLASS_CATTRIM_raw58_AON,1,unit
GSDS,Int,iSOCN_SDTCLASS_CATTRIM_raw59_AON,1,unit
GSDS,Int,iSOCN_SDTCLASS_CATTRIM_raw60_AON,1,unit
GSDS,Int,iSOCN_SDTCLASS_CATTRIM_raw61_AON,1,unit
GSDS,Int,iSOCN_SDTCLASS_CATTRIM_raw62_AON,1,unit
GSDS,Int,iSOCN_SDTCLASS_TDO_DTS_DTSCODE_raw0_DTS1S0,219,unit
GSDS,Int,iSOCN_SDTCLASS_TDO_DTS_DTSCODE_raw1_DTS1S0,220,unit
GSDS,Int,iSOCN_SDTCLASS_TDO_DTS_DTSCODE_raw2_DTS1S0,219,unit
GSDS,Int,iSOCN_SDTCLASS_TDO_DTS_DTSCODE_raw3_DTS1S0,219,unit
GSDS,Int,iSOCN_SDTCLASS_TDO_DTS_DTSCODE_raw4_DTS1S0,220,unit
GSDS,Int,iSOCN_SDTCLASS_TDO_DTS_DTSCODE_raw5_DTS1S0,219,unit
GSDS,Int,iSOCN_SDTCLASS_TDO_DTS_DTSCODE_raw6_DTS1S0,219,unit
GSDS,Int,iSOCN_SDTCLASS_TDO_DTS_DTSCODE_raw7_DTS1S0,219,unit
GSDS,Int,iSOCN_SDTCLASS_TDO_DTS_DTSCODE_raw8_DTS1S0,220,unit
GSDS,Int,iSOCN_SDTCLASS_TDO_DTS_DTSCODE_raw9_DTS1S0,220,unit
GSDS,Int,iSOCN_SDTCLASS_TDO_DTS_DTSCODE_avg_DTS1S0,219,unit
GSDS,Int,iSOCN_SDTCLASS_TDO_DTS_DTSCODE_avg_DTS2S2,222,unit
GSDS,Int,iSOCN_SDTCLASS_TDO_DTS_DTSCODE_avg_DTS2S3,222,unit
GSDS,Int,iSOCN_SDTCLASS_TDO_DTS_DTSCODE_avg_DTS2S4,222,unit
GSDS,Int,iSOCN_SDTCLASS_TDO_DTS_DTSCODE_avg_DTS3S0,221,unit
GSDS,Int,iSOCN_SDTCLASS_TDO_DTS_DTSCODE_avg_DTS3S1,221,unit
GSDS,Int,iSOCN_SDTCLASS_TDO_DTS_DTSCODE_avg_DTS3S2,221,unit
GSDS,Int,iSOCN_SDTCLASS_TDO_DTS_DTSCODE_avg_DTS3S3,221,unit
GSDS,Int,iSOCN_SDTCLASS_TDO_DTS_DTSCODE_avg_DTS3S4,221,unit
GSDS,Int,iSOCN_SDTCLASS_TDO_DTS_DTSCODE_avg_DTS3S5,221,unit
GSDS,Int,iSOCN_SDTCLASS_TDO_DTS_DTSCODE_avg_DTS4S3,221,unit
GSDS,Int,iSOCN_SDTCLASS_TDO_DTS_DTSCODE_avg_DTS4S4,220,unit
GSDS,Int,iSOCN_SDTCLASS_TDO_DTS_DTSCODE_avg_DTS4S5,221,unit
GSDS,double,dSOCN_SDTCLASS_DTSTEMP_raw0_DTS1S0,102,unit
GSDS,double,dSOCN_SDTCLASS_DTSTEMP_raw1_DTS1S0,102,unit
GSDS,double,dSOCN_SDTCLASS_DTSTEMP_raw2_DTS1S0,102,unit
GSDS,double,dSOCN_SDTCLASS_DTSTEMP_raw3_DTS1S0,102,unit
