LevelsName,Pin,iForce,PreMeasDelay,VClampHi,VClampLo,SequenceBreak,LoLimit (HOT),HiLimit (HOT),LoLimit (COLD),HiLimit (COLD),S28C_HVM_LoHot,S28C_HVM_HiHot,S28C_HVM_LoCold,S28C_HVM_HiCold,S52C_HVM_LoHot,S52C_HVM_HiHot,S52C_HVM_LoCold,S52C_HVM_HiCold,S16C_HVM_LoHot,S16C_HVM_HiHot,S16C_HVM_LoCold,S16C_HVM_HiCold,DS28C_HVM_LoHot,DS28C_HVM_HiHot,DS28C_HVM_LoCold,DS28C_HVM_HiCold,S28C_FC_LoHot,S28C_FC_HiHot,S28C_FC_LoCold,S28C_FC_HiCold,S52C_FC_LoHot,S52C_FC_HiHot,S52C_FC_LoCold,S52C_FC_HiCold,S16C_FC_LoHot,S16C_FC_HiHot,S16C_FC_LoCold,S16C_FC_HiCold,DS28C_FC_LoHot,DS28C_FC_HiHot,DS28C_FC_LoCold,DS28C_FC_HiCold,Comments,Group
all_shops_upper_univ_x_x_pkg_level,PCD_CLK_0_DP_0,0.001A,1ms,2V,-1.5V,0.1ms,0.658V,0.861V,1.098V,1.23V,0.1V,1.89V,0.1V,1.89V,x,x,x,x,x,x,x,x,x,x,x,x,0.1V,1.89V,0.1V,1.89V,x,x,x,x,x,x,x,x,x,x,x,x,,
all_shops_upper_univ_x_x_pkg_level,PCD_CLK_0_DP_1,0.001A,1ms,2V,-1.5V,0.1ms,0.658V,0.86V,1.097V,1.23V,0.1V,1.89V,0.1V,1.89V,x,x,x,x,x,x,x,x,x,x,x,x,0.1V,1.89V,0.1V,1.89V,x,x,x,x,x,x,x,x,x,x,x,x,,4
all_shops_upper_univ_x_x_pkg_level,PCD_DMI_0_RXN,0.001A,1ms,2V,-1.5V,0.1ms,0.1V,1.89V,0.1V,1.89V,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,4
all_shops_upper_univ_x_x_pkg_level,PCD_DMI_0_RXP,0.001A,1ms,2V,-1.5V,0.1ms,0.1V,1.89V,0.1V,1.89V,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,2
all_shops_upper_univ_x_x_pkg_level,PCD_DMI_0_TXN,0.001A,1ms,2V,-1.5V,0.1ms,0.1V,1.89V,0.1V,1.89V,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,4
all_shops_upper_univ_x_x_pkg_level,PCD_DMI_0_TXP,0.001A,1ms,2V,-1.5V,0.1ms,0.1V,1.89V,0.1V,1.89V,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,2
all_shops_upper_univ_x_x_pkg_level,PCD_DMI_1_RXN,0.001A,1ms,2V,-1.5V,0.1ms,0.1V,1.89V,0.1V,1.89V,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,1
all_shops_upper_univ_x_x_pkg_level,PCD_DMI_1_RXP,0.001A,1ms,2V,-1.5V,0.1ms,0.1V,1.89V,0.1V,1.89V,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,3
all_shops_upper_univ_x_x_pkg_level,PCD_DMI_1_TXN,0.001A,1ms,2V,-1.5V,0.1ms,0.1V,1.89V,0.1V,1.89V,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,1
all_shops_upper_univ_x_x_pkg_level,PCD_DMI_1_TXP,0.001A,1ms,2V,-1.5V,0.1ms,0.1V,1.89V,0.1V,1.89V,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,3
all_shops_upper_univ_x_x_pkg_level,PCD_DMI_2_RXN,0.001A,1ms,2V,-1.5V,0.1ms,0.1V,1.89V,0.1V,1.89V,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,4
all_shops_upper_univ_x_x_pkg_level,PCD_DMI_2_RXP,0.001A,1ms,2V,-1.5V,0.1ms,0.1V,1.89V,0.1V,1.89V,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,2
all_shops_upper_univ_x_x_pkg_level,PCD_DMI_2_TXN,0.001A,1ms,2V,-1.5V,0.1ms,0.1V,1.89V,0.1V,1.89V,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,4
all_shops_upper_univ_x_x_pkg_level,PCD_DMI_2_TXP,0.001A,1ms,2V,-1.5V,0.1ms,0.1V,1.89V,0.1V,1.89V,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,2
all_shops_upper_univ_x_x_pkg_level,PCD_DMI_3_TXN,0.001A,1ms,2V,-1.5V,0.1ms,0.092V,0.84V,0.05V,1.616V,0.001V,1.89V,0.001V,1.89V,x,x,x,x,x,x,x,x,x,x,x,x,0.001V,1.89V,0.001V,1.89V,x,x,x,x,x,x,x,x,x,x,x,x,,1
all_shops_upper_univ_x_x_pkg_level,PCD_DMI_3_TXP,0.001A,1ms,2V,-1.5V,0.1ms,0.116V,0.811V,0.05V,1.62V,0.1V,1.89V,0.001V,1.89V,x,x,x,x,x,x,x,x,x,x,x,x,0.1V,1.89V,0.001V,1.89V,x,x,x,x,x,x,x,x,x,x,x,x,,3
all_shops_upper_univ_x_x_pkg_level,PCD_GPP_A_07,0.001A,1ms,2V,-1.5V,0.1ms,0.522V,0.671V,0.533V,0.861V,0.1V,1.89V,0.1V,1.89V,x,x,x,x,x,x,x,x,x,x,x,x,0.1V,1.89V,0.1V,1.89V,x,x,x,x,x,x,x,x,x,x,x,x,,2
all_shops_upper_univ_x_x_pkg_level,PCD_GPP_A_14,0.001A,1ms,2V,-1.5V,0.1ms,0.522V,0.671V,0.535V,0.86V,0.1V,1.89V,0.1V,1.89V,x,x,x,x,x,x,x,x,x,x,x,x,0.1V,1.89V,0.1V,1.89V,x,x,x,x,x,x,x,x,x,x,x,x,,2
all_shops_upper_univ_x_x_pkg_level,PCD_GPP_A_15,0.001A,1ms,2V,-1.5V,0.1ms,0.522V,0.67V,0.536V,0.859V,0.1V,1.89V,0.1V,1.89V,x,x,x,x,x,x,x,x,x,x,x,x,0.1V,1.89V,0.1V,1.89V,x,x,x,x,x,x,x,x,x,x,x,x,,1
all_shops_upper_univ_x_x_pkg_level,PCD_GPP_A_16,0.001A,1ms,2V,-1.5V,0.1ms,0.266V,0.424V,0.34V,0.628V,0.1V,1.89V,0.1V,1.89V,x,x,x,x,x,x,x,x,x,x,x,x,0.1V,1.89V,0.1V,1.89V,x,x,x,x,x,x,x,x,x,x,x,x,,4
all_shops_upper_univ_x_x_pkg_level,PCD_GPP_A_20,0.001A,1ms,2V,-1.5V,0.1ms,0.527V,0.675V,0.538V,0.866V,0.1V,1.89V,0.1V,1.89V,x,x,x,x,x,x,x,x,x,x,x,x,0.1V,1.89V,0.1V,1.89V,x,x,x,x,x,x,x,x,x,x,x,x,,2
all_shops_upper_univ_x_x_pkg_level,PCD_GPP_D_00,0.001A,1ms,2V,-1.5V,0.1ms,0.262V,0.418V,0.336V,0.618V,0.1V,1.89V,0.1V,1.89V,x,x,x,x,x,x,x,x,x,x,x,x,0.1V,1.89V,0.1V,1.89V,x,x,x,x,x,x,x,x,x,x,x,x,,2
all_shops_upper_univ_x_x_pkg_level,PCD_GPP_D_01,0.001A,1ms,2V,-1.5V,0.1ms,0.263V,0.418V,0.337V,0.618V,0.1V,1.89V,0.1V,1.89V,x,x,x,x,x,x,x,x,x,x,x,x,0.1V,1.89V,0.1V,1.89V,x,x,x,x,x,x,x,x,x,x,x,x,,1
all_shops_upper_univ_x_x_pkg_level,PCD_GPP_D_02,0.001A,1ms,2V,-1.5V,0.1ms,0.262V,0.418V,0.337V,0.618V,0.1V,1.89V,0.1V,1.89V,x,x,x,x,x,x,x,x,x,x,x,x,0.1V,1.89V,0.1V,1.89V,x,x,x,x,x,x,x,x,x,x,x,x,,1
all_shops_upper_univ_x_x_pkg_level,PCD_GPP_D_03,0.001A,1ms,2V,-1.5V,0.1ms,0.26V,0.416V,0.335V,0.616V,0.1V,1.89V,0.1V,1.89V,x,x,x,x,x,x,x,x,x,x,x,x,0.1V,1.89V,0.1V,1.89V,x,x,x,x,x,x,x,x,x,x,x,x,,3
all_shops_upper_univ_x_x_pkg_level,PCD_GPP_D_04,0.001A,1ms,2V,-1.5V,0.1ms,0.261V,0.417V,0.336V,0.619V,0.1V,1.89V,0.1V,1.89V,x,x,x,x,x,x,x,x,x,x,x,x,0.1V,1.89V,0.1V,1.89V,x,x,x,x,x,x,x,x,x,x,x,x,,3
all_shops_upper_univ_x_x_pkg_level,PCD_GPP_D_05,0.001A,1ms,2V,-1.5V,0.1ms,0.261V,0.417V,0.336V,0.618V,0.1V,1.89V,0.1V,1.89V,x,x,x,x,x,x,x,x,x,x,x,x,0.1V,1.89V,0.1V,1.89V,x,x,x,x,x,x,x,x,x,x,x,x,,4
all_shops_upper_univ_x_x_pkg_level,PCD_GPP_D_06,0.001A,1ms,2V,-1.5V,0.1ms,0.261V,0.417V,0.335V,0.618V,0.1V,1.89V,0.1V,1.89V,x,x,x,x,x,x,x,x,x,x,x,x,0.1V,1.89V,0.1V,1.89V,x,x,x,x,x,x,x,x,x,x,x,x,,1
all_shops_upper_univ_x_x_pkg_level,PCD_GPP_D_07,0.001A,1ms,2V,-1.5V,0.1ms,0.261V,0.418V,0.336V,0.618V,0.1V,1.89V,0.1V,1.89V,x,x,x,x,x,x,x,x,x,x,x,x,0.1V,1.89V,0.1V,1.89V,x,x,x,x,x,x,x,x,x,x,x,x,,1
