Attribute,DataType,L2NH,L2NM,L2NA,L2NE,L2NO,L2ND,L2N9,L2NB,L2NG,L2NN,L2NF,L2NK,L2NJ,L2NI
IS_ENABLED,string,true,true,true,true,true,true,true,true,true,true,true,true,true,true
VCCSA_VOLTAGE,string,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52
VCCSA_TOB,string,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
VCCSA_RIPPLE_MAX,string,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015
VCCSA_PCODE_MAX_VID,string,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52
VCCSA_LOAD_LINE_DC_PERF,string,4,4,4,4,4,4,4,4,4,4,4,4,4,4
VCCSA_LOAD_LINE_AC_PERF,string,4,4,4,4,4,4,4,4,4,4,4,4,4,4
VCCSA_IPL2_TDC_PERF,string,39.00,39.00,39.00,39.00,39.00,39.00,39.00,39.00,39.00,39.00,39.00,39.00,39.00,39.00
VCCSA_ICCMAX_RAW_PERF,string,68.00,68.00,68.00,68.00,68.00,68.00,68.00,68.00,68.00,68.00,68.00,68.00,68.00,68.00
VCCGT_TOB,string,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
VCCGT_RIPPLE_MAX,string,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015
VCCGT_PCODE_MAX_VID,string,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52
VCCGT_LOAD_LINE_DC_PERF,string,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VCCGT_LOAD_LINE_AC_PERF,string,4,4,4,4,4,4,4,4,4,4,4,4,4,4
VCCGT_ICCMAX_RAW_PERF,string,103,103.0,103,103,103.0,103,103,103,103,103.0,103,103.0,103,103
VCC_PCORE_VOLTAGE,string,1.77,1.77,1.77,1.77,1.77,1.77,1.77,1.77,1.77,1.77,1.77,1.77,1.77,1.77
VCC_PCORE_TOB,string,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
VCC_PCORE_RIPPLE_MAX,string,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015
VCC_PCORE_PL4_PERF,string,214.0,163.0,214.0,214.0,163.0,214.0,214.0,214.0,214.0,163.0,214.0,163.0,214.0,214.0
VCC_PCORE_PL2_PERF,string,95,65.0,95,95,65.0,95,95,95,95,65.0,95,65.0,95,95
VCC_PCORE_PCODE_MAX_VID,string,1.77,1.77,1.77,1.77,1.77,1.77,1.77,1.77,1.77,1.77,1.77,1.77,1.77,1.77
VCC_PCORE_LOAD_LINE_DC_PERF,string,4,4,4,4,4,4,4,4,4,4,4,4,4,4
VCC_PCORE_LOAD_LINE_AC_PERF,string,4,4,4,4,4,4,4,4,4,4,4,4,4,4
VCC_PCORE_IPL2_TDC_PERF,string,59,44,59,59,44,59,59,59,59,44,59,44,59,59
VCC_PCORE_ICCMAX_RAW_PERF,string,162,118,162,162,118,162,162,162,162,118,162,118,162,162
VCC_LP_E_CORE_TOB,string,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
VCC_LP_E_CORE_RIPPLE_MAX,string,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030
VCC_LP_E_CORE_PCODE_MAX_VID,string,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52
VCC_LP_E_CORE_LOAD_LINE_DC_PERF,string,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8
VCC_LP_E_CORE_LOAD_LINE_AC_PERF,string,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8
VCC_LP_E_CORE_ICCMAX_RAW_PERF,string,23.00,23.00,23.00,23.00,23.00,23.00,23.00,23.00,23.00,23.00,23.00,23.00,23.00,23.00
TDP_NOMINAL_BASE_POWER_TDP_PL1,string,25,25,25,25,25,25,25,25,25,25,25,25,25,25
PRODUCT_NAME_SEGMENT,string,H12Xe,H12Xe,H12Xe,H12Xe,H12Xe,H12Xe,H12Xe,H12Xe,H12Xe,H12Xe,H12Xe,H12Xe,H12Xe,H12Xe
PD_INDEX_EDS,string,7,8,7,7,D,7,7,7,7,8,7,D,7,7
PD_INDEX_CHK,string,PD Index Full Match,PD Index Full Match,PD Index Full Match,PD Index Full Match,PD Index ONLY Match,PD Index Full Match,PD Index Full Match,PD Index Full Match,PD Index Full Match,PD Index Full Match,PD Index Full Match,PD Index Full Match,PD Index Full Match,PD Index Full Match
FUNCTIONAL_P_CORE_AMOUNT,string,4,4,4,4,2,4,4,4,4,4,4,2,4,4
FUNCTIONAL_LP_E_CORE_AMOUNT,string,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FUNCTIONAL_E_CORE_AMOUNT,string,8,4,8,8,4,8,8,8,8,4,8,8,8,8
WIRED_LAN,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
weightUom,string,LB,LB,LB,LB,LB,LB,LB,LB,LB,LB,LB,LB,LB,LB
WAKE_ON_VOICE_SUPPORT,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
WAKE_ON_TOUCH_SUPPORT,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
VPU_TILE_CONFIG,string,4,3,4,4,3,4,4,4,4,3,4,4,4,4
VPU_FMAX_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
VPU_FMAX,string,2.1,2.1,2.15,2.15,2.1,2.15,2.15,2.15,2.15,2.1,2.15,2.1,2.1,2.1
