Qdf,Scenario,Component,Attribute,ValueGroup,SubAttribute,Dimension,Option,DataType,Value
,NA,FUSER_CDIE1,INDEX,,,,,,PT default comment
,NA,FUSER_CDIE1,IS_ENABLED,,,,,,PT default comment
,NA,PKG,F_VCCSA_VR_MAX_VOLTAGE,,,,,,"2025WW45 S28C B0 PO, update VCCSA max voltage per memory max qclk"
,NA,PKG,F_VCCSA_DC_LOADLINE_RES,,,,,,PT default comment
,NA,PKG,F_VCCSA_AC_LOADLINE_RES,,,,,,PT default comment
,NA,PKG,F_VCCIA_DC_LOADLINE_RES,,,,,,PT default comment
,NA,PKG,F_VCCIA_AC_LOADLINE_RES,,,,,,PT default comment
,NA,PKG,F_VCCGT_VR_MAX_VOLTAGE,,,,,,26WW04 S28C ES2 change to read GSDS subtract 0.15V
,NA,PKG,F_VCCGT_DC_LOADLINE_RES,,,,,,PT default comment
,NA,PKG,F_VCCGT_AC_LOADLINE_RES,,,,,,PT default comment
,NA,PKG,F_TVB_TEMPERATURE_THRESHOLD_1,,,,,,PT default comment
,NA,PKG,F_TVB_TEMPERATURE_THRESHOLD_0,,,,,,PT default comment
,NA,PKG,F_TVB_NUM_THRESHOLD,,,,,,PT default comment
,NA,FUSER_CDIE1,RAW_VALUES,,,,,,PT default comment
,NA,FUSER_CDIE0,INDEX,,,,,,PT default comment
,NA,PKG,F_NPU_PB_IB_CDYN_MAX,,,,,,"2025WW45 S28C B0 PO, 0.17 based on Andrey's pre-Si values"
,NA,PKG,F_DE_CDYN_UNGATED,,,,,,"2025WW45 S28C B0 PO, 0.55 based on Andrey's pre-Si values"
,NA,PKG,F_DE_LEAK_PIPE_RATIO,,,,,,PT default comment
,NA,PKG,F_DE_LEAK_UNGATED_RATIO,,,,,,PT default comment
,NA,PKG,F_RING_DLVR_INLL,,,,,,26WW04 S28C ES2 Update - NVL_Si7_Cdie_n2p_Fuses_PDI_Recipe_Rev7_26WW2p4
,NA,PKG,F_DLVR_PS_THRESHOLDS_ATOM_PS0,,,,,,26WW04 S28C ES2 Update - NVL_Si7_Cdie_n2p_Fuses_PDI_Recipe_Rev7_26WW2p4
,NA,PKG,F_DLVR_PS_THRESHOLDS_RING_PS0,,,,,,26WW04 S28C ES2 Update - NVL_Si7_Cdie_n2p_Fuses_PDI_Recipe_Rev7_26WW2p4
,NA,PKG,F_DLVR_PS_THRESHOLDS_IACOREXLT_PS0,,,,,,26WW04 S28C ES2 Update - NVL_Si7_Cdie_n2p_Fuses_PDI_Recipe_Rev7_26WW2p4
,NA,PKG,F_IA_SVID_VOLTAGE_OFFSET,,,,,,PT default comment
,NA,PKG,F_IA_P0_RATIO_AVX256_DELTA,,,,,,PT default comment
,NA,PKG,F_GT_SVID_VOLTAGE_OFFSET,,,,,,PT default comment
,NA,PKG,F_GT_SA_ITD_CUTOFF_TJ,,,,,,PT default comment
,NA,PKG,F_CORE_DLVR_INLL,,,,,,26WW04 S28C ES2 Update - NVL_Si7_Cdie_n2p_Fuses_PDI_Recipe_Rev7_26WW2p4
,NA,PKG,F_ATOM_DLVR_INLL,,,,,,26WW04 S28C ES2 Update - NVL_Si7_Cdie_n2p_Fuses_PDI_Recipe_Rev7_26WW2p4
,NA,PKG,F_ATOM_3C_LEAK_VAR,,,,,,PT default comment
,NA,PKG,F_ATOM_3C_CDYN_VAR,,,,,,PT default comment
,NA,PKG,F_ATOM_2C_LEAK_VAR,,,,,,PT default comment
,NA,PKG,F_ATOM_2C_CDYN_VAR,,,,,,PT default comment
,NA,PKG,F_ATOM_1C_LEAK_VAR,,,,,,PT default comment
,NA,PKG,F_ATOM_1C_CDYN_VAR,,,,,,PT default comment
,NA,PKG,F_ATOM_0C_LEAK_VAR,,,,,,PT default comment
,NA,PKG,F_ATOM_0C_CDYN_VAR,,,,,,PT default comment
,NA,PKG,EXTENSIONS_CS_FILE,,,,,,PT default comment
,NA,CCF,CDYN_MEASUREMENT,,,,,,PT default comment
,NA,CCF,CDYN_MEAS_TO_BASE_UNIT_RATIO,,,,,,PT default comment
,NA,CCF,CDYN_S2T_ADDITION,,,,,,PT default comment
,NA,CCF,CDYN_S2T_MULTIPLIER,,,,,,PT default comment
,NA,CCF,CV_SLOPE,,,,,,PT default comment
,NA,CCF,DC_BIAS,,,,,,PT default comment
,NA,CCF,FV_MODEL_FINAL,,,,,,PT default comment
,NA,ATSRAM,GUARDBAND,4,DOMAIN,,,,PT default comment
,NA,ATSRAM,GUARDBAND,4,FREQUENCY,,,,PT default comment
,NA,ATSRAM,GUARDBAND,4,FV_TYPE,,,,PT default comment
,NA,ATSRAM,GUARDBAND,4,VOLTAGE,,,,2026WW05 S28C B0 ES2 GB
,NA,CCLK,GUARDBAND,0,DOMAIN,,,,PT default comment
,NA,CCLK,GUARDBAND,0,FREQUENCY,,,,PT default comment
,NA,CCLK,GUARDBAND,0,FV_TYPE,,,,PT default comment
,NA,CCLK,GUARDBAND,0,VOLTAGE,,,,PT default comment
,NA,CCLK,GUARDBAND,1,DOMAIN,,,,PT default comment
,NA,CCLK,GUARDBAND,1,FREQUENCY,,,,PT default comment
,NA,CCLK,GUARDBAND,1,FV_TYPE,,,,PT default comment
,NA,CCLK,GUARDBAND,1,VOLTAGE,,,,PT default comment
,NA,CCLK,GUARDBAND,2,DOMAIN,,,,PT default comment
,NA,CCLK,GUARDBAND,2,FREQUENCY,,,,PT default comment
,NA,CCLK,GUARDBAND,2,FV_TYPE,,,,PT default comment
,NA,CCLK,GUARDBAND,2,VOLTAGE,,,,PT default comment
,NA,DE,GUARDBAND,0,DOMAIN,,,,PT default comment
,NA,DE,GUARDBAND,0,FREQUENCY,,,,PT default comment
,NA,DE,GUARDBAND,0,FV_TYPE,,,,PT default comment
,NA,DE,GUARDBAND,0,VOLTAGE,,,,PT default comment
,NA,DE,GUARDBAND,1,DOMAIN,,,,PT default comment
,NA,DE,GUARDBAND,1,FREQUENCY,,,,PT default comment
,NA,DE,GUARDBAND,1,FV_TYPE,,,,PT default comment
,NA,DE,GUARDBAND,1,VOLTAGE,,,,PT default comment
,NA,CCF,IS_ENABLED,,,,,,PT default comment
,NA,IA,ITD_MODEL,,,,,,PT default comment
,NA,CCF,SICC_MEASUREMENT,,,,,,PT default comment
,NA,CCF,SICC_MEAS_TO_BASE_UNIT_RATIO,,,,,,PT default comment
,NA,CCF,SICC_S2T_ADDITION,,,,,,PT default comment
,NA,CCF,SICC_S2T_MULTIPLIER,,,,,,PT default comment
,NA,CCF,SRT,,,,,,26WW06 ES2 PET model updates
,NA,CCF,SRV,,,,,,26WW06 ES2 PET model updates
,NA,CCF,ST,,,,,,26WW06 ES2 PET model updates
,NA,CCF,SV,,,,,,26WW06 ES2 PET model updates
,NA,CCF,SVT,,,,,,26WW06 ES2 PET model updates
,NA,CCF,TREF,,,,,,PT default comment
,NA,CCF,VMIN_MEASUREMENTS,,,,,,PT default comment
,NA,CCF,VREF,,,,,,PT default comment
,NA,NPUSRAM,VREF,,,,,,PT default comment
,NA,NPUSRAM,VMIN_MEASUREMENTS,,,,,,PT default comment
,NA,NPUSRAM,TREF,,,,,,PT default comment
,NA,NPUSRAM,SVT,,,,,,PT default comment
,NA,NPUSRAM,SV,,,,,,PT default comment
,NA,NPUSRAM,ST,,,,,,PT default comment
,NA,NPUSRAM,SRV,,,,,,PT default comment
,NA,NPUSRAM,SRT,,,,,,PT default comment
,NA,NPUSRAM,SICC_S2T_MULTIPLIER,,,,,,PT default comment
,NA,NPUSRAM,SICC_S2T_ADDITION,,,,,,PT default comment
,NA,NPUSRAM,SICC_MEAS_TO_BASE_UNIT_RATIO,,,,,,"2025WW45 S28C B0 PO, ref email S2T Correlation Sync Notes ww44.4"
,NA,NPUSRAM,SICC_MEASUREMENT,,,,,,PT default comment
,NA,IOCCLK,ITD_MODEL,,,,,,PT default comment
,NA,NPUSRAM,IS_ENABLED,,,,,,PT default comment
,NA,NPUSRAM,INDEX,,,,,,PT default comment
,NA,DE,GUARDBAND,2,DOMAIN,,,,PT default comment
,NA,DE,GUARDBAND,2,FREQUENCY,,,,PT default comment
,NA,DE,GUARDBAND,2,FV_TYPE,,,,PT default comment
,NA,DE,GUARDBAND,2,VOLTAGE,,,,PT default comment
,NA,DE,GUARDBAND,3,DOMAIN,,,,PT default comment
,NA,DE,GUARDBAND,3,FREQUENCY,,,,PT default comment
,NA,DE,GUARDBAND,3,FV_TYPE,,,,PT default comment
,NA,DE,GUARDBAND,3,VOLTAGE,,,,PT default comment
,NA,DESRAM,GUARDBAND,0,DOMAIN,,,,PT default comment
,NA,DESRAM,GUARDBAND,0,FREQUENCY,,,,PT default comment
,NA,DESRAM,GUARDBAND,0,FV_TYPE,,,,PT default comment
,NA,DESRAM,GUARDBAND,0,VOLTAGE,,,,PT default comment
,NA,NPUSRAM,FV_MODEL_FINAL,,,,,,PT default comment
,NA,NPUSRAM,DC_BIAS,,,,,,PT default comment
,NA,NPUSRAM,CV_SLOPE,,,,,,PT default comment
,NA,NPUSRAM,CDYN_S2T_MULTIPLIER,,,,,,PT default comment
,NA,NPUSRAM,CDYN_S2T_ADDITION,,,,,,PT default comment
,NA,NPUSRAM,CDYN_MEAS_TO_BASE_UNIT_RATIO,,,,,,"2026WW06 S28C B0 ES2, calculates SRAM portion of NPU CDYN measurement"
,NA,NPUSRAM,CDYN_MEASUREMENT,,,,,,"2025WW45 S28C B0 PO, refer to primary block since we scale the value using meas to base unit ratio"
,NA,NPU,VREF,,,,,,PT default comment
,NA,NPU,VMIN_MEASUREMENTS,,,,,,PT default comment
,NA,NPU,TREF,,,,,,PT default comment
,NA,NPU,SVT,,,,,,PT default comment
,NA,NPU,SV,,,,,,PT default comment
,NA,NPU,ST,,,,,,PT default comment
,NA,NPU,SRV,,,,,,PT default comment
,NA,NPU,SRT,,,,,,PT default comment
,NA,NPU,SICC_S2T_MULTIPLIER,,,,,,PT default comment
,NA,NPU,SICC_S2T_ADDITION,,,,,,PT default comment
,NA,NPU,SICC_MEAS_TO_BASE_UNIT_RATIO,,,,,,"2025WW45 S28C B0 PO, ref email S2T Correlation Sync Notes ww44.4"
,NA,NPU,SICC_MEASUREMENT,,,,,,PT default comment
,NA,LPATOM,ITD_MODEL,,,,,,PT default comment
,NA,NPU,IS_ENABLED,,,,,,PT default comment
,NA,NPU,INDEX,,,,,,PT default comment
,NA,DESRAM,GUARDBAND,1,DOMAIN,,,,PT default comment
,NA,DESRAM,GUARDBAND,1,FREQUENCY,,,,PT default comment
,NA,DESRAM,GUARDBAND,1,FV_TYPE,,,,PT default comment
,NA,DESRAM,GUARDBAND,1,VOLTAGE,,,,PT default comment
,NA,DESRAM,GUARDBAND,2,DOMAIN,,,,PT default comment
,NA,DESRAM,GUARDBAND,2,FREQUENCY,,,,PT default comment
,NA,DESRAM,GUARDBAND,2,FV_TYPE,,,,PT default comment
,NA,DESRAM,GUARDBAND,2,VOLTAGE,,,,PT default comment
,NA,DESRAM,GUARDBAND,3,DOMAIN,,,,PT default comment
,NA,DESRAM,GUARDBAND,3,FREQUENCY,,,,PT default comment
,NA,DESRAM,GUARDBAND,3,FV_TYPE,,,,PT default comment
,NA,DESRAM,GUARDBAND,3,VOLTAGE,,,,PT default comment
,NA,NPU,FV_MODEL_FINAL,,,,,,PT default comment
,NA,NPU,DC_BIAS,,,,,,PT default comment
,NA,NPU,CV_SLOPE,,,,,,PT default comment
,NA,NPU,CDYN_S2T_MULTIPLIER,,,,,,PT default comment
,NA,NPU,CDYN_S2T_ADDITION,,,,,,PT default comment
,NA,NPU,CDYN_MEAS_TO_BASE_UNIT_RATIO,,,,,,PT default comment
,NA,NPU,CDYN_MEASUREMENT,,,,,,"2026WW06 S28C B0 ES2, calculates NPU CDYN based on pre-Si values in fuse tokens"
,NA,NCLK,VREF,,,,,,PT default comment
,NA,NCLK,VMIN_MEASUREMENTS,,,,,,PT default comment
,NA,LPATOMb,ITD_MODEL,,,,,,PT default comment
,NA,NCLK,IS_ENABLED,,,,,,PT default comment
,NA,NCLK,INDEX,,,,,,PT default comment
,NA,GT,GUARDBAND,0,DOMAIN,,,,PT default comment
,NA,GT,GUARDBAND,0,FREQUENCY,,,,PT default comment
,NA,GT,GUARDBAND,0,FV_TYPE,,,,PT default comment
,NA,GT,GUARDBAND,0,VOLTAGE,,,,26WW06 GB update from PSVWG
,NA,GT,GUARDBAND,1,DOMAIN,,,,PT default comment
,NA,GT,GUARDBAND,1,FREQUENCY,,,,PT default comment
,NA,GT,GUARDBAND,1,FV_TYPE,,,,PT default comment
,NA,GT,GUARDBAND,1,VOLTAGE,,,,26WW06 GB update from PSVWG
,NA,GT,GUARDBAND,2,DOMAIN,,,,PT default comment
,NA,GT,GUARDBAND,2,FREQUENCY,,,,PT default comment
,NA,GT,GUARDBAND,2,FV_TYPE,,,,PT default comment
,NA,GT,GUARDBAND,2,VOLTAGE,,,,26WW06 GB update from PSVWG
,NA,NCLK,FV_MODEL_FINAL,,,,,,PT default comment
,NA,NCLK,CV_SLOPE,,,,,,PT default comment
,NA,NCLK,CDYN_S2T_MULTIPLIER,,,,,,PT default comment
,NA,NCLK,CDYN_S2T_ADDITION,,,,,,PT default comment
,NA,NCLK,CDYN_MEAS_TO_BASE_UNIT_RATIO,,,,,,PT default comment
,NA,NCLK,CDYN_MEASUREMENT,,,,,,"2025WW45 S28C B0 PO, 1.381 based on Andrey's pre-Si values"
,NA,MEDIASRAM,VREF,,,,,,PT default comment
,NA,MEDIASRAM,VMIN_MEASUREMENTS,,,,,,PT default comment
,NA,MEDIASRAM,TREF,,,,,,PT default comment
,NA,MEDIASRAM,SVT,,,,,,PT default comment
,NA,MEDIASRAM,SV,,,,,,PT default comment
,NA,MEDIASRAM,ST,,,,,,PT default comment
,NA,MEDIASRAM,SRV,,,,,,PT default comment
,NA,MEDIASRAM,SRT,,,,,,PT default comment
,NA,MEDIASRAM,SICC_S2T_MULTIPLIER,,,,,,PT default comment
,NA,MEDIASRAM,SICC_S2T_ADDITION,,,,,,PT default comment
,NA,MEDIASRAM,SICC_MEAS_TO_BASE_UNIT_RATIO,,,,,,"2025WW45 S28C B0 PO, ref email S2T Correlation Sync Notes ww44.4"
,NA,MEDIASRAM,SICC_MEASUREMENT,,,,,,PT default comment
,NA,LPATSRAM,ITD_MODEL,,,,,,PT default comment
