Component,Attribute,DataType,P1,IAP01,IAP02,IAP03,IAP04,ATP01,ATP02,ATP03,ATP04,GTP0,SA_ICCMAX,SA_VRELMAX,ATP08,ATP07,ATP06,ATP05,IAP08,IAP07,IAP06,IAP05,IAP01TVB,IAP02TVB,IAP03TVB,IAP04TVB,IAP05TVB,IAP06TVB,IAP07TVB,IAP08TVB,IAP0NFCT,IAP0NFCTTVB,SAICCMAX_DT_NPU,P1UP,P1DN,MIN_LATENCY_MBL,MIN_LATENCY_DT,GAMING_DT_HX_1,GAMING_DT_HX_2,GAMING_DT_PUSH,CREATIVE_MBL,CREATIVE_DT,VPU_BENCHMARKING_MBL_1,VPU_BENCHMARKING_MBL_2,VPU_BENCHMARKING_MBL,VPU_BENCHMARKING_DT_1,VPU_BENCHMARKING_DT_2,MEDIA_MAX_DT,MEDIA_MAX_MBL,LP_ATOM_FMAX_DT_1,LP_ATOM_FMAX_DT_2,IPU_FMAX_MBL,ABSOLUTE_MAX_VIRUS_MBL,ABSOLUTE_MAX_VIRUS_DT_2,ABSOLUTE_MAX_VIRUS_DT_3,SURVIVABILITY_DT,SURVIVABILITY_MBL,LPATP0,IA_PERF
CCF,FREQUENCY,string,{NA::LI::RING_HFM_FREQ@double},{NA::LI::RING_TFM_FREQ@double},{ISO_FREQUENCY@double},{ISO_FREQUENCY@double},{ISO_FREQUENCY@double},{ISO_FREQUENCY@double},{ISO_FREQUENCY@double},{ISO_FREQUENCY@double},{ISO_FREQUENCY@double},999,999,999,{ISO_FREQUENCY@double},{ISO_FREQUENCY@double},{ISO_FREQUENCY@double},{ISO_FREQUENCY@double},{ISO_FREQUENCY@double},{ISO_FREQUENCY@double},{ISO_FREQUENCY@double},{ISO_FREQUENCY@double},{NA::LI::RING_TFM_FREQ@double},{ISO_FREQUENCY@double},{ISO_FREQUENCY@double},{ISO_FREQUENCY@double},{ISO_FREQUENCY@double},{ISO_FREQUENCY@double},{ISO_FREQUENCY@double},{ISO_FREQUENCY@double},{NA::LI::RING_TFM_FREQ@double},{NA::LI::RING_TFM_FREQ@double},999,{NA::LI::RING_HFM_FREQ@double},{NA::LI::RING_HFM_FREQ@double},999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,{ISO_FREQUENCY@double}
CCLK,FREQUENCY,string,"Utils.IF({NA::LI::THERMAL_DESIGN_POWER@double}<=65, 1.6, 1.8)",999,999,999,999,999,999,999,999,999,1.5,1.5,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,2,"Utils.IF({THIS::PKG::PWR_LIMIT}<=65, 1.6, 1.8)","Utils.IF({THIS::PKG::PWR_LIMIT}<=65, 1.6, 1.8)",2.5,2.5,2.5,2.5,{NA::THIS::MAX_FREQUENCY@double},2.4,2.2,2.5,2.4,2.5,2,2.5,2.5,2.4,2.5,2.2,2.4,2.4,2,2,0.6,0.6,999,"Utils.Min({NCLK::FREQUENCY@double}*2, 2.5)"
IOCCLK,FREQUENCY,string,0.5,999,999,999,999,999,999,999,999,999,0.5,0.5,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,{NA::THIS::MAX_FREQUENCY@double},0.5,0.5,{NA::THIS::MAX_FREQUENCY@double},{NA::THIS::MAX_FREQUENCY@double},{NA::THIS::MAX_FREQUENCY@double},{NA::THIS::MAX_FREQUENCY@double},{NA::THIS::MAX_FREQUENCY@double},{NA::THIS::MAX_FREQUENCY@double},{NA::THIS::MAX_FREQUENCY@double},{NA::THIS::MAX_FREQUENCY@double},{NA::THIS::MAX_FREQUENCY@double},{NA::THIS::MAX_FREQUENCY@double},{NA::THIS::MAX_FREQUENCY@double},{NA::THIS::MAX_FREQUENCY@double},{NA::THIS::MAX_FREQUENCY@double},{NA::THIS::MAX_FREQUENCY@double},{NA::THIS::MAX_FREQUENCY@double},{NA::THIS::MAX_FREQUENCY@double},0.5,{NA::THIS::MAX_FREQUENCY@double},{NA::THIS::MAX_FREQUENCY@double},{NA::THIS::MAX_FREQUENCY@double},0.25,0.25,999,0.5
NCLK,FREQUENCY,string,"Utils.IF({NA::LI::THERMAL_DESIGN_POWER@double}<=65, 0.8, 0.9)",999,999,999,999,999,999,999,999,999,1.25,1.25,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,1,"Utils.IF({THIS::PKG::PWR_LIMIT}<=65, 0.8, 0.9)","Utils.IF({THIS::PKG::PWR_LIMIT}<=65, 0.8, 0.9)",1.25,1.25,1.25,1.25,{NA::THIS::MAX_FREQUENCY@double},1.2,1.1,1.25,1.2,1.25,1,1.25,1.25,1.2,1.25,1.1,1.2,1.2,1,1,0.3,0.3,999,"Utils.Min({QCLK::FREQUENCY@double}*0.5, 1.25)"
QCLK,FREQUENCY,string,"Utils.IF({NA::LI::THERMAL_DESIGN_POWER@double}<=65, 1.6, 1.8)",999,999,999,999,999,999,999,999,999,"Utils.MIN({NA::LI::MEMORY_MAX_QCLK_MHZ@double}/1000,3.2)","Utils.MIN({NA::LI::MEMORY_MAX_QCLK_MHZ@double}/1000,3.2)",999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,2,"Utils.IF({THIS::PKG::PWR_LIMIT}<=65, 1.6, 1.8)","Utils.IF({THIS::PKG::PWR_LIMIT}<=65, 1.6, 1.8)","Utils.MIN({NA::LI::MEMORY_MAX_QCLK_MHZ@double}/1000,3.2)","Utils.MIN({NA::LI::MEMORY_MAX_QCLK_MHZ@double}/1000,3.6)",{NA::LI::MEMORY_MAX_QCLK_MHZ@double}/1000,"Utils.MIN({NA::LI::MEMORY_MAX_QCLK_MHZ@double}/1000,3.6)",{NA::LI::MEMORY_MAX_QCLK_MHZ@double}/1000,2.4,2.2,2.66,2.4,"Utils.MIN({NA::LI::MEMORY_MAX_QCLK_MHZ@double}/1000,3.2)",2,"Utils.MIN({NA::LI::MEMORY_MAX_QCLK_MHZ@double}/1000,3.6)","Utils.MIN(({NA::LI::MEMORY_MAX_QCLK_MHZ@double}/1000),3.6)",2.4,"Utils.MIN({NA::LI::MEMORY_MAX_QCLK_MHZ@double}/1000,3.6)",2.2,2.4,2.4,2,2,0.6,0.6,999,"Utils.SWITCH({NA::LI::THERMAL_DESIGN_POWER@double}, (15, 1.2), (25, 2.4), (45, 2.4), (55, 2.4), (35, 3.6), (60, 3.6), (65, 3.6), (125, 3.6), (175, 3.6), (250, 3.6))"
AT,FREQUENCY,string,{NA::LI::SMALL_CORE_SPEED@double},999,999,999,999,{ATP01::ATPCPS::FREQUENCY@double},{ATP02::ATPCPS::FREQUENCY@double},{ATP03::ATPCPS::FREQUENCY@double},{ATP04::ATPCPS::FREQUENCY@double},999,999,999,{ATP08::ATPCPS::FREQUENCY@double},{ATP07::ATPCPS::FREQUENCY@double},{ATP06::ATPCPS::FREQUENCY@double},{ATP05::ATPCPS::FREQUENCY@double},999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,{NA::LI::MAXIMUM_IA_SMALL_CORE_FREQ@double},{NA::LI::MINIMUM_IA_SMALL_CORE_FREQ@double},999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,{ISO_FREQUENCY@double}
DE,FREQUENCY,string,0.6912,999,999,999,999,999,999,999,999,999,0.403,0.403,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,{NA::THIS::MAX_FREQUENCY@double},0.6912,0.6912,{NA::THIS::MAX_FREQUENCY@double},{NA::THIS::MAX_FREQUENCY@double},{NA::THIS::MAX_FREQUENCY@double},999,{NA::THIS::MAX_FREQUENCY@double},{NA::THIS::MAX_FREQUENCY@double},{NA::THIS::MAX_FREQUENCY@double},0.3,{NA::THIS::MAX_FREQUENCY@double},0.3,{NA::THIS::MAX_FREQUENCY@double},0.3,{NA::THIS::MAX_FREQUENCY@double},{NA::THIS::MAX_FREQUENCY@double},{NA::THIS::MAX_FREQUENCY@double},{NA::THIS::MAX_FREQUENCY@double},{NA::THIS::MAX_FREQUENCY@double},{NA::THIS::MAX_FREQUENCY@double},{NA::THIS::MAX_FREQUENCY@double},{NA::THIS::MAX_FREQUENCY@double},0.3,0.3,999,0.403
GT,FREQUENCY,string,{NA::LI::INTEGRATED_GRAPHICS_FREQUENCY@double},999,999,999,999,999,999,999,999,{NA::LI::INTEGRATED_GRAPHICS_TURBO_FREQ@double},999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,{NA::LI::INTEGRATED_GRAPHICS_FREQUENCY@double},{NA::LI::INTEGRATED_GRAPHICS_FREQUENCY@double},999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,"Utils.IF({NA::LI::THERMAL_DESIGN_POWER@double}==15, 0.4, 0.3)"
IA,FREQUENCY,string,{NA::LI::MM-SPEED@double},{IAP01::IAPCPS::FREQUENCY@double},{IAP02::IAPCPS::FREQUENCY@double},{IAP03::IAPCPS::FREQUENCY@double},{IAP04::IAPCPS::FREQUENCY@double},999,999,999,999,999,999,999,999,999,999,999,{IAP08::IAPCPS::FREQUENCY@double},{IAP07::IAPCPS::FREQUENCY@double},{IAP06::IAPCPS::FREQUENCY@double},{IAP05::IAPCPS::FREQUENCY@double},{IAP01TVB::IAPCPS::FREQUENCY@double},{IAP02TVB::IAPCPS::FREQUENCY@double},{IAP03TVB::IAPCPS::FREQUENCY@double},{IAP04TVB::IAPCPS::FREQUENCY@double},{IAP05TVB::IAPCPS::FREQUENCY@double},{IAP06TVB::IAPCPS::FREQUENCY@double},{IAP07TVB::IAPCPS::FREQUENCY@double},{IAP08TVB::IAPCPS::FREQUENCY@double},{IAP0NFCT::IAPCPS::FREQUENCY@double},{IAP0NFCTTVB::IAPCPS::FREQUENCY@double},999,{NA::LI::MAXIMUM_IA_FREQUENCY_RATE@double},{NA::LI::MINIMUM_IA_FREQUENCY_RATE@double},999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,{MVS::STEP@double}
LPATOM,FREQUENCY,string,"Utils.MIN({NA::LI::LPE_TURBO_FREQUENCY_RATE@double},{NA::LI::SMALL_CORE_SPEED@double})",999,999,999,999,999,999,999,999,999,{NA::LI::LPE_TURBO_FREQUENCY_RATE@double},{NA::LI::LPE_TURBO_FREQUENCY_RATE@double},999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,{NA::LI::LPE_TURBO_FREQUENCY_RATE@double},"Utils.MIN({NA::LI::LPE_TURBO_FREQUENCY_RATE@double},{NA::LI::SMALL_CORE_SPEED@double})","Utils.MIN({NA::LI::LPE_TURBO_FREQUENCY_RATE@double},{NA::LI::SMALL_CORE_SPEED@double})",0.8,0.8,2,2,2,0.8,2,0.8,0.8,0.8,0.8,0.8,0.8,0.8,{NA::LI::LPE_TURBO_FREQUENCY_RATE@double},{NA::LI::LPE_TURBO_FREQUENCY_RATE@double},0.8,999,{NA::LI::LPE_TURBO_FREQUENCY_RATE@double},{NA::LI::LPE_TURBO_FREQUENCY_RATE@double},0.8,0.8,999,"Utils.MIN({NA::LI::LPE_TURBO_FREQUENCY_RATE@double},{NA::LI::SMALL_CORE_SPEED@double})"
