Component,Attribute,DataType,NO_LIMIT,VRELMAX_ICCMAX,VRELMAX,ICCMAX,TDP,TDPUP,TDPDN
VNNAON,ICC_LIMIT,string,999,999,999,999,999,999,999
VCCSA,ICC_LIMIT,string,999,{NA::LI::VCCSA_ICCMAX_RAW_PERF@double},999,{NA::LI::VCCSA_ICCMAX_RAW_PERF@double},999,999,999
VCCIA,ICC_LIMIT,string,999,{NA::LI::VCC_PCORE_ICCMAX_RAW_PERF@double},999,{NA::LI::VCC_PCORE_ICCMAX_RAW_PERF@double},999,999,999
VCCGT,ICC_LIMIT,string,999,{NA::LI::VCCGT_ICCMAX_RAW_PERF@double},999,{NA::LI::VCCGT_ICCMAX_RAW_PERF@double},999,999,999
PKG,PWR_LIMIT,string,999,999,999,999,{NA::LI::THERMAL_DESIGN_POWER@double},{NA::LI::MAX_THERMAL_DESIGN_POWER_RATE@double},{NA::LI::MIN_THERMAL_DESIGN_POWER_RATE@double}
SRAMdom,VRELMAX,string,999,0.77,0.77,999,999,999,999
SAdom,VRELMAX,string,999,1.15,1.15,999,999,999,999
GTdom,VRELMAX,string,999,"Utils.SWITCH({NA::LI::GRAPHICS_DIE_CONFIG@string}, (''PIXE3_S_32'',1.1), (''PIXE3_H_64'',1.1), (''PIXE3P_P_192'', 1.03))","Utils.SWITCH({NA::LI::GRAPHICS_DIE_CONFIG@string}, (''PIXE3_S_32'',1.1), (''PIXE3_H_64'',1.1), (''PIXE3P_P_192'', 1.03))",999,999,999,999
IAdom,VRELMAX,string,999,"Utils.SWITCH(({NA::PKG::C_PACKAGE_TYPE@string},{NA::LI::COMPUTE_DIE_CONFIG@string}),((''DT'', ''NVL_CPU_816_1278''),1.15),((''DT'', ''NVL_CPU_816_N2P''),1.25),((''MBL'',''NVL_CPU_816_1278''),1.15),((''MBL'', ''NVL_CPU_816_N2P''),1.25),((''MBL'', ''NVL_CPU_48_N2P''),1.2))","Utils.SWITCH(({NA::PKG::C_PACKAGE_TYPE@string},{NA::LI::COMPUTE_DIE_CONFIG@string}),((''DT'', ''NVL_CPU_816_1278''),1.15),((''DT'', ''NVL_CPU_816_N2P''),1.25),((''MBL'',''NVL_CPU_816_1278''),1.15),((''MBL'', ''NVL_CPU_816_N2P''),1.25),((''MBL'', ''NVL_CPU_48_N2P''),1.2))",999,999,999,999
ATOMdom,VRELMAX,string,999,"Utils.SWITCH(({NA::PKG::C_PACKAGE_TYPE@string},{NA::LI::COMPUTE_DIE_CONFIG@string}),((''DT'', ''NVL_CPU_816_1278''),1.1),((''DT'', ''NVL_CPU_816_N2P''),1.2),((''MBL'',''NVL_CPU_816_1278''),1.1)   ,((''MBL'', ''NVL_CPU_816_N2P''),1.2 ),((''MBL'', ''NVL_CPU_48_N2P''),1.15 ))","Utils.SWITCH(({NA::PKG::C_PACKAGE_TYPE@string},{NA::LI::COMPUTE_DIE_CONFIG@string}),((''DT'', ''NVL_CPU_816_1278''),1.1),((''DT'', ''NVL_CPU_816_N2P''),1.2),((''MBL'',''NVL_CPU_816_1278''),1.1)   ,((''MBL'', ''NVL_CPU_816_N2P''),1.2 ),((''MBL'', ''NVL_CPU_48_N2P''),1.15 ))",999,999,999,999
CCFdom,VRELMAX,string,999,"Utils.SWITCH(({NA::PKG::C_PACKAGE_TYPE@string},{NA::LI::COMPUTE_DIE_CONFIG@string}),((''DT'', ''NVL_CPU_816_1278''),1.1),((''DT'', ''NVL_CPU_816_N2P''),1.2),((''MBL'',''NVL_CPU_816_1278''),1.1)   ,((''MBL'', ''NVL_CPU_816_N2P''),1.2 ),((''MBL'', ''NVL_CPU_48_N2P''),1.18 ))","Utils.SWITCH(({NA::PKG::C_PACKAGE_TYPE@string},{NA::LI::COMPUTE_DIE_CONFIG@string}),((''DT'', ''NVL_CPU_816_1278''),1.1),((''DT'', ''NVL_CPU_816_N2P''),1.2),((''MBL'',''NVL_CPU_816_1278''),1.1)   ,((''MBL'', ''NVL_CPU_816_N2P''),1.2 ),((''MBL'', ''NVL_CPU_48_N2P''),1.18 ))",999,999,999,999
VCCLPCORE,ICC_LIMIT,string,999,{NA::LI::VCC_LP_E_CORE_ICCMAX_RAW_PERF@double},999,{NA::LI::VCC_LP_E_CORE_ICCMAX_RAW_PERF@double},999,999,999
LPATdom,VRELMAX,string,999,1.15,1.15,999,999,999,999
