Attribute,DataType,QAE6,L2NQ,L2O0,L2NZ,L2NU,QAEW,L2NP,L2NT,L2O8,L2NW,QAE5,L2O1,L2NY,QAE9,L2NX
IS_ENABLED,string,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
VCCSA_VOLTAGE,string,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52
VCCSA_TOB,string,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
VCCSA_RIPPLE_MAX,string,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015
VCCSA_PCODE_MAX_VID,string,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52
VCCSA_LOAD_LINE_DC_PERF,string,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
VCCSA_LOAD_LINE_AC_PERF,string,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
VCCSA_IPL2_TDC_PERF,string,39.00,39.00,39.00,39.00,39.00,39.00,39.00,39.00,39.00,39.00,39.00,39.00,39.00,39.00,39.00
VCCSA_ICCMAX_RAW_PERF,string,68.00,68.00,68.00,68.00,68.00,68.00,68.00,68.00,68.00,68.00,68.00,68.00,68.00,68.00,68.00
VCCGT_TOB,string,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
VCCGT_RIPPLE_MAX,string,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015
VCCGT_PCODE_MAX_VID,string,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52
VCCGT_LOAD_LINE_DC_PERF,string,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VCCGT_LOAD_LINE_AC_PERF,string,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
