Component,Attribute,DataType,SA_0P1,GT_0.5,P1_AR,ALL_1,SA_0P5,AR_0.5_CEP
LPATOMb,AR,string,,999,0.4,1,0.5,0.5
LPATOMb,WC_AR,string,{NA::VCCSA::C_SA_CEP@double},999,{NA::VCCSA::C_SA_CEP@double},1,{NA::VCCSA::C_SA_CEP@double},{NA::VCCSA::C_SA_CEP@double}
IPU,WC_AR,string,{NA::VCCSA::C_SA_CEP@double},999,999,1,{NA::VCCSA::C_SA_CEP@double},{NA::VCCSA::C_SA_CEP@double}
IPU,AR,string,,999,999,1,0.5,0.5
CCFSRAM,AR,string,,999,1,1,999,0.5
CCFSRAM,WC_AR,string,,999,1,1,999,1
NPUSRAM,WC_AR,string,1,999,999,1,1,1
NPUSRAM,AR,string,,999,999,1,0.5,0.5
NPU,WC_AR,string,{NA::VCCSA::C_SA_CEP@double},999,999,1,{NA::VCCSA::C_SA_CEP@double},{NA::VCCSA::C_SA_CEP@double}
NPU,AR,string,,999,999,1,0.5,0.5
MEDIASRAM,WC_AR,string,1,999,999,1,1,1
MEDIASRAM,AR,string,,999,999,1,0.5,0.5
MEDIA,WC_AR,string,{NA::VCCSA::C_SA_CEP@double},999,999,1,{NA::VCCSA::C_SA_CEP@double},{NA::VCCSA::C_SA_CEP@double}
MEDIA,AR,string,,999,999,1,0.5,0.5
LPATSRAM,WC_AR,string,1,999,{NA::VCCSA::C_SA_CEP@double},1,1,1
LPATSRAM,AR,string,,999,0.4,1,0.5,0.5
LPATOM,WC_AR,string,{NA::VCCSA::C_SA_CEP@double},999,{NA::VCCSA::C_SA_CEP@double},1,{NA::VCCSA::C_SA_CEP@double},{NA::VCCSA::C_SA_CEP@double}
LPATOM,AR,string,,999,0.426,1,0.5,0.5
IA,WC_AR,string,,999,{NA::VCCIA::C_IA_CEP@},1,999,{NA::VCCIA::C_IA_CEP@}
IA,AR,string,,999,0.53,1,999,0.5
GT,WC_AR,string,,1,1,1,999,1
GT,AR,string,,0.5,0.402,1,999,0.5
DESRAM,WC_AR,string,1,999,1,1,1,1
DESRAM,AR,string,,999,0.22,1,0.5,0.5
DE,WC_AR,string,1,999,1,1,1,1
DE,AR,string,,999,0.22,1,0.5,0.5
ATSRAM,WC_AR,string,,999,1,1,999,1
ATSRAM,AR,string,,999,0.45,1,999,0.5
AT,WC_AR,string,,999,"Math.Min({AR@double}*1.4,1)",1,999,1
AT,AR,string,,999,0.45,1,999,0.5
QCLK,WC_AR,string,1,999,1,1,1,1
QCLK,AR,string,,999,0.583,1,0.5,0.5
NCLK,WC_AR,string,{NA::VCCSA::C_SA_CEP@double},999,1,1,{NA::VCCSA::C_SA_CEP@double},{NA::VCCSA::C_SA_CEP@double}
NCLK,AR,string,,999,0.3,1,0.5,0.5
IOCCLK,WC_AR,string,{NA::VCCSA::C_SA_CEP@double},999,1,1,{NA::VCCSA::C_SA_CEP@double},{NA::VCCSA::C_SA_CEP@double}
IOCCLK,AR,string,,999,0.1,1,0.5,0.5
CCLK,WC_AR,string,{NA::VCCSA::C_SA_CEP@double},999,1,1,{NA::VCCSA::C_SA_CEP@double},{NA::VCCSA::C_SA_CEP@double}
CCLK,AR,string,,999,0.12,1,0.5,0.5
SAREST,WC_AR,string,1,999,1,1,1,1
SAREST,AR,string,,999,0.06,1,0.5,0.5
CCF,AR,string,,999,0.22,1,999,0.5
CCF,WC_AR,string,,999,1,1,999,1
