Component,Attribute,DataType,LPATOMb_FMAX,P1,IAP01,IAP02,IAP03,IAP04,ATP01,ATP02,ATP03,ATP04,GTP0,ATP08,ATP07,ATP06,ATP05,IAP08,IAP07,IAP06,IAP05,IAP01TVB,IAP02TVB,IAP03TVB,IAP04TVB,IAP05TVB,IAP06TVB,IAP07TVB,IAP08TVB,IAP0NFCT,IAP0NFCTTVB,SAICCMAX_DT_NPU,P1UP,P1DN,MIN_LATENCY_MBL,MIN_LATENCY_DT,GAMING_DT_HX_1,GAMING_DT_HX_2,GAMING_DT_PUSH,CREATIVE_MBL,CREATIVE_DT,VPU_BENCHMARKING_MBL_1,VPU_BENCHMARKING_MBL_2,VPU_BENCHMARKING_MBL,VPU_BENCHMARKING_DT_1,VPU_BENCHMARKING_DT_2,MEDIA_MAX_DT,MEDIA_MAX_MBL,SURVIVABILITY_MBL,SURVIVABILITY_DT,LP_ATOM_FMAX_DT_1,LP_ATOM_FMAX_DT_2,IPU_FMAX_MBL,ABSOLUTE_MAX_VIRUS_MBL,ABSOLUTE_MAX_VIRUS_DT_2,ABSOLUTE_MAX_VIRUS_DT_3
LPATOMb,FREQUENCY,string,{NA::LI::LPE_TURBO_FREQUENCY_RATE@double},{NA::LI::SMALL_CORE_SPEED@double},999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,{NA::LI::LPE_TURBO_FREQUENCY_RATE@double},{NA::LI::MAXIMUM_IA_SMALL_CORE_FREQ@double},{NA::LI::MINIMUM_IA_SMALL_CORE_FREQ@double},{NA::LI::LPE_TURBO_FREQUENCY_RATE@double},{NA::LI::LPE_TURBO_FREQUENCY_RATE@double},{NA::LI::LPE_TURBO_FREQUENCY_RATE@double},{NA::LI::LPE_TURBO_FREQUENCY_RATE@double},{NA::LI::LPE_TURBO_FREQUENCY_RATE@double},{NA::LI::LPE_TURBO_FREQUENCY_RATE@double},{NA::LI::LPE_TURBO_FREQUENCY_RATE@double},{NA::LI::LPE_TURBO_FREQUENCY_RATE@double},{NA::LI::LPE_TURBO_FREQUENCY_RATE@double},{NA::LI::LPE_TURBO_FREQUENCY_RATE@double},{NA::LI::LPE_TURBO_FREQUENCY_RATE@double},{NA::LI::LPE_TURBO_FREQUENCY_RATE@double},{NA::LI::LPE_TURBO_FREQUENCY_RATE@double},{NA::LI::LPE_TURBO_FREQUENCY_RATE@double},{NA::LI::LPE_TURBO_FREQUENCY_RATE@double},{NA::LI::LPE_TURBO_FREQUENCY_RATE@double},{NA::LI::LPE_TURBO_FREQUENCY_RATE@double},{NA::LI::LPE_TURBO_FREQUENCY_RATE@double},{NA::LI::LPE_TURBO_FREQUENCY_RATE@double},{NA::LI::LPE_TURBO_FREQUENCY_RATE@double},{NA::LI::LPE_TURBO_FREQUENCY_RATE@double},{NA::LI::LPE_TURBO_FREQUENCY_RATE@double}
IPU,FREQUENCY,string,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,{NA::THIS::MAX_FREQUENCY@double},{NA::THIS::MAX_FREQUENCY@double},999,999
IAPCPS,FREQUENCY,string,999,999,{NA::LI::MAX_TEMP_MAX_TURBO_FREQ_RATE@string},{NA::LI::MAX_TEMP_TURBO_3CORE_FREQ_RATE@string},{NA::LI::MAX_TEMP_TURBO_5CORE_FREQ_RATE@string},{NA::LI::MAX_TEMP_TURBO_7CORE_FREQ_RATE@string},999,999,999,999,999,999,999,999,999,{NA::LI::MAX_TEMP_TURBO_15CORE_FREQ_RAT@string},{NA::LI::MAX_TEMP_TURBO_13CORE_FREQ_RAT@string},{NA::LI::MAX_TEMP_TURBO_11CORE_FREQ_RAT@string},{NA::LI::MAX_TEMP_TURBO_9CORE_FREQ_RAT@string},{NA::LI::MAX_THERMAL_TURBO_FREQUENCY@string},{NA::LI::TURBO_3_CORE_FREQ_RTE@string},{NA::LI::TURBO_5_CORE_FREQ_RTE@string},{NA::LI::TURBO_7_CORE_FREQ_RTE@string},{NA::LI::TURBO_9_CORE_FREQUENCY_RATE@string},{NA::LI::TURBO_11_CORE_FREQUENCY_RAT@string},{NA::LI::TURBO_13_CORE_FREQUENCY_RAT@string},{NA::LI::TURBO_15_CORE_FREQUENCY_RAT@string},{NA::LI::TURBO_MAX_3_FREQ@string},{NA::LI::MAX_TURBO_FREQ_RTE@string},999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
ATPCPS,FREQUENCY,string,999,999,999,999,999,999,{NA::LI::SMALL_CORE_MAX_TURBO_FREQ_RATE@double},{NA::LI::TURBO_5_SMALL_CORE_FREQ_RATE@double},{NA::LI::TURBO_9_SMALL_CORE_FREQ_RATE@double},{NA::LI::TURBO_13_SMALL_CORE_FREQ_RATE@double},999,{NA::LI::TURBO_29_SMALL_CORE_FREQ_RATE@double},{NA::LI::TURBO_25_SMALL_CORE_FREQ_RATE@double},{NA::LI::TURBO_21_SMALL_CORE_FREQ_RATE@double},{NA::LI::TURBO_17_SMALL_CORE_FREQ_RATE@double},999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
NPU,FREQUENCY,string,999,0.4,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,1.15,0.4,0.4,0.4,0.4,0.4,0.4,0.4,{NA::LI::VPU_FMAX@double},0.4,{NA::LI::VPU_FMAX@double},{NA::LI::VPU_FMAX@double},1.3,{NA::LI::VPU_FMAX@double},1.15,0.4,0.4,0.45,0.45,0.4,0.4,0.4,2,2.1,2.2
MEDIA,FREQUENCY,string,999,0.4,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,{NA::LI::MEDIA_MAX_TURBO_FREQ@double},0.4,0.4,0.4,0.4,0.4,0.4,0.4,{NA::LI::MEDIA_MAX_TURBO_FREQ@double},0.4,0.4,0.4,0.4,0.4,0.4,{NA::LI::MEDIA_MAX_TURBO_FREQ@double},{NA::LI::MEDIA_MAX_TURBO_FREQ@double},0.4,0.4,0.4,0.4,0.4,{NA::LI::MEDIA_MAX_TURBO_FREQ@double},{NA::LI::MEDIA_MAX_TURBO_FREQ@double},0.9
LPATOM,FREQUENCY,string,999,{NA::LI::SMALL_CORE_SPEED@double},999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,{NA::LI::LPE_TURBO_FREQUENCY_RATE@double},{NA::LI::SMALL_CORE_SPEED@double},{NA::LI::SMALL_CORE_SPEED@double},0.8,0.8,2,2,2,0.8,2,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,{NA::LI::LPE_TURBO_FREQUENCY_RATE@double},{NA::LI::LPE_TURBO_FREQUENCY_RATE@double},0.8,999,{NA::LI::LPE_TURBO_FREQUENCY_RATE@double},{NA::LI::LPE_TURBO_FREQUENCY_RATE@double}
IA,FREQUENCY,string,999,{NA::LI::MM-SPEED@double},{IAP01::IAPCPS::FREQUENCY@double},{IAP02::IAPCPS::FREQUENCY@double},{IAP03::IAPCPS::FREQUENCY@double},{IAP04::IAPCPS::FREQUENCY@double},999,999,999,999,999,999,999,999,999,{IAP08::IAPCPS::FREQUENCY@double},{IAP07::IAPCPS::FREQUENCY@double},{IAP06::IAPCPS::FREQUENCY@double},{IAP05::IAPCPS::FREQUENCY@double},{IAP01TVB::IAPCPS::FREQUENCY@double},{IAP02TVB::IAPCPS::FREQUENCY@double},{IAP03TVB::IAPCPS::FREQUENCY@double},{IAP04TVB::IAPCPS::FREQUENCY@double},{IAP05TVB::IAPCPS::FREQUENCY@double},{IAP06TVB::IAPCPS::FREQUENCY@double},{IAP07TVB::IAPCPS::FREQUENCY@double},{IAP08TVB::IAPCPS::FREQUENCY@double},{IAP0NFCT::IAPCPS::FREQUENCY@double},{IAP0NFCTTVB::IAPCPS::FREQUENCY@double},999,{NA::LI::MAXIMUM_IA_FREQUENCY_RATE@double},{NA::LI::MINIMUM_IA_FREQUENCY_RATE@double},999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
GT,FREQUENCY,string,999,{NA::LI::INTEGRATED_GRAPHICS_FREQUENCY@double},999,999,999,999,999,999,999,999,{NA::LI::INTEGRATED_GRAPHICS_TURBO_FREQ@double},999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,{NA::LI::INTEGRATED_GRAPHICS_FREQUENCY@double},{NA::LI::INTEGRATED_GRAPHICS_FREQUENCY@double},999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
DE,FREQUENCY,string,999,0.2772,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,{NA::THIS::MAX_FREQUENCY@double},0.2772,0.2772,{NA::THIS::MAX_FREQUENCY@double},{NA::THIS::MAX_FREQUENCY@double},{NA::THIS::MAX_FREQUENCY@double},999,{NA::THIS::MAX_FREQUENCY@double},{NA::THIS::MAX_FREQUENCY@double},{NA::THIS::MAX_FREQUENCY@double},0.3,{NA::THIS::MAX_FREQUENCY@double},0.3,{NA::THIS::MAX_FREQUENCY@double},0.3,{NA::THIS::MAX_FREQUENCY@double},{NA::THIS::MAX_FREQUENCY@double},0.3,0.3,{NA::THIS::MAX_FREQUENCY@double},{NA::THIS::MAX_FREQUENCY@double},{NA::THIS::MAX_FREQUENCY@double},{NA::THIS::MAX_FREQUENCY@double},{NA::THIS::MAX_FREQUENCY@double},{NA::THIS::MAX_FREQUENCY@double}
