Component,Attribute,DataType,TJMAX,COLD,ROOM,TEMP_100,TVB,P1
SAREST,TTARGET,string,{NA::LI::HUB_DIE_TJMAX_DO_NOT_EXCEED@double},-5,20,100,{NA::LI::THERMAL_TURBO_TEMP@double},90
CCLK,TTARGET,string,{NA::LI::HUB_DIE_TJMAX_DO_NOT_EXCEED@double},-5,20,100,{NA::LI::THERMAL_TURBO_TEMP@double},90
IOCCLK,TTARGET,string,{NA::LI::HUB_DIE_TJMAX_DO_NOT_EXCEED@double},-5,20,100,{NA::LI::THERMAL_TURBO_TEMP@double},90
NCLK,TTARGET,string,{NA::LI::HUB_DIE_TJMAX_DO_NOT_EXCEED@double},-5,20,100,{NA::LI::THERMAL_TURBO_TEMP@double},90
QCLK,TTARGET,string,{NA::LI::HUB_DIE_TJMAX_DO_NOT_EXCEED@double},-5,20,100,{NA::LI::THERMAL_TURBO_TEMP@double},90
AT,TTARGET,string,{NA::LI::CPU_DIE_TJMAX_DO_NOT_EXCEED@double},-5,20,100,{NA::LI::THERMAL_TURBO_TEMP@double},90
ATSRAM,TTARGET,string,{NA::LI::CPU_DIE_TJMAX_DO_NOT_EXCEED@double},-5,20,100,{NA::LI::THERMAL_TURBO_TEMP@double},90
DE,TTARGET,string,{NA::LI::HUB_DIE_TJMAX_DO_NOT_EXCEED@double},-5,20,100,{NA::LI::THERMAL_TURBO_TEMP@double},90
DESRAM,TTARGET,string,{NA::LI::HUB_DIE_TJMAX_DO_NOT_EXCEED@double},-5,20,100,{NA::LI::THERMAL_TURBO_TEMP@double},90
GT,TTARGET,string,{NA::LI::GCD_DIE_TJMAX_DO_NOT_EXCEED@double},-5,20,100,{NA::LI::THERMAL_TURBO_TEMP@double},90
IA,TTARGET,string,{NA::LI::CPU_DIE_TJMAX_DO_NOT_EXCEED@double},-5,20,100,{NA::LI::THERMAL_TURBO_TEMP@double},90
LPATOM,TTARGET,string,{NA::LI::HUB_DIE_TJMAX_DO_NOT_EXCEED@double},-5,20,100,{NA::LI::THERMAL_TURBO_TEMP@double},90
LPATSRAM,TTARGET,string,{NA::LI::HUB_DIE_TJMAX_DO_NOT_EXCEED@double},-5,20,100,{NA::LI::THERMAL_TURBO_TEMP@double},90
MEDIA,TTARGET,string,{NA::LI::HUB_DIE_TJMAX_DO_NOT_EXCEED@double},-5,20,100,{NA::LI::THERMAL_TURBO_TEMP@double},90
MEDIASRAM,TTARGET,string,{NA::LI::HUB_DIE_TJMAX_DO_NOT_EXCEED@double},-5,20,100,{NA::LI::THERMAL_TURBO_TEMP@double},90
NPU,TTARGET,string,{NA::LI::HUB_DIE_TJMAX_DO_NOT_EXCEED@double},-5,20,100,{NA::LI::THERMAL_TURBO_TEMP@double},90
NPUSRAM,TTARGET,string,{NA::LI::HUB_DIE_TJMAX_DO_NOT_EXCEED@double},-5,20,100,{NA::LI::THERMAL_TURBO_TEMP@double},90
CCF,TTARGET,string,{NA::LI::CPU_DIE_TJMAX_DO_NOT_EXCEED@double},-5,20,100,{NA::LI::THERMAL_TURBO_TEMP@double},90
CCFSRAM,TTARGET,string,{NA::LI::CPU_DIE_TJMAX_DO_NOT_EXCEED@double},-5,20,100,{NA::LI::THERMAL_TURBO_TEMP@double},90
IPU,TTARGET,string,{NA::LI::HUB_DIE_TJMAX_DO_NOT_EXCEED@double},-5,20,100,{NA::LI::THERMAL_TURBO_TEMP@double},90
LPATOMb,TTARGET,string,{NA::LI::HUB_DIE_TJMAX_DO_NOT_EXCEED@double},-5,20,100,{NA::LI::THERMAL_TURBO_TEMP@double},90
