SCENARIO_NAME,SAQG2_ENABLE,VCCSA_LL,ENABLES,TEMPERATURES,PWR_ICC_VREL_LIMITS,FREQUENCIES,AR,DYN_STATIC_RATIO,PCPS_NUM,OTHER_PWR,SCEN_MODE,ISOVOLT
IAP01,G4,POR,IAP0,TEMP_100,VRELMAX,IAP01,AR_0.5_CEP,OFF,IAP01,ZERO,IAP01,OFF
IAP02,G4,POR,IAP0,TEMP_100,VRELMAX,IAP02,AR_0.5_CEP,OFF,IAP02,ZERO,IAP02,CCFFREQ_IAVOLT
IAP01_MAX,G4,POR,IAP0,TEMP_100,ICCMAX,IAP01,ALL_1,OFF,IAP01,ZERO,IAP01,OFF
IAP02_MAX,G4,POR,IAP0,TEMP_100,PL4_ICCMAX,IAP02,ALL_1,OFF,IAP02,ZERO,IAP02,CCFFREQ_IAVOLT
IAP03,G4,POR,IAP0,TEMP_100,VRELMAX_ICCMAX,IAP03,ALL_1,OFF,IAP03,ZERO,OFF,CCFFREQ_IAVOLT
IAP04,G4,POR,IAP0,TEMP_100,VRELMAX_ICCMAX,IAP04,ALL_1,OFF,IAP04,ZERO,OFF,CCFFREQ_IAVOLT
ATP01,G4,POR,ATP0,TEMP_100,VRELMAX,ATP01,AR_0.5_CEP,OFF,ATP01,ZERO,ATP01,CCFFREQ_ATOMVOLT
ATP02,G4,POR,ATP0,TEMP_100,VRELMAX,ATP02,AR_0.5_CEP,OFF,ATP02,ZERO,ATP02,CCFFREQ_ATOMVOLT
ATP03,G4,POR,ATP0,TEMP_100,VRELMAX_ICCMAX,ATP03,ALL_1,OFF,ATP03,ZERO,OFF,CCFFREQ_ATOMVOLT
ATP04,G4,POR,ATP0,TEMP_100,VRELMAX_ICCMAX,ATP04,ALL_1,OFF,ATP04,ZERO,OFF,CCFFREQ_ATOMVOLT
GTP0,G4,POR,GTP0,TEMP_100,VRELMAX,GTP0,GT_0.5,OFF,DISABLE,ZERO,GTP0,OFF
GTP0_ICCMAX,G4,POR,GTP0,TEMP_100,ICCMAX,GTP0,ALL_1,OFF,DISABLE,ZERO,GTP0,OFF
P1,G4,POR,P1,P1,TDP,P1,P1_AR,SA_DE_2_PIPES,DISABLE,P1,EDC,OFF
IAP05,G4,POR,IAP0,TEMP_100,VRELMAX_ICCMAX,IAP05,ALL_1,OFF,IAP05,ZERO,OFF,CCFFREQ_IAVOLT
IAP06,G4,POR,IAP0,TEMP_100,VRELMAX_ICCMAX,IAP06,ALL_1,OFF,IAP06,ZERO,OFF,CCFFREQ_IAVOLT
IAP07,G4,POR,IAP0,TEMP_100,VRELMAX_ICCMAX,IAP07,ALL_1,OFF,IAP07,ZERO,OFF,CCFFREQ_IAVOLT
IAP08,G4,POR,IAP0,TEMP_100,VRELMAX_ICCMAX,IAP08,ALL_1,OFF,IAP08,ZERO,OFF,CCFFREQ_IAVOLT
