Qdf,Scenario,Component,Attribute,ValueGroup,SubAttribute,Dimension,Option,DataType,Value
,NA,SAREST,SVT,,,,,,I685:I687
,NA,SAREST,SV,,,,,,1.743187801
,NA,SAREST,ST,,,,,,0.030419453
,NA,SAREST,SRV,,,,,,-0.234902191
,NA,NPU,CDYN_MEASUREMENT,,,,,,({NA::PKG::F_NPU_CDYN_MAX_0TILE@double} + {NA::PKG::F_NPU_PB_IB_CDYN_MAX@double} + ({NA::LI::VPU_TILE_CONFIG@double} * {NA::PKG::F_NPU_CDYN_MAX_1TILE@double})) + ''%0.7%100''
,NA,NPUSRAM,CDYN_MEASUREMENT,,,,,,({NA::LI::VPU_TILE_CONFIG@double} * {PKG::F_VPU_SRAM_CDYN_MAX_1TILE@double})/NPU_CDYN
,NA,DESRAM,CDYN_MEASUREMENT,,,,,,{PKG::F_SA_DE_SRAM_CDYN_MAX@double}/DE_CDYN
,NA,DE,CDYN_MEASUREMENT,,,,,,({NA::PKG::F_DE_CDYN_PIPE@double}*4 + {NA::PKG::F_DE_CDYN_UNGATED@double} + {PKG::F_SA_DE_SRAM_CDYN_MAX@double}) + ''%0.7%100''
,NA,PKG,F_IA_SVID_VOLTAGE_OFFSET,,,,,,"Ripple value was 0.02 from BM, check PnP values in Lava"
,NA,IA,CV_SLOPE,,,,,,"prev 0.29, updated to adjust Pcode"
,NA,SAREST,SRT,,,,,,-0.002468619
,NA,PKG,F_ATOM_DLVR_INLL,,,,,,Update from - NVL_H_Cdie_n2p_Fuses_PDI_Recipe_Rev7p5_26WW4p2
,NA,PKG,F_CORE_DLVR_INLL,,,,,,Update from - NVL_H_Cdie_n2p_Fuses_PDI_Recipe_Rev7p5_26WW4p2
,NA,PKG,F_DLVR_PS_THRESHOLDS_IACOREXLT_PS0,,,,,,Update from - NVL_H_Cdie_n2p_Fuses_PDI_Recipe_Rev7p5_26WW4p2
,NA,PKG,F_DLVR_PS_THRESHOLDS_RING_PS0,,,,,,Update from - NVL_H_Cdie_n2p_Fuses_PDI_Recipe_Rev7p5_26WW4p2
,NA,PKG,F_DLVR_PS_THRESHOLDS_ATOM_PS0,,,,,,Update from - NVL_H_Cdie_n2p_Fuses_PDI_Recipe_Rev7p5_26WW4p2
,NA,PKG,F_RING_DLVR_INLL,,,,,,Update from - NVL_H_Cdie_n2p_Fuses_PDI_Recipe_Rev7p5_26WW4p2
,NA,PKG,F_DLVR_DROPOUT_VOLTAGE_ATOM_PS0,,,,,,Update from - NVL_H_Cdie_n2p_Fuses_PDI_Recipe_Rev7p5_26WW4p2
,NA,PKG,F_DLVR_DROPOUT_VOLTAGE_ATOM_PS1,,,,,,Update from - NVL_H_Cdie_n2p_Fuses_PDI_Recipe_Rev7p5_26WW4p2
,NA,PKG,F_DLVR_DROPOUT_VOLTAGE_ATOM_PS2,,,,,,Update from - NVL_H_Cdie_n2p_Fuses_PDI_Recipe_Rev7p5_26WW4p2
,NA,PKG,F_DLVR_DROPOUT_VOLTAGE_ATOM_PS3,,,,,,Update from - NVL_H_Cdie_n2p_Fuses_PDI_Recipe_Rev7p5_26WW4p2
,NA,PKG,F_DLVR_DROPOUT_VOLTAGE_CORE_PS0,,,,,,Update from - NVL_H_Cdie_n2p_Fuses_PDI_Recipe_Rev7p5_26WW4p2
,NA,PKG,F_DLVR_DROPOUT_VOLTAGE_CORE_PS1,,,,,,Update from - NVL_H_Cdie_n2p_Fuses_PDI_Recipe_Rev7p5_26WW4p2
,NA,PKG,F_DLVR_DROPOUT_VOLTAGE_CORE_PS2,,,,,,Update from - NVL_H_Cdie_n2p_Fuses_PDI_Recipe_Rev7p5_26WW4p2
,NA,PKG,F_DLVR_DROPOUT_VOLTAGE_CORE_PS3,,,,,,Update from - NVL_H_Cdie_n2p_Fuses_PDI_Recipe_Rev7p5_26WW4p2
,NA,PKG,F_DLVR_DROPOUT_VOLTAGE_RING_PS0,,,,,,Update from - NVL_H_Cdie_n2p_Fuses_PDI_Recipe_Rev7p5_26WW4p2
,NA,PKG,F_DLVR_DROPOUT_VOLTAGE_RING_PS1,,,,,,Update from - NVL_H_Cdie_n2p_Fuses_PDI_Recipe_Rev7p5_26WW4p2
,NA,PKG,F_DLVR_DROPOUT_VOLTAGE_RING_PS2,,,,,,Update from - NVL_H_Cdie_n2p_Fuses_PDI_Recipe_Rev7p5_26WW4p2
,NA,PKG,F_DLVR_DROPOUT_VOLTAGE_RING_PS3,,,,,,Update from - NVL_H_Cdie_n2p_Fuses_PDI_Recipe_Rev7p5_26WW4p2
,NA,PKG,F_DLVR_PS_THRESHOLDS_ATOM_PS1,,,,,,Update from - NVL_H_Cdie_n2p_Fuses_PDI_Recipe_Rev7p5_26WW4p2
