Attribute,DataType,L2OQ,L2P5,L2OK,L2OM,L2P6,L2ON,L2OL,L2P7,L2PL
MAX_TEMP_TURBO_12CORE_FREQ_RAT_UOM,string,GHZ,,GHZ,,,GHZ,,,
MAX_TEMP_TURBO_11CORE_FREQ_RAT_UOM,string,GHZ,,GHZ,,,GHZ,,,
MAX_TEMP_TURBO_10CORE_FREQ_RAT_UOM,string,GHZ,,GHZ,,,GHZ,,,
WJA_UOM,string,C/W,C/W,C/W,C/W,C/W,C/W,C/W,C/W,C/W
WJA,string,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39
weightUom,string,LB,LB,LB,LB,LB,LB,LB,LB,LB
VPU_TILE_CONFIG,string,4,4,4,4,4,4,4,4,4
VPU_FMAX,string,2.35,2.35,2.35,2.35,2.35,2.35,2.35,2.35,2.35
VMD,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
VIRTUAL_HOSTED_DESKTOP_IND,string,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED
VIRTL_TECH_CD,string,"VT-X, VT-D, HLAT","VT-X, VT-D, HLAT","VT-X, VT-D, HLAT","VT-X, VT-D, HLAT","VT-X, VT-D, HLAT","VT-X, VT-D, HLAT","VT-X, VT-D, HLAT","VT-X, VT-D, HLAT","VT-X, VT-D, HLAT"
VIRTL_MCHN_CTRL_STRC_SHDW_IND,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
userItemType,string,Finished Good,Finished Good,Finished Good,Finished Good,Finished Good,Finished Good,Finished Good,Finished Good,Finished Good
USBC_PORTS,string,2,2,2,2,2,2,2,2,2
UFS_DID_0,string,0,0,0,0,0,0,0,0,0
TYPE_C_PORT_4,string,DP_ONLY,DP_ONLY,DP_ONLY,DP_ONLY,DP_ONLY,DP_ONLY,DP_ONLY,DP_ONLY,DP_ONLY
TYPE_C_PORT_3,string,DP_ONLY,DP_ONLY,DP_ONLY,DP_ONLY,DP_ONLY,DP_ONLY,DP_ONLY,DP_ONLY,DP_ONLY
TYPE_C_PORT_2,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
TYPE_C_PORT_1,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
TURBO_SMALL_CORE_FREQ_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
TURBO_MAX_3_IND,string,2_CORE,4_CORE,DISABLED,4_CORE,4_CORE,DISABLED,2_CORE,2_CORE,4_CORE
TURBO_MAX_3_FREQ,string,5.3,5.5,5.2,5.6,5.4,5.2,5.4,5.3,5.4
TURBO_FREQ_UNLOCKE_IND,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
TURBO_CORE_FREQ_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
TURBO_9_SMALL_CORE_FREQ_RATE,string,4.3,4.6,4.3,4.6,4.5,4.3,4.5,4.3,4.5
TURBO_9_CORE_FREQUENCY_RATE,string,0,0,0,0,0,0,0,0,0
TURBO_8_SMALL_CORE_FREQ_RATE,string,4.3,4.6,4.3,4.6,4.5,4.3,4.5,4.3,4.5
TURBO_8_CORE_FREQ_RTE,string,5.2,5.4,0,5.4,5.2,0,5.3,5.2,5.2
TURBO_7_SMALL_CORE_FREQ_RATE,string,4.3,4.6,4.3,4.6,4.5,4.3,4.5,4.3,4.5
TURBO_7_CORE_FREQ_RTE,string,5.2,5.4,0,5.4,5.2,0,5.3,5.2,5.2
TURBO_6_SMALL_CORE_FREQ_RATE,string,4.3,4.6,4.3,4.6,4.5,4.3,4.5,4.3,4.5
TURBO_6_CORE_FREQ_RTE,string,5.2,5.4,5.2,5.5,5.3,5.2,5.3,5.2,5.3
