Attribute,DataType,L1BH,L1BC,L2FU,L1BD,L1BG,L1BE,L1BF,L1BB
BASE_CLOCK_MAX_MHZ_RATE,string,100,100,100,100,100,100,100,100
ANTI_MALWARE_BOOST_IND,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
ALL_CORE_TURBO_FREQ_SMALL_CORE_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
ALL_CORE_TURBO_FREQ_SMALL_CORE,string,2.6,2.8,3,2.8,2.6,2.8,2.6,3
ALL_CORE_TURBO_FREQ_RATE,string,3.3,3.5,3.7,3.5,3.3,3.5,3.3,3.8
AES_INSTR_SET_IND,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
ACE_SILICON_SKU_ID,string,0,0,0,0,0,0,0,0
IS_ENABLED,string,true,true,true,true,true,true,true,true
VCCSA_VOLTAGE,string,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52
VCCSA_TOB,string,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
VCCSA_RIPPLE_MAX,string,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015
VCCSA_PCODE_MAX_VID,string,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52
VCCSA_LOAD_LINE_DC_PERF,string,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8
VCCSA_LOAD_LINE_AC_PERF,string,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8
VCCSA_IPL2_TDC_PERF,string,33,33,33,33,33,33,33,33
VCCSA_ICCMAX_RAW_PERF,string,99,99,99,99,99,99,99,99
VCCGT_TOB,string,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
VCCGT_RIPPLE_MAX,string,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015
VCCGT_PCODE_MAX_VID,string,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52
VCCGT_LOAD_LINE_DC_PERF,string,0,0,0,0,0,0,0,0
VCCGT_LOAD_LINE_AC_PERF,string,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
VCCGT_ICCMAX_RAW_PERF,string,40,40,40,40,40,40,40,40
VCC_PCORE_VOLTAGE,string,1.77,1.77,1.77,1.77,1.77,1.77,1.77,1.77
VCC_PCORE_TOB,string,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
VCC_PCORE_RIPPLE_MAX,string,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015
VCC_PCORE_PL4_PERF,string,854,854,782,854,854,854,854,782
VCC_PCORE_PL2_PERF,string,496,496,460,496,496,496,496,460
VCC_PCORE_PCODE_MAX_VID,string,1.77,1.77,1.77,1.77,1.77,1.77,1.77,1.77
VCC_PCORE_LOAD_LINE_DC_PERF,string,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2
VCC_PCORE_LOAD_LINE_AC_PERF,string,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2
VCC_PCORE_IPL2_TDC_PERF,string,290,290,308,290,290,290,290,308
VCC_PCORE_ICCMAX_RAW_PERF,string,598,598,622,598,598,598,598,622
VCC_LP_E_CORE_TOB,string,,,,,,,,
VCC_LP_E_CORE_RIPPLE_MAX,string,,,,,,,,
VCC_LP_E_CORE_PCODE_MAX_VID,string,,,,,,,,
VCC_LP_E_CORE_LOAD_LINE_DC_PERF,string,,,,,,,,
VCC_LP_E_CORE_LOAD_LINE_AC_PERF,string,,,,,,,,
VCC_LP_E_CORE_ICCMAX_RAW_PERF,string,,,,,,,,
TDP_NOMINAL_BASE_POWER_TDP_PL1,string,150,150,150,150,150,150,150,150
PRODUCT_NAME_SEGMENT,string,SK BLLC,SK BLLC,SK BLLC,SK BLLC,SK BLLC,SK BLLC,SK BLLC,SK BLLC
PD_INDEX_EDS,string,2,2,1,2,2,2,2,1
FUNCTIONAL_P_CORE_AMOUNT,string,14,14,16,14,14,14,14,16
FUNCTIONAL_LP_E_CORE_AMOUNT,string,4,4,4,4,4,4,4,4
FUNCTIONAL_E_CORE_AMOUNT,string,24,24,32,24,24,24,24,32
WJA_UOM,string,C/W,C/W,C/W,C/W,C/W,C/W,C/W,C/W
WJA,string,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39
weightUom,string,LB,LB,LB,LB,LB,LB,LB,LB
VPU_TILE_CONFIG,string,0,4,4,4,4,4,4,4
VPU_FMAX,string,2.1,2.1,2.1,2.1,2.15,2.15,2.1,2.1
VMD,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
VIRTUAL_HOSTED_DESKTOP_IND,string,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED
VIRTL_TECH_CD,string,"VT-X, VT-D, HLAT","VT-X, VT-D, HLAT","VT-X, VT-D, HLAT","VT-X, VT-D, HLAT","VT-X, VT-D, HLAT","VT-X, VT-D, HLAT","VT-X, VT-D, HLAT","VT-X, VT-D, HLAT"
VIRTL_MCHN_CTRL_STRC_SHDW_IND,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
userItemType,string,Finished Good,Finished Good,Finished Good,Finished Good,Finished Good,Finished Good,Finished Good,Finished Good
USBC_PORTS,string,2,2,2,2,2,2,2,2
UFS_DID_0,string,0,0,0,0,0,0,0,0
TYPE_C_PORT_4,string,DP_ONLY,DP_ONLY,DP_ONLY,DP_ONLY,DP_ONLY,DP_ONLY,DP_ONLY,DP_ONLY
TYPE_C_PORT_3,string,DP_ONLY,DP_ONLY,DP_ONLY,DP_ONLY,DP_ONLY,DP_ONLY,DP_ONLY,DP_ONLY
TYPE_C_PORT_2,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
TYPE_C_PORT_1,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
TURBO_SMALL_CORE_FREQ_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
TURBO_MAX_3_IND,string,2_CORE,2_CORE,2_CORE,2_CORE,2_CORE,2_CORE,2_CORE,2_CORE
TURBO_MAX_3_FREQ,string,3.6,3.8,3.8,3.8,3.6,3.8,3.6,4.1
TURBO_FREQ_UNLOCKE_IND,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
TURBO_CORE_FREQ_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
