Attribute,DataType,L2O9,L2HF,L2MA,QADP,L2L7,L2HK,L2HI,L2MT,L2OA,QADN,L2HJ,L2HH,L2HG
IS_ENABLED,string,true,true,true,true,true,true,true,true,true,true,true,true,true
QDF_SSPEC,string,L2O9,L2HF,L2MA,QADP,L2L7,L2HK,L2HI,L2MT,L2OA,QADN,L2HJ,L2HH,L2HG
Item_Status,string,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,NotActive,NotActive,Active
DI_TDP,string,65W,65W,65W,65W,65W,65W,65W,65W,65W,65W,65W,65W,65W
DI_SKU,string,"NVL S 4+4+4 ","NVL S 4+8+4 ","NVL S 4+8+4 ","NVL S 4+8+4 ","NVL S 4+8+4 ","NVL S 4+8+4 ",NVL S 4+8+4  GT0,"NVL S 4+8+4 ","NVL S 4+8+4 ","NVL S 4+4+4 ",NVL S 4+4+4 GT0,"NVL S 4+4+4 ","NVL S 4+8+4 "
DI_SEGMENT,string,"S  ","S  ","S  ","S  ","S  ","S  ","S  ","S  ","S  ","S  ","S  ","S  ","S  "
DI_PRODUCT_NAME,string,Nova Lake S 16C Product,Nova Lake S 16C Product,Nova Lake S 16C Product,Nova Lake S 16C Product,Nova Lake S 16C Product,Nova Lake S 16C Product,Nova Lake S 16C Product,Nova Lake S 16C Product,Nova Lake S 16C Product,Nova Lake S 16C Product,Nova Lake S 16C Product,Nova Lake S 16C Product,Nova Lake S 16C Product
DI_PLATFORM_ID,string,1,1,1,1,1,1,1,1,1,1,1,1,1
DI_PCORE_COUNT,string,4,4,4,4,4,4,4,4,4,4,4,4,4
DI_P_CORE_DIE_STEP,string,PNC-B0,PNC-B0,PNC-B0,PNC-B0,PNC-B0,PNC-B0,PNC-B0,PNC-B0,PNC-B0,PNC-B0,PNC-B0,PNC-B0,PNC-B0
DI_LP_ECORE,string,4,4,4,4,4,4,4,4,4,4,4,4,4
DI_LP_E_CORE_DIE_STEP,string,"ARW-A0 ","ARW-A0 ","ARW-A0 ","ARW-A0 ","ARW-A0 ","ARW-A0 ","ARW-A0 ","ARW-A0 ","ARW-A0 ","ARW-A0 ","ARW-A0 ","ARW-A0 ","ARW-A0 "
DI_INTERNAL_STEP,string,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0
DI_IA_OFFSET_VOLTAGE,string,50,50,50,50,50,50,50,50,50,50,50,50,50
DI_HOST_REVISION_ID_SRID,string,0,0,0,0,0,0,0,0,0,0,0,0,0
DI_HOST_REVISION_ID_CRID,string,0,0,0,0,0,0,0,0,0,0,0,0,0
DI_GT_EUS,string,32,32,32,32,32,32,0,32,32,32,0,32,32
DI_EXTERNAL_STEP,string,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0
DI_ECORE_COUNT,string,4,8,8,8,8,8,8,8,8,4,4,4,8
DI_E_CORE_DIE_STEP,string,"ARW-B0 ","ARW-B0 ","ARW-B0 ","ARW-B0 ","ARW-B0 ","ARW-B0 ","ARW-B0 ","ARW-B0 ","ARW-B0 ","ARW-B0 ","ARW-B0 ","ARW-B0 ","ARW-B0 "
DI_DEVICEID_CHK,string,DeviceID-Match,DeviceID-Match,DeviceID-Match,DeviceID-Match,DeviceID-Match,DeviceID-Match,DeviceID-Match,DeviceID-Match,DeviceID-Match,DeviceID-Match,DeviceID-Match,DeviceID-Match,DeviceID-Match
DI_DEVICE_ID_DID2,string,D740,D740,D740,D740,D740,D740,0,D740,D740,D740,0,D740,D740
DI_DEVICE_ID_0,string,D708,D708,D708,D708,D708,D708,D708,D708,D708,D708,D708,D708,D708
DI_CPUID,string,300F11,300F11,300F11,300F11,300F11,300F11,300F11,300F11,300F11,300F11,300F11,300F11,300F11
VCCSA_VOLTAGE,string,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52
VCCSA_TOB,string,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
VCCSA_RIPPLE_MAX,string,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015
VCCSA_PCODE_MAX_VID,string,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52
VCCSA_LOAD_LINE_DC_PERF,string,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1
VCCSA_LOAD_LINE_AC_PERF,string,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1
VCCSA_IPL2_TDC_PERF,string,50,50,50,50,50,50,50,50,50,50,50,50,50
VCCSA_ICCMAX_RAW_PERF,string,99,99,99,99,99,99,99,99,99,99,99,99,99
VCCGT_TOB,string,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
VCCGT_RIPPLE_MAX,string,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015
VCCGT_PCODE_MAX_VID,string,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52
VCCGT_LOAD_LINE_DC_PERF,string,0,0,0,0,0,0,0,0,0,0,0,0,0
VCCGT_LOAD_LINE_AC_PERF,string,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5
VCCGT_ICCMAX_RAW_PERF,string,32,32,32,32,32,32,32,32,32,32,32,32,32
VCC_PCORE_VOLTAGE,string,1.77,1.77,1.77,1.77,1.77,1.77,1.77,1.77,1.77,1.77,1.77,1.77,1.77
VCC_PCORE_TOB,string,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
VCC_PCORE_RIPPLE_MAX,string,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015
VCC_PCORE_PL4_PERF,string,,,,,,,,,,,,,
VCC_PCORE_PL2_PERF,string,165,165,165,165,165,165,165,165,165,165,165,165,165
VCC_PCORE_PCODE_MAX_VID,string,1.77,1.77,1.77,1.77,1.77,1.77,1.77,1.77,1.77,1.77,1.77,1.77,1.77
VCC_PCORE_LOAD_LINE_DC_PERF,string,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7
VCC_PCORE_LOAD_LINE_AC_PERF,string,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7
VCC_PCORE_IPL2_TDC_PERF,string,85,85,85,85,85,85,85,85,85,85,85,85,85
VCC_PCORE_ICCMAX_RAW_PERF,string,216,216,216,216,216,216,216,216,216,216,216,216,216
VCC_LP_E_CORE_TOB,string,,,,,,,,,,,,,
VCC_LP_E_CORE_RIPPLE_MAX,string,,,,,,,,,,,,,
VCC_LP_E_CORE_PCODE_MAX_VID,string,,,,,,,,,,,,,
VCC_LP_E_CORE_LOAD_LINE_DC_PERF,string,,,,,,,,,,,,,
VCC_LP_E_CORE_LOAD_LINE_AC_PERF,string,,,,,,,,,,,,,
VCC_LP_E_CORE_ICCMAX_RAW_PERF,string,,,,,,,,,,,,,
TDP_NOMINAL_BASE_POWER_TDP_PL1,string,65,65,65,65,65,65,65,65,65,65,65,65,65
PRODUCT_NAME_SEGMENT,string,S,S,S,S,S,S,S,S,S,S,S,S,S
PD_INDEX_EDS,string,7,7,7,7,7,7,7,7,7,7,7,7,7
PD_INDEX_CHK,string,PD Index Full Match,PD Index Full Match,PD Index Full Match,PD Index Full Match,PD Index Full Match,PD Index Full Match,PD Index Full Match,PD Index Full Match,PD Index Full Match,PD Index Full Match,PD Index Full Match,PD Index Full Match,PD Index Full Match
FUNCTIONAL_P_CORE_AMOUNT,string,4,4,4,4,4,4,4,4,4,4,4,4,4
FUNCTIONAL_LP_E_CORE_AMOUNT,string,4,4,4,4,4,4,4,4,4,4,4,4,4
FUNCTIONAL_E_CORE_AMOUNT,string,4,8,8,8,8,8,8,8,8,4,4,4,8
WJA_UOM,string,C/W,C/W,C/W,C/W,C/W,C/W,C/W,C/W,C/W,C/W,C/W,C/W,C/W
WJA,string,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39
weightUom,string,LB,LB,LB,LB,LB,LB,LB,LB,LB,LB,LB,LB,LB
VPU_TILE_CONFIG,string,4,4,4,4,4,4,3,4,4,4,3,4,4
VPU_FMAX,string,2.15,2.25,2.5,2.15,2.25,2.15,2.15,2.25,2.15,2.15,2.15,2.15,2.15
VMD,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
VIRTUAL_HOSTED_DESKTOP_IND,string,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED
VIRTL_TECH_CD,string,"VT-X, VT-D, HLAT","VT-X, VT-D, HLAT","VT-X, VT-D, HLAT","VT-X, VT-D, HLAT","VT-X, VT-D, HLAT","VT-X, VT-D, HLAT","VT-X, VT-D, HLAT","VT-X, VT-D, HLAT","VT-X, VT-D, HLAT","VT-X, VT-D, HLAT","VT-X, VT-D, HLAT","VT-X, VT-D, HLAT","VT-X, VT-D, HLAT"
VIRTL_MCHN_CTRL_STRC_SHDW_IND,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
userItemType,string,Finished Good,Finished Good,Finished Good,Finished Good,Finished Good,Finished Good,Finished Good,Finished Good,Finished Good,Finished Good,Finished Good,Finished Good,Finished Good
USBC_PORTS,string,2,2,2,2,2,2,2,2,2,2,2,2,2
UFS_DID_0,string,0,0,0,0,0,0,0,0,0,0,0,0,0
TYPE_C_PORT_4,string,DP_ONLY,,,DP_ONLY,,,,,DP_ONLY,DP_ONLY,,,
TYPE_C_PORT_3,string,DP_ONLY,,,DP_ONLY,,,,,DP_ONLY,DP_ONLY,,,
TYPE_C_PORT_2,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
TYPE_C_PORT_1,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
TURBO_SMALL_CORE_FREQ_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
TURBO_MAX_3_IND,string,DISABLED,DISABLED,2_CORE,2_CORE,DISABLED,2_CORE,DISABLED,2_CORE,2_CORE,DISABLED,DISABLED,DISABLED,DISABLED
TURBO_MAX_3_FREQ,string,4.4,4.6,4.9,4.6,4.8,4.6,4.4,4.7,4.6,4.4,4.4,4.5,4.6
TURBO_FREQ_UNLOCKE_IND,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
TURBO_CORE_FREQ_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
TURBO_9_SMALL_CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0,0,0,0,0
TURBO_9_CORE_FREQUENCY_RATE,string,0,0,0,0,0,0,0,0,0,0,0,0,0
TURBO_8_SMALL_CORE_FREQ_RATE,string,0,3.7,3.9,3.6,3.8,3.5,3.4,3.7,3.6,0,0,0,3.7
TURBO_8_CORE_FREQ_RTE,string,0,0,0,0,0,0,0,0,0,0,0,0,0
TURBO_7_SMALL_CORE_FREQ_RATE,string,0,3.7,3.9,3.6,3.8,3.5,3.4,3.7,3.6,0,0,0,3.7
TURBO_7_CORE_FREQ_RTE,string,0,0,0,0,0,0,0,0,0,0,0,0,0
TURBO_6_SMALL_CORE_FREQ_RATE,string,0,3.7,3.9,3.6,3.8,3.5,3.4,3.7,3.6,0,0,0,3.7
TURBO_6_CORE_FREQ_RTE,string,0,0,0,0,0,0,0,0,0,0,0,0,0
TURBO_5_SMALL_CORE_FREQ_RATE,string,0,3.7,3.9,3.6,3.8,3.5,3.4,3.7,3.6,0,0,0,3.7
TURBO_5_CORE_FREQ_RTE,string,0,0,0,0,0,0,0,0,0,0,0,0,0
TURBO_4_SMALL_CORE_FREQ_RATE,string,3.5,3.7,3.9,3.6,3.8,3.5,3.4,3.7,3.6,3.5,3.4,3.6,3.7
TURBO_4_CORE_FREQ_RTE,string,4.4,4.6,4.8,4.5,4.6,4.5,4.4,4.6,4.5,4.4,4.4,4.5,4.6
TURBO_32_SMALL_CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0,0,0,0,0
TURBO_31_SMALL_CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0,0,0,0,0
TURBO_30_SMALL_CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0,0,0,0,0
TURBO_3_SMALL_CORE_FREQ_RATE,string,3.5,3.7,3.9,3.6,3.8,3.5,3.4,3.7,3.6,3.5,3.4,3.6,3.7
TURBO_3_CORE_FREQ_RTE,string,4.4,4.6,4.8,4.5,4.6,4.5,4.4,4.6,4.5,4.4,4.4,4.5,4.6
TURBO_29_SMALL_CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0,0,0,0,0
TURBO_28_SMALL_CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0,0,0,0,0
TURBO_27_SMALL_CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0,0,0,0,0
TURBO_26_SMALL_CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0,0,0,0,0
TURBO_25_SMALL_CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0,0,0,0,0
TURBO_24_SMALL_CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0,0,0,0,0
TURBO_23_SMALL_CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0,0,0,0,0
TURBO_22_SMALL_CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0,0,0,0,0
TURBO_21_SMALL_CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0,0,0,0,0
TURBO_20_SMALL_CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0,0,0,0,0
TURBO_2_SMALL_CORE_FREQ_RATE,string,3.5,3.7,3.9,3.6,3.8,3.5,3.4,3.7,3.6,3.5,3.4,3.6,3.7
TURBO_2_CORE_FREQ_RTE,string,4.4,4.6,4.8,4.5,4.8,4.5,4.4,4.6,4.5,4.4,4.4,4.5,4.6
TURBO_19_SMALL_CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0,0,0,0,0
TURBO_18_SMALL_CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0,0,0,0,0
TURBO_17_SMALL_CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0,0,0,0,0
TURBO_16_SMALL_CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0,0,0,0,0
TURBO_16_CORE_FREQUENCY_RATE,string,0,0,0,0,0,0,0,0,0,0,0,0,0
TURBO_15_SMALL_CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0,0,0,0,0
TURBO_15_CORE_FREQUENCY_RATE,string,0,0,0,0,0,0,0,0,0,0,0,0,0
TURBO_14_SMALL_CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0,0,0,0,0
TURBO_14_CORE_FREQUENCY_RATE,string,0,0,0,0,0,0,0,0,0,0,0,0,0
TURBO_13_SMALL_CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0,0,0,0,0
TURBO_13_CORE_FREQUENCY_RATE,string,0,0,0,0,0,0,0,0,0,0,0,0,0
TURBO_12_SMALL_CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0,0,0,0,0
TURBO_12_CORE_FREQUENCY_RATE,string,0,0,0,0,0,0,0,0,0,0,0,0,0
TURBO_11_SMALL_CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0,0,0,0,0
TURBO_11_CORE_FREQUENCY_RATE,string,0,0,0,0,0,0,0,0,0,0,0,0,0
TURBO_10_SMALL_CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0,0,0,0,0
TURBO_10_CORE_FREQUENCY_RATE,string,0,0,0,0,0,0,0,0,0,0,0,0,0
TUNABLE_THERMAL_DESIGN_PWR_IND,string,DOWN,DOWN,DOWN,DOWN,DOWN,DOWN,DOWN,DOWN,DOWN,DOWN,DOWN,DOWN,DOWN
TRNS_SYNCH_EXTENSION_HLE_IND,string,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED
TOTAL_STORAGE_ENCRYPTION_TSE,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
TOTAL_PACKAGE_PCIE_LANES,string,24,24,24,24,24,24,24,24,24,24,24,24,24
TOTAL_MLC_UOM,string,MB,MB,MB,MB,MB,MB,MB,MB,MB,MB,MB,MB,MB
TOTAL_MLC,string,12,20,20,16,20,20,20,20,16,12,20,20,20
TOTAL_MEMORY_ENCRYPTION_IND,string,MKTME_EN_16KEYS,MKTME_EN_16KEYS,MKTME_EN_16KEYS,MKTME_EN_16KEYS,MKTME_EN_16KEYS,MKTME_EN_16KEYS,MKTME_EN_16KEYS,MKTME_EN_16KEYS,MKTME_EN_16KEYS,MKTME_EN_16KEYS,MKTME_EN_16KEYS,MKTME_EN_16KEYS,MKTME_EN_16KEYS
TIME_COORD_COMP,string,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED
THUNDERBOLT_IND,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
