Attribute,DataType,L2J9,L2JA,L2PM,L2KQ,L2OH,L2JB,L2I3,L2OI,L2LM,L2JC
BASE_CLOCK_MAX_MHZ_RATE,string,100,100,100,100,100,100,100,100,100,100
ANTI_MALWARE_BOOST_IND,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
ALL_CORE_TURBO_FREQ_SMALL_CORE_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
ALL_CORE_TURBO_FREQ_SMALL_CORE,string,0,3.7,0,3.7,0,0,0,3.6,0,0
ALL_CORE_TURBO_FREQ_RATE,string,4.7,0,4.7,0,4.6,4.5,4.7,0,4.5,4.4
AES_INSTR_SET_IND,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
ACE_SILICON_SKU_ID,string,0,0,0,0,0,0,0,0,0,0
IS_ENABLED,string,true,true,true,true,true,true,true,true,true,true
VCCSA_VOLTAGE,string,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52
VCCSA_TOB,string,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
VCCSA_RIPPLE_MAX,string,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015
VCCSA_PCODE_MAX_VID,string,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52
VCCSA_LOAD_LINE_DC_PERF,string,3.8,3.8,3.1,3.8,3.1,3.8,3.8,3.1,3.8,3.8
VCCSA_LOAD_LINE_AC_PERF,string,3.8,3.8,3.1,3.8,3.1,3.8,3.8,3.1,3.8,3.8
VCCSA_IPL2_TDC_PERF,string,33,33,56,33,56,33,33,56,33,33
VCCSA_ICCMAX_RAW_PERF,string,99,99,84,99,84,99,99,84,99,99
VCCGT_TOB,string,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
VCCGT_RIPPLE_MAX,string,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015
VCCGT_PCODE_MAX_VID,string,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52
VCCGT_LOAD_LINE_DC_PERF,string,0,0,0,0,0,0,0,0,0,0
VCCGT_LOAD_LINE_AC_PERF,string,5.0,5.0,4.5,5.0,4.5,5.0,5.0,4.5,5.0,5.0
VCCGT_ICCMAX_RAW_PERF,string,40,40,32,40,32,40,40,32,40,40
VCC_PCORE_VOLTAGE,string,1.77,1.77,1.77,1.77,1.77,1.77,1.77,1.77,1.77,1.77
VCC_PCORE_TOB,string,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
VCC_PCORE_RIPPLE_MAX,string,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015
VCC_PCORE_PL4_PERF,string,277,277,390,277,390,277,277,203,277,277
VCC_PCORE_PL2_PERF,string,123,123,187,123,187,119,123,107,123,119
