Component,Attribute,DataType,GT_0.5,P1_AR,ALL_1,SA_0P5,SA_0P1
CCF,WC_AR,string,999,"Math.Min(1,({THIS::CCF<<INDEX@string>>::AR@double}/0.8))",1,999,
CCF,AR,string,999,0.206,1,999,
SAREST,AR,string,999,0.06,1,0.5,
SAREST,WC_AR,string,999,1,1,1,1
CCLK,AR,string,999,0.128,1,0.5,
CCLK,WC_AR,string,999,"Math.Min({AR@double}*1.4,1)",1,{NA::VCCSA::C_SA_CEP@double},{NA::VCCSA::C_SA_CEP@double}
IOCCLK,AR,string,999,0.1,1,0.5,
IOCCLK,WC_AR,string,999,"Math.Min({AR@double}*1.4,1)",1,{NA::VCCSA::C_SA_CEP@double},{NA::VCCSA::C_SA_CEP@double}
NCLK,AR,string,999,0.319,1,0.5,
NCLK,WC_AR,string,999,"Math.Min({AR@double}*1.4,1)",1,{NA::VCCSA::C_SA_CEP@double},{NA::VCCSA::C_SA_CEP@double}
QCLK,AR,string,999,0.583,1,0.5,
QCLK,WC_AR,string,999,1,1,1,1
AT,AR,string,999,0.522,1,999,
AT,WC_AR,string,999,"Math.Min(1,({THIS::AT<<INDEX@string>>::AR@double}/0.8))",1,999,
ATSRAM,AR,string,999,0.522,1,999,
ATSRAM,WC_AR,string,999,1,1,999,
DE,AR,string,999,0.215,1,0.5,
DE,WC_AR,string,999,1,1,1,1
DESRAM,AR,string,999,0.215,1,0.5,
DESRAM,WC_AR,string,999,1,1,1,1
GT,AR,string,0.5,0.402,1,999,
GT,WC_AR,string,1,1,1,999,
IA,AR,string,999,0.629,1,999,
IA,WC_AR,string,999,"Math.Min(1,({THIS::IA<<INDEX@string>>::AR@double}/0.8))",1,999,
LPATOM,AR,string,999,0.426,1,0.5,
LPATOM,WC_AR,string,999,"Math.Min({AR@double}*1.4,1)",1,{NA::VCCSA::C_SA_CEP@double},{NA::VCCSA::C_SA_CEP@double}
LPATSRAM,AR,string,999,0.426,1,0.5,
LPATSRAM,WC_AR,string,999,1,1,1,1
MEDIA,AR,string,999,999,1,0.5,
MEDIA,WC_AR,string,999,999,1,{NA::VCCSA::C_SA_CEP@double},{NA::VCCSA::C_SA_CEP@double}
MEDIASRAM,AR,string,999,999,1,0.5,
MEDIASRAM,WC_AR,string,999,999,1,1,1
NPU,AR,string,999,999,1,0.5,
NPU,WC_AR,string,999,999,1,{NA::VCCSA::C_SA_CEP@double},{NA::VCCSA::C_SA_CEP@double}
NPUSRAM,AR,string,999,999,1,0.5,
NPUSRAM,WC_AR,string,999,999,1,1,1
CCFSRAM,WC_AR,string,999,1,1,999,
CCFSRAM,AR,string,999,0.206,1,999,
IPU,AR,string,999,999,1,0.5,
IPU,WC_AR,string,999,999,1,{NA::VCCSA::C_SA_CEP@double},{NA::VCCSA::C_SA_CEP@double}
