Component,Attribute,DataType,TJMAX,COLD,ROOM,TEMP_100,TVB,P1
SAREST,TTARGET,string,100,-5,20,100,{NA::LI::THERMAL_TURBO_TEMP@double},100
CCLK,TTARGET,string,100,-5,20,100,{NA::LI::THERMAL_TURBO_TEMP@double},100
IOCCLK,TTARGET,string,100,-5,20,100,{NA::LI::THERMAL_TURBO_TEMP@double},100
NCLK,TTARGET,string,100,-5,20,100,{NA::LI::THERMAL_TURBO_TEMP@double},100
QCLK,TTARGET,string,100,-5,20,100,{NA::LI::THERMAL_TURBO_TEMP@double},100
AT,TTARGET,string,100,-5,20,100,{NA::LI::THERMAL_TURBO_TEMP@double},100
ATSRAM,TTARGET,string,100,-5,20,100,{NA::LI::THERMAL_TURBO_TEMP@double},100
DE,TTARGET,string,100,-5,20,100,{NA::LI::THERMAL_TURBO_TEMP@double},100
DESRAM,TTARGET,string,100,-5,20,100,{NA::LI::THERMAL_TURBO_TEMP@double},100
GT,TTARGET,string,100,-5,20,100,{NA::LI::THERMAL_TURBO_TEMP@double},100
IA,TTARGET,string,100,-5,20,100,{NA::LI::THERMAL_TURBO_TEMP@double},100
LPATOM,TTARGET,string,100,-5,20,100,{NA::LI::THERMAL_TURBO_TEMP@double},100
LPATSRAM,TTARGET,string,100,-5,20,100,{NA::LI::THERMAL_TURBO_TEMP@double},100
MEDIA,TTARGET,string,100,-5,20,100,{NA::LI::THERMAL_TURBO_TEMP@double},100
MEDIASRAM,TTARGET,string,100,-5,20,100,{NA::LI::THERMAL_TURBO_TEMP@double},100
NPU,TTARGET,string,100,-5,20,100,{NA::LI::THERMAL_TURBO_TEMP@double},100
NPUSRAM,TTARGET,string,100,-5,20,100,{NA::LI::THERMAL_TURBO_TEMP@double},100
CCF,TTARGET,string,100,-5,20,100,{NA::LI::THERMAL_TURBO_TEMP@double},100
CCFSRAM,TTARGET,string,100,-5,20,100,{NA::LI::THERMAL_TURBO_TEMP@double},100
IPU,TTARGET,string,100,-5,20,100,{NA::LI::THERMAL_TURBO_TEMP@double},100
