SCENARIO_NAME,ENABLES,TEMPERATURES,PWR_ICC_VREL_LIMITS,FREQUENCIES,AR,DYN_STATIC_RATIO,PCPS_NUM,OTHER_PWR,SCEN_MODE,ISOVOLT,VCCSA_LL,SAQG2_ENABLE
IAP01,IAP0,TJMAX,VRELMAX_ICCMAX,IAP01,ALL_1,OFF,1MODULE,ZERO,IAP01,OFF,POR,G4
IAP02,IAP0,TJMAX,VRELMAX_ICCMAX,IAP02,ALL_1,OFF,2MODULE,ZERO,IAP02,CCFFREQ_IAVOLT,POR,G4
IAP03,IAP0,TJMAX,VRELMAX_ICCMAX,IAP03,ALL_1,OFF,3MODULE,ZERO,IAP03,CCFFREQ_IAVOLT,POR,G4
IAP04,IAP0,TJMAX,VRELMAX_ICCMAX,IAP04,ALL_1,OFF,4MODULE,ZERO,IAP04,CCFFREQ_IAVOLT,POR,G4
ATP01,ATP0,TJMAX,VRELMAX_ICCMAX,ATP01,ALL_1,OFF,1MODULE,ZERO,ATP01,CCFFREQ_ATOMVOLT,POR,G4
ATP02,ATP0,TJMAX,VRELMAX_ICCMAX,ATP02,ALL_1,OFF,2MODULE,ZERO,ATP02,CCFFREQ_ATOMVOLT,POR,G4
ATP03,ATP0,TJMAX,VRELMAX_ICCMAX,ATP03,ALL_1,OFF,3MODULE,ZERO,ATP03,CCFFREQ_ATOMVOLT,POR,G4
ATP04,ATP0,TJMAX,VRELMAX_ICCMAX,ATP04,ALL_1,OFF,4MODULE,ZERO,ATP04,CCFFREQ_ATOMVOLT,POR,G4
GTP0,GTP0,TJMAX,VRELMAX_ICCMAX,GTP0,GT_0.5,OFF,DISABLE,ZERO,GTP0,OFF,POR,G4
GTP0_ICCMAX,GTP0,TJMAX,VRELMAX_ICCMAX,GTP0,ALL_1,OFF,DISABLE,ZERO,GTP0,OFF,POR,G4
P1,P1,P1,TDP,P1,P1_AR,SA_DE_2_PIPES,DISABLE,P1,ON,OFF,POR,G4
IAP05,IAP0,TJMAX,VRELMAX_ICCMAX,IAP05,ALL_1,OFF,5MODULE,ZERO,IAP05,CCFFREQ_IAVOLT,POR,G4
IAP06,IAP0,TJMAX,VRELMAX_ICCMAX,IAP06,ALL_1,OFF,6MODULE,ZERO,IAP06,CCFFREQ_IAVOLT,POR,G4
IAP07,IAP0,TJMAX,VRELMAX_ICCMAX,IAP07,ALL_1,OFF,7MODULE,ZERO,IAP07,CCFFREQ_IAVOLT,POR,G4
IAP08,IAP0,TJMAX,VRELMAX_ICCMAX,IAP08,ALL_1,OFF,8MODULE,ZERO,IAP08,CCFFREQ_IAVOLT,POR,G4
ATP05,ATP0,TJMAX,VRELMAX_ICCMAX,ATP05,ALL_1,OFF,5MODULE,ZERO,ATP05,CCFFREQ_ATOMVOLT,POR,G4
ATP06,ATP0,TJMAX,VRELMAX_ICCMAX,ATP06,ALL_1,OFF,6MODULE,ZERO,ATP06,CCFFREQ_ATOMVOLT,POR,G4
ATP07,ATP0,TJMAX,VRELMAX_ICCMAX,ATP07,ALL_1,OFF,7MODULE,ZERO,ATP07,CCFFREQ_ATOMVOLT,POR,G4
ATP08,ATP0,TJMAX,VRELMAX_ICCMAX,ATP08,ALL_1,OFF,8MODULE,ZERO,ATP08,CCFFREQ_ATOMVOLT,POR,G4
IAP01TVB,IAP0,TVB,VRELMAX_ICCMAX,IAP01TVB,ALL_1,OFF,1MODULE,ZERO,IAP01TVB,OFF,POR,G4
IAP02TVB,IAP0,TVB,VRELMAX_ICCMAX,IAP02TVB,ALL_1,OFF,2MODULE,ZERO,IAP02TVB,CCFFREQ_IAVOLT,POR,G4
IAP03TVB,IAP0,TVB,VRELMAX_ICCMAX,IAP03TVB,ALL_1,OFF,3MODULE,ZERO,IAP03TVB,CCFFREQ_IAVOLT,POR,G4
IAP04TVB,IAP0,TVB,VRELMAX_ICCMAX,IAP04TVB,ALL_1,OFF,4MODULE,ZERO,IAP04TVB,CCFFREQ_IAVOLT,POR,G4
IAP05TVB,IAP0,TVB,VRELMAX_ICCMAX,IAP05TVB,ALL_1,OFF,5MODULE,ZERO,IAP05TVB,CCFFREQ_IAVOLT,POR,G4
IAP06TVB,IAP0,TVB,VRELMAX_ICCMAX,IAP06TVB,ALL_1,OFF,6MODULE,ZERO,IAP06TVB,CCFFREQ_IAVOLT,POR,G4
IAP07TVB,IAP0,TVB,VRELMAX_ICCMAX,IAP07TVB,ALL_1,OFF,7MODULE,ZERO,IAP07TVB,CCFFREQ_IAVOLT,POR,G4
IAP08TVB,IAP0,TVB,VRELMAX_ICCMAX,IAP08TVB,ALL_1,OFF,8MODULE,ZERO,IAP08TVB,CCFFREQ_IAVOLT,POR,G4
IAP0NFCT,IAP0,TJMAX,VRELMAX_ICCMAX,IAP0NFCT,ALL_1,OFF,FCT,ZERO,IAP0NFCT,OFF,POR,G4
IAP0NFCTTVB,IAP0,TVB,VRELMAX_ICCMAX,IAP0NFCTTVB,ALL_1,OFF,FCT,ZERO,IAP0NFCTTVB,OFF,POR,G4
VCCSA_ICCMAX_PATHNPU,SA_LMPD-1111,P1,ICCMAX,SAICCMAX_DT_NPU,ALL_1,SA_DE_4_PIPES,DISABLE,ZERO,EDC,OFF,POR,G4
MIN_LATENCY_MBL,SA_LMPD-0000,P1,ICCMAX,MIN_LATENCY_MBL,SA_0P5,SA_DE_4_PIPES,DISABLE,ZERO,EDC,OFF,POR,G2
MIN_LATENCY_DT,SA_LMPD-1000,P1,ICCMAX,MIN_LATENCY_DT,SA_0P5,SA_DE_4_PIPES,DISABLE,ZERO,ON,OFF,POR,G2
GAMING_DT_HX_1,SA_LMPD-1000,P1,ICCMAX,GAMING_DT_HX_1,SA_0P5,SA_DE_1_PIPE,DISABLE,ZERO,EDC,OFF,POR,G2
GAMING_DT_PUSH,SA_LMPD-1000,P1,ICCMAX,GAMING_DT_PUSH,SA_0P5,SA_DE_1_PIPE,DISABLE,ZERO,OFF,OFF,POR,G2
CREATIVE_MBL,SA_LMPD-0101,P1,ICCMAX,CREATIVE_MBL,SA_0P5,SA_DE_1_PIPE,DISABLE,ZERO,EDC,OFF,POR,G4
CREATIVE_DT,SA_LMPD-1000,P1,ICCMAX,CREATIVE_DT,SA_0P5,SA_DE_1_PIPE,DISABLE,ZERO,EDC,OFF,POR,G4
VPU_BENCHMARKING_MBL_1,SA_LMPD-0001,P1,ICCMAX,VPU_BENCHMARKING_MBL_1,SA_0P5,SA_DE_4_PIPES,DISABLE,ZERO,EDC,OFF,POR,G4
VPU_BENCHMARKING_MBL_2,SA_LMPD-0001,P1,ICCMAX,VPU_BENCHMARKING_MBL_2,SA_0P5,SA_DE_4_PIPES,DISABLE,ZERO,EDC,OFF,POR,G4
VPU_BENCHMARKING_MBL,SA_LMPD-0001,P1,ICCMAX,VPU_BENCHMARKING_MBL,SA_0P5,SA_DE_4_PIPES,DISABLE,ZERO,EDC,OFF,POR,G2
VPU_BENCHMARKING_DT_1,SA_LMPD-1001,P1,ICCMAX,VPU_BENCHMARKING_DT_1,SA_0P5,SA_DE_4_PIPES,DISABLE,ZERO,ON,OFF,POR,G4
VPU_BENCHMARKING_DT_2,SA_LMPD-1001,P1,ICCMAX,VPU_BENCHMARKING_DT_2,SA_0P5,SA_DE_4_PIPES,DISABLE,ZERO,EDC,OFF,POR,G2
MEDIA_MAX_DT,SA_LMPD-1100,P1,ICCMAX,MEDIA_MAX_DT,SA_0P5,SA_DE_4_PIPES,DISABLE,ZERO,ON,OFF,POR,G2
MEDIA_MAX_MBL,SA_LMPD-0100,P1,ICCMAX,MEDIA_MAX_MBL,SA_0P5,SA_DE_4_PIPES,DISABLE,ZERO,EDC,OFF,POR,G4
SURVIVABILITY_MBL,SA_LMPD-0111,P1,ICCMAX,SURVIVABILITY_MBL,SA_0P5,SA_DE_4_PIPES,DISABLE,ZERO,EDC,OFF,POR,G4
SURVIVABILITY_DT,SA_LMPD-1111,P1,ICCMAX,SURVIVABILITY_DT,SA_0P5,SA_DE_4_PIPES,DISABLE,ZERO,EDC,OFF,POR,G4
LP_ATOM_FMAX_DT_1,SA_LMPD-1000,P1,ICCMAX,LP_ATOM_FMAX_DT_1,SA_0P5,SA_DE_4_PIPES,DISABLE,ZERO,EDC,OFF,POR,G2
