Attribute,DataType,L2P4,L2JZ,L2LD,L2LA,QAFJ,L2LX,L2LY,L2K0,L2LZ,L2P1,QAFH,L2LC,L2M0,L2M3,QAFL,L2P0,L2L9,L2K1,L2LW,L2K2,L2K9,L2P3,L2M5,QAFK,L2M2,QAFM,L2M1,L2JW,L2P2
PROTECT_AUDIO_VIDEO_PATH,string,DEBUG,DEBUG,DEBUG,DEBUG,DEBUG,DEBUG,DEBUG,DEBUG,DEBUG,DEBUG,DEBUG,DEBUG,DEBUG,DEBUG,DEBUG,DEBUG,DEBUG,DEBUG,DEBUG,DEBUG,DEBUG,DEBUG,DEBUG,DEBUG,DEBUG,DEBUG,DEBUG,DEBUG,DEBUG
PROCESSOR_LP_ECORE_PHYS_QTY,string,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
PROCESSOR_LP_ECORE_FUNC_QTY,string,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
primaryContact,string,10710833,10710833,10710833,10710833,11487907,10710833,10710833,10710833,10710833,10710833,11487907,10710833,10710833,10710833,11487907,10710833,10710833,10710833,10710833,10710833,10710833,10710833,10710833,11487907,10710833,11487907,10710833,10710833,10710833
PLATFORM_ID,string,0x7,0x7,0x7,0x7,0x7,0x7,0x7,0x7,0x7,0x7,0x7,0x7,0x7,0x7,0x7,0x7,0x7,0x7,0x7,0x7,0x7,0x7,0x7,0x7,0x7,0x7,0x7,0x7,0x7
PHYSICAL_SMALL_CORE,string,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
PHYSICAL_CORE,string,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
PHYSICAL_BIG_CORE,string,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
PEG_SPD_UNLOCK_IND,string,ENABLED,ENABLED,ENABLED,ENABLED,DISABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,DISABLED,ENABLED,ENABLED,ENABLED,DISABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,DISABLED,ENABLED,DISABLED,ENABLED,ENABLED,ENABLED
PD_INDEX,string,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PCSR_BASE_CD,string,80777,80777,80777,80777,80777,80777,80777,80777,80777,80777,80777,80777,80777,80777,80777,80777,80777,80777,80777,80777,80777,80777,80777,80777,80777,80777,80777,80777,80777
PCH_LPC_DID,string,D309,D309,D309,D309,D309,D309,D309,D309,D309,D309,D309,D309,D309,D309,D309,D309,D309,D309,D309,D309,D300,D309,D309,D309,D309,D309,D309,D300,D309
PCD_DIE_STEPPING,string,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0
PCD_DIE_CONFIG,string,NVL_PCD_H,NVL_PCD_H,NVL_PCD_H,NVL_PCD_H,NVL_PCD_H,NVL_PCD_H,NVL_PCD_H,NVL_PCD_H,NVL_PCD_H,NVL_PCD_H,NVL_PCD_H,NVL_PCD_H,NVL_PCD_H,NVL_PCD_H,NVL_PCD_H,NVL_PCD_H,NVL_PCD_H,NVL_PCD_H,NVL_PCD_H,NVL_PCD_H,NVL_PCD_H,NVL_PCD_H,NVL_PCD_H,NVL_PCD_H,NVL_PCD_H,NVL_PCD_H,NVL_PCD_H,NVL_PCD_H,NVL_PCD_H
parentId_Desc,string,Nova Lake HX Product,Nova Lake HX Product,Nova Lake HX Product,Nova Lake HX Product,Nova Lake HX Product,Nova Lake HX Product,Nova Lake HX Product,Nova Lake HX Product,Nova Lake HX Product,Nova Lake HX Product,Nova Lake HX Product,Nova Lake HX Product,Nova Lake HX Product,Nova Lake HX Product,Nova Lake HX Product,Nova Lake HX Product,Nova Lake HX Product,Nova Lake HX Product,Nova Lake HX Product,Nova Lake HX Product,Nova Lake HX Product,Nova Lake HX Product,Nova Lake HX Product,Nova Lake HX Product,Nova Lake HX Product,Nova Lake HX Product,Nova Lake HX Product,Nova Lake HX Product,Nova Lake HX Product
parentId,string,1000024608A,1000024608A,1000024608A,1000024608A,1000024609A,1000024608A,1000024608A,1000024608A,1000024608A,1000024608A,1000024609A,1000024608A,1000024608A,1000024608A,1000024609A,1000024608A,1000024608A,1000024608A,1000024608A,1000024608A,1000024608A,1000024608A,1000024608A,1000024609A,1000024608A,1000024609A,1000024608A,1000024608A,1000024608A
OSSEODCACRT_KeyTypeID,string,4625,4625,4625,4625,4625,4625,4625,4625,4625,4625,4625,4625,4625,4625,4625,4625,4625,4625,4625,4625,0,4625,4625,4625,4625,4625,4625,0,4625
OSSEODCA_KEYTYPEID,string,4625,4625,4625,4625,4625,4625,4625,4625,4625,4625,4625,4625,4625,4625,4625,4625,4625,4625,4625,4625,0,4625,4625,4625,4625,4625,4625,0,4625
OC_BINS,string,7,0,0,0,0,7,7,0,7,7,0,0,7,7,0,7,0,0,7,0,0,7,7,0,7,0,7,0,7
NUMBER_OF_SLICES,string,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
netWeight,string,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
NATURAL_FLOAT_IND,string,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED
MM-TRADEMARK,string,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MM-SPEED-UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
MM-SPEED-TYPE,string,CLOCK,CLOCK,CLOCK,CLOCK,CLOCK,CLOCK,CLOCK,CLOCK,CLOCK,CLOCK,CLOCK,CLOCK,CLOCK,CLOCK,CLOCK,CLOCK,CLOCK,CLOCK,CLOCK,CLOCK,CLOCK,CLOCK,CLOCK,CLOCK,CLOCK,CLOCK,CLOCK,CLOCK,CLOCK
MM-SPEED,string,2.1,2.1,1.2,2.1,2.1,2.1,2.1,2.1,2.2,2.1,2.1,2.1,2.2,2.1,2.1,2.1,2.1,2.2,2.1,2.2,1.8,2.1,2.1,2.1,2.1,2.1,2.1,1.8,2.1
MM-SPEC-NUMBER,string,2P4,2JZ,2LD,2LA,AFJ,2LX,2LY,2K0,2LZ,2P1,AFH,2LC,2M0,2M3,AFL,2P0,2L9,2K1,2LW,2K2,2K9,2P3,2M5,AFK,2M2,AFM,2M1,2JW,2P2
MM-SPEC-CODE,string,L,L,L,L,Q,L,L,L,L,L,Q,L,L,L,Q,L,L,L,L,L,L,L,L,Q,L,Q,L,L,L
MM-SHIP-MED,string,TRAY,TRAY,TRAY,TRAY,TRAY,TRAY,TRAY,TRAY,TRAY,TRAY,TRAY,TRAY,TRAY,TRAY,TRAY,TRAY,TRAY,TRAY,TRAY,TRAY,TRAY,TRAY,TRAY,TRAY,TRAY,TRAY,TRAY,TRAY,TRAY
MM-ROYALTY,string,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
MM-REV,string,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM-PROD-VISIBILITY,string,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
MM-PROD-CAT-IC,string,64BIT MPU,64BIT MPU,64BIT MPU,64BIT MPU,64BIT MPU,64BIT MPU,64BIT MPU,64BIT MPU,64BIT MPU,64BIT MPU,64BIT MPU,64BIT MPU,64BIT MPU,64BIT MPU,64BIT MPU,64BIT MPU,64BIT MPU,64BIT MPU,64BIT MPU,64BIT MPU,64BIT MPU,64BIT MPU,64BIT MPU,64BIT MPU,64BIT MPU,64BIT MPU,64BIT MPU,64BIT MPU,64BIT MPU
MM-PACKAGE-MKT-DESIGNATOR,string,AC,AC,AC,AC,AC,AC,AC,AC,AC,AC,AC,AC,AC,AC,AC,AC,AC,AC,AC,AC,AC,AC,AC,AC,AC,AC,AC,AC,AC
MM-ITEM-MARKET-NAME,string,80777061B2,80777061B2,80777061B2,80777061B2,807773B9B5917,80777061B2,80777061B2,80777061B2,80777061B2,80777061B2,807773B9B5916,80777061B2,80777061B2,80777061B2,807773B9B5919,80777061B2,80777061B2,80777061B2,80777061B2,80777061B2,80777061B2,80777061B2,80777061B2,807773B9B5915,80777061B2,807773B9B5918,80777061B2,80777061B2,80777061B2
MM-INCORP,string,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
MM-CUSTOM-IND,string,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
MM-CUST-CUSTOMER,string,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM-CPU-SLOT-TYPE,string,BGA2114,BGA2114,BGA2114,BGA2114,BGA2114,BGA2114,BGA2114,BGA2114,BGA2114,BGA2114,BGA2114,BGA2114,BGA2114,BGA2114,BGA2114,BGA2114,BGA2114,BGA2114,BGA2114,BGA2114,BGA2114,BGA2114,BGA2114,BGA2114,BGA2114,BGA2114,BGA2114,BGA2114,BGA2114
MM-CACHE-UOM,string,MB,MB,MB,MB,MB,MB,MB,MB,MB,MB,MB,MB,MB,MB,MB,MB,MB,MB,MB,MB,MB,MB,MB,MB,MB,MB,MB,MB,MB
MM-CACHE,string,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36
MM-BRANDED,string,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
MLC_SIZE_PER_CORE_UOM,string,MB,MB,MB,MB,MB,MB,MB,MB,MB,MB,MB,MB,MB,MB,MB,MB,MB,MB,MB,MB,MB,MB,MB,MB,MB,MB,MB,MB,MB
MLC_SIZE_PER_CORE,string,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
MLC_SIZE_PER_CLUSTER_UOM,string,MB,MB,MB,MB,MB,MB,MB,MB,MB,MB,MB,MB,MB,MB,MB,MB,MB,MB,MB,MB,MB,MB,MB,MB,MB,MB,MB,MB,MB
MLC_SIZE_PER_CLUSTER,string,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
MIPI_DSI_SUPPORT,string,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED
MINIMUM_IA_SMALL_CORE_FREQ,string,1.2,1.2,0,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2
MINIMUM_IA_FREQUENCY_RATE,string,1.2,1.2,0,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2
MIN_THERMAL_DESIGN_POWER_RATE,string,35,35,0,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
MIN_IA_FREQ_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
MEMORY_TYPE_SUPPORTED,string,"DDR5,LPDDR5","DDR5,LPDDR5","DDR5,LPDDR5","DDR5,LPDDR5","DDR5,LPDDR5","DDR5,LPDDR5","DDR5,LPDDR5","DDR5,LPDDR5","DDR5,LPDDR5","DDR5,LPDDR5","DDR5,LPDDR5","DDR5,LPDDR5","DDR5,LPDDR5","DDR5,LPDDR5","DDR5,LPDDR5","DDR5,LPDDR5","DDR5,LPDDR5","DDR5,LPDDR5","DDR5,LPDDR5","DDR5,LPDDR5","DDR5,LPDDR5","DDR5,LPDDR5","DDR5,LPDDR5","DDR5,LPDDR5","DDR5,LPDDR5","DDR5,LPDDR5","DDR5,LPDDR5","DDR5,LPDDR5","DDR5,LPDDR5"
MEMORY_MODULES_PER_CHANNEL,string,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
MEMORY_MAX_QCLK_MHZ,string,3200,3600,3200,3200,3600,3600,3200,3200,3600,3600,3600,3200,3200,3200,3200,3600,3600,3600,4000,3200,3200,3600,4000,3600,3200,3200,3600,3200,3200
MEMORY_CHANNELS,string,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
MEMORY_CAPACITY_UOM,string,GB,GB,GB,GB,GB,GB,GB,GB,GB,GB,GB,GB,GB,GB,GB,GB,GB,GB,GB,GB,GB,GB,GB,GB,GB,GB,GB,GB,GB
MEMORY_CAPACITY,string,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256
MEM1_CAPACITY,string,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEM_FREQ_UOM,string,MHZ,MHZ,MHZ,MHZ,MHZ,MHZ,MHZ,MHZ,MHZ,MHZ,MHZ,MHZ,MHZ,MHZ,MHZ,MHZ,MHZ,MHZ,MHZ,MHZ,MHZ,MHZ,MHZ,MHZ,MHZ,MHZ,MHZ,MHZ,MHZ
MEM_BUS_SPD_UNLOCK_IND,string,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED
MEDIA_VEBOX,string,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MEDIA_VDBOXES,string,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MEDIA_SFC_INDICATOR,string,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MEDIA_MAX_TURBO_FREQ_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
MEDIA_MAX_TURBO_FREQ,string,1.35,1.45,1.45,1.45,1.35,1.45,1.45,1.45,1.45,1.35,1.35,1.45,1.45,1.45,1.35,1.35,1.45,1.45,1.45,1.45,1.45,1.35,1.45,1.35,1.45,1.35,1.45,1.45,1.35
MEDIA_LFM_FREQ_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
MEDIA_LFM_FREQ,string,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
MEDIA_HFM_FREQ_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
MEDIA_HFM_FREQ,string,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05
MAXIMUM_IA_SMALL_CORE_FREQ,string,2.1,2.1,0,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,1.8,2.1,2.1,2.1,2.1,2.1,2.1,1.8,2.1
MAXIMUM_IA_FREQUENCY_RATE,string,2.5,2.5,0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.2,2.5,2.5,2.5,2.5,2.5,2.5,2.2,2.5
MAX_USB2_LANES,string,8,10,10,10,8,10,10,10,10,8,8,10,10,10,8,8,10,10,10,10,10,8,10,8,10,8,10,10,8
MAX_USB_R_LANES,string,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
MAX_TURBO_FREQ_UOM_CD,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
MAX_TURBO_FREQ_RTE,string,4.5,4.7,4,4.7,4.6,4.7,4.7,4.7,4.5,4.7,4.7,4.5,4.5,4.5,4.7,4.8,4.7,4.5,4.9,4.5,4.6,4.6,4.9,4.8,4.7,4.5,4.7,4.6,4.7
MAX_TRGT_SCKT_CD,string,1S,1S,1S,1S,1S,1S,1S,1S,1S,1S,1S,1S,1S,1S,1S,1S,1S,1S,1S,1S,1S,1S,1S,1S,1S,1S,1S,1S,1S
MAX_THRD_PER_PCSR_CNT,string,24,28,24,28,24,28,28,28,24,28,28,24,24,24,28,28,28,24,28,24,28,24,28,28,28,24,28,28,28
MAX_THERMAL_TURBO_FREQUENCY,string,4.4,4.6,3.9,4.6,4.5,4.6,4.6,4.6,4.4,4.6,4.6,4.4,4.4,4.4,4.6,4.7,4.6,4.4,4.8,4.4,4.5,4.5,4.8,4.7,4.6,4.4,4.6,4.5,4.6
MAX_THERMAL_DESIGN_POWER_RATE,string,85,85,0,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85
MAX_TEMP_TURBO_8CORE_FREQ_RATE,string,4.4,4.6,0,4.6,4.5,4.6,4.6,4.6,4.4,4.6,4.6,4.4,4.4,4.4,4.6,4.7,4.6,4.4,4.8,4.4,4.5,4.5,4.8,4.7,4.6,4.4,4.6,4.5,4.6
MAX_TEMP_TURBO_7CORE_FREQ_RATE,string,4.4,4.6,0,4.6,4.5,4.6,4.6,4.6,4.4,4.6,4.6,4.4,4.4,4.4,4.6,4.7,4.6,4.4,4.8,4.4,4.5,4.5,4.8,4.7,4.6,4.4,4.6,4.5,4.6
MAX_TEMP_TURBO_6CORE_FREQ_RATE,string,4.4,4.6,0,4.6,4.5,4.6,4.6,4.6,4.4,4.6,4.6,4.4,4.4,4.4,4.6,4.7,4.6,4.4,4.8,4.4,4.5,4.5,4.8,4.7,4.6,4.4,4.6,4.5,4.6
MAX_TEMP_TURBO_5CORE_FREQ_RATE,string,4.4,4.6,0,4.6,4.5,4.6,4.6,4.6,4.4,4.6,4.6,4.4,4.4,4.4,4.6,4.7,4.6,4.4,4.8,4.4,4.5,4.5,4.8,4.7,4.6,4.4,4.6,4.5,4.6
MAX_TEMP_TURBO_4CORE_FREQ_RATE,string,4.4,4.6,3.9,4.6,4.5,4.6,4.6,4.6,4.4,4.6,4.6,4.4,4.4,4.4,4.6,4.7,4.6,4.4,4.8,4.4,4.5,4.5,4.8,4.7,4.6,4.4,4.6,4.5,4.6
MAX_TEMP_TURBO_3CORE_FREQ_RATE,string,4.4,4.6,3.9,4.6,4.5,4.6,4.6,4.6,4.4,4.6,4.6,4.4,4.4,4.4,4.6,4.7,4.6,4.4,4.8,4.4,4.5,4.5,4.8,4.7,4.6,4.4,4.6,4.5,4.6
MAX_TEMP_TURBO_2CORE_FREQ_RATE,string,4.4,4.6,3.9,4.6,4.5,4.6,4.6,4.6,4.4,4.6,4.6,4.4,4.4,4.4,4.6,4.7,4.6,4.4,4.8,4.4,4.5,4.5,4.8,4.7,4.6,4.4,4.6,4.5,4.6
MAX_TEMP_MAX_TURBO_FREQ_RATE_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
MAX_TEMP_MAX_TURBO_FREQ_RATE,string,4.4,4.6,3.9,4.6,4.5,4.6,4.6,4.6,4.4,4.6,4.6,4.4,4.4,4.4,4.6,4.7,4.6,4.4,4.8,4.4,4.5,4.5,4.8,4.7,4.6,4.4,4.6,4.5,4.6
MAX_SOUNDWIRE_INTERFACES,string,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
MAX_PEG_LANE_CNT,string,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
MAX_PCIE_SPEED_CONTROLLER_E,string,GEN_5,GEN_5,GEN_5,GEN_5,GEN_5,GEN_5,GEN_5,GEN_5,GEN_5,GEN_5,GEN_5,GEN_5,GEN_5,GEN_5,GEN_5,GEN_5,GEN_5,GEN_5,GEN_5,GEN_5,GEN_5,GEN_5,GEN_5,GEN_5,GEN_5,GEN_5,GEN_5,GEN_5,GEN_5
MAX_PCIE_SPEED_CONTROLLER_D,string,GEN_5,GEN_5,GEN_5,GEN_5,GEN_5,GEN_5,GEN_5,GEN_5,GEN_5,GEN_5,GEN_5,GEN_5,GEN_5,GEN_5,GEN_5,GEN_5,GEN_5,GEN_5,GEN_5,GEN_5,GEN_5,GEN_5,GEN_5,GEN_5,GEN_5,GEN_5,GEN_5,GEN_5,GEN_5
MAX_PCIE_SPEED_CONTROLLER_C,string,GEN_5,GEN_5,GEN_5,GEN_5,GEN_5,GEN_5,GEN_5,GEN_5,GEN_5,GEN_5,GEN_5,GEN_5,GEN_5,GEN_5,GEN_5,GEN_5,GEN_5,GEN_5,GEN_5,GEN_5,GEN_5,GEN_5,GEN_5,GEN_5,GEN_5,GEN_5,GEN_5,GEN_5,GEN_5
