Component,Attribute,DataType,GT_0.5,P1_AR,ALL_1,SA_0P5,P1_CB24_AR
CCF,WC_AR,string,999,1,1,999,1
CCF,AR,string,999,0.22,1,999,0.2
SAREST,AR,string,0.5,0.06,1,0.5,0.06
SAREST,WC_AR,string,1,1,1,"Math.Min({AR@double}*1.4,1)",1
CCLK,AR,string,0.5,0.12,1,0.5,0.25
CCLK,WC_AR,string,1,1,1,"Math.Min({AR@double}*1.4,1)",1
IOCCLK,AR,string,0.5,0.1,1,0.5,0.1
IOCCLK,WC_AR,string,1,1,1,"Math.Min({AR@double}*1.4,1)",1
NCLK,AR,string,0.5,0.3,1,0.5,0.3
NCLK,WC_AR,string,1,1,1,"Math.Min({AR@double}*1.4,1)",1
QCLK,AR,string,0.5,0.583,1,0.5,0.3
QCLK,WC_AR,string,1,1,1,1,1
AT,AR,string,999,0.45,1,999,0.27
AT,WC_AR,string,999,"Math.Min({AR@double}*1.4,1)",1,999,"Math.Min({AR@double}*1.4,1)"
ATSRAM,AR,string,999,0.45,1,999,0.27
ATSRAM,WC_AR,string,999,1,1,999,1
DE,AR,string,0.5,0.22,1,0.5,0.22
DE,WC_AR,string,1,1,1,1,1
DESRAM,AR,string,0.5,0.22,1,0.5,0.22
DESRAM,WC_AR,string,1,1,1,1,1
GT,AR,string,0.5,0.402,1,999,0.01
GT,WC_AR,string,1,1,1,999,1
IA,AR,string,999,0.53,1,999,0.4
IA,WC_AR,string,999,"Math.Min({AR@double}*1.4,1)",1,999,"Math.Min({AR@double}*1.4,1)"
LPATOM,AR,string,0.5,0.4,1,0.5,0.33
LPATOM,WC_AR,string,1,1,1,"Math.Min({AR@double}*1.4,1)",1
LPATSRAM,AR,string,0.5,0.4,1,0.5,0.33
LPATSRAM,WC_AR,string,1,1,1,"Math.Min({AR@double}*1.4,1)",1
MEDIA,AR,string,0.5,999,1,0.5,999
MEDIA,WC_AR,string,1,999,1,"Math.Min({AR@double}*1.4,1)",999
MEDIASRAM,AR,string,0.5,999,1,0.5,999
MEDIASRAM,WC_AR,string,1,999,1,"Math.Min({AR@double}*1.4,1)",999
NPU,AR,string,0.5,999,1,0.5,999
NPU,WC_AR,string,1,999,1,"Math.Min({AR@double}*1.4,1)",999
NPUSRAM,AR,string,0.5,999,1,0.5,999
NPUSRAM,WC_AR,string,1,999,1,"Math.Min({AR@double}*1.4,1)",999
CCFSRAM,WC_AR,string,999,1,1,999,1
CCFSRAM,AR,string,999,1,1,999,0.2
IPU,AR,string,0.5,999,1,0.5,999
IPU,WC_AR,string,1,999,1,"Math.Min({AR@double}*1.4,1)",999
LPATOMb,AR,string,0.5,0.4,1,0.5,0.33
LPATOMb,WC_AR,string,1,1,1,"Math.Min({AR@double}*1.4,1)",1
