Component,Attribute,DataType,NO_LIMIT,VRELMAX_ICCMAX,VRELMAX,ICCMAX,TDP,TDPUP,TDPDN
VNNAON,ICC_LIMIT,string,999,999,999,999,999,999,999
VCCSA,ICC_LIMIT,string,999,{NA::LI::VCCSA_ICCMAX_RAW_PERF@double},999,{NA::LI::VCCSA_ICCMAX_RAW_PERF@double},999,999,999
VCCIA,ICC_LIMIT,string,999,{NA::LI::VCC_PCORE_ICCMAX_RAW_PERF@double},999,{NA::LI::VCC_PCORE_ICCMAX_RAW_PERF@double},999,999,999
VCCGT,ICC_LIMIT,string,999,{NA::LI::VCCGT_ICCMAX_RAW_PERF@double},999,{NA::LI::VCCGT_ICCMAX_RAW_PERF@double},999,999,999
PKG,PWR_LIMIT,string,999,999,999,999,{NA::LI::THERMAL_DESIGN_POWER@double},{NA::LI::MAX_THERMAL_DESIGN_POWER_RATE@double},{NA::LI::MIN_THERMAL_DESIGN_POWER_RATE@double}
SRAMdom,VRELMAX,string,999,0.77,0.77,999,999,999,999
SAdom,VRELMAX,string,999,1.15,1.15,999,999,999,999
GTdom,VRELMAX,string,999,"Utils.IF({NA::LI::FUNCTIONAL_EXECUTION_UNIT_QTY@double}<=64, 1.1)","Utils.IF({NA::LI::FUNCTIONAL_EXECUTION_UNIT_QTY@double}<=64, 1.1)",999,999,999,999
IAdom,VRELMAX,string,999,"Utils.SWITCH({NA::PKG::C_CDIE_CONFIG@string}, (''NVL_CPU_816_1278'', 1.1), (''NVL_CPU_816_N2P'', 1.25))","Utils.SWITCH({NA::PKG::C_CDIE_CONFIG@string}, (''NVL_CPU_816_1278'', 1.1), (''NVL_CPU_816_N2P'', 1.25))",999,999,999,999
ATOMdom,VRELMAX,string,999,"Utils.SWITCH({NA::PKG::C_CDIE_CONFIG@string}, (''NVL_CPU_816_1278'', 1.1), (''NVL_CPU_816_N2P'', 1.2))","Utils.SWITCH({NA::PKG::C_CDIE_CONFIG@string}, (''NVL_CPU_816_1278'', 1.1), (''NVL_CPU_816_N2P'', 1.2))",999,999,999,999
CCFdom,VRELMAX,string,999,"Utils.SWITCH({NA::PKG::C_CDIE_CONFIG@string}, (''NVL_CPU_816_1278'', 1.1), (''NVL_CPU_816_N2P'', 1.2))","Utils.SWITCH({NA::PKG::C_CDIE_CONFIG@string}, (''NVL_CPU_816_1278'', 1.1), (''NVL_CPU_816_N2P'', 1.2))",999,999,999,999
VCCLPCORE,ICC_LIMIT,string,999,{NA::LI::VCC_LP_E_CORE_ICCMAX_RAW_PERF@double},999,{NA::LI::VCC_LP_E_CORE_ICCMAX_RAW_PERF@double},999,999,999
LPATdom,VRELMAX,string,999,1.15,1.15,999,999,999,999
