Component,Attribute,DataType,TJMAX,COLD,ROOM,TEMP_100,TVB,P1
SAREST,TTARGET,System.String,{NA::LI::HUB_DIE_TJMAX_DO_NOT_EXCEED@double},-5,20,100,{NA::LI::THERMAL_TURBO_TEMP@double},100
CCLK,TTARGET,System.String,{NA::LI::HUB_DIE_TJMAX_DO_NOT_EXCEED@double},-5,20,100,{NA::LI::THERMAL_TURBO_TEMP@double},100
IOCCLK,TTARGET,System.String,{NA::LI::HUB_DIE_TJMAX_DO_NOT_EXCEED@double},-5,20,100,{NA::LI::THERMAL_TURBO_TEMP@double},100
NCLK,TTARGET,System.String,{NA::LI::HUB_DIE_TJMAX_DO_NOT_EXCEED@double},-5,20,100,{NA::LI::THERMAL_TURBO_TEMP@double},100
QCLK,TTARGET,System.String,{NA::LI::HUB_DIE_TJMAX_DO_NOT_EXCEED@double},-5,20,100,{NA::LI::THERMAL_TURBO_TEMP@double},100
AT,TTARGET,System.String,{NA::LI::CPU_DIE_TJMAX_DO_NOT_EXCEED@double},-5,20,100,{NA::LI::THERMAL_TURBO_TEMP@double},100
ATSRAM,TTARGET,System.String,{NA::LI::CPU_DIE_TJMAX_DO_NOT_EXCEED@double},-5,20,100,{NA::LI::THERMAL_TURBO_TEMP@double},100
DE,TTARGET,System.String,{NA::LI::HUB_DIE_TJMAX_DO_NOT_EXCEED@double},-5,20,100,{NA::LI::THERMAL_TURBO_TEMP@double},100
DESRAM,TTARGET,System.String,{NA::LI::HUB_DIE_TJMAX_DO_NOT_EXCEED@double},-5,20,100,{NA::LI::THERMAL_TURBO_TEMP@double},100
GT,TTARGET,System.String,{NA::LI::GCD_DIE_TJMAX_DO_NOT_EXCEED@double},-5,20,100,{NA::LI::THERMAL_TURBO_TEMP@double},100
IA,TTARGET,System.String,{NA::LI::CPU_DIE_TJMAX_DO_NOT_EXCEED@double},-5,20,100,{NA::LI::THERMAL_TURBO_TEMP@double},100
LPATOM,TTARGET,System.String,{NA::LI::HUB_DIE_TJMAX_DO_NOT_EXCEED@double},-5,20,100,{NA::LI::THERMAL_TURBO_TEMP@double},100
LPATSRAM,TTARGET,System.String,{NA::LI::HUB_DIE_TJMAX_DO_NOT_EXCEED@double},-5,20,100,{NA::LI::THERMAL_TURBO_TEMP@double},100
MEDIA,TTARGET,System.String,{NA::LI::HUB_DIE_TJMAX_DO_NOT_EXCEED@double},-5,20,100,{NA::LI::THERMAL_TURBO_TEMP@double},100
MEDIASRAM,TTARGET,System.String,{NA::LI::HUB_DIE_TJMAX_DO_NOT_EXCEED@double},-5,20,100,{NA::LI::THERMAL_TURBO_TEMP@double},100
NPU,TTARGET,System.String,{NA::LI::HUB_DIE_TJMAX_DO_NOT_EXCEED@double},-5,20,100,{NA::LI::THERMAL_TURBO_TEMP@double},100
NPUSRAM,TTARGET,System.String,{NA::LI::HUB_DIE_TJMAX_DO_NOT_EXCEED@double},-5,20,100,{NA::LI::THERMAL_TURBO_TEMP@double},100
CCF,TTARGET,System.String,{NA::LI::CPU_DIE_TJMAX_DO_NOT_EXCEED@double},-5,20,100,{NA::LI::THERMAL_TURBO_TEMP@double},100
CCFSRAM,TTARGET,System.String,{NA::LI::CPU_DIE_TJMAX_DO_NOT_EXCEED@double},-5,20,100,{NA::LI::THERMAL_TURBO_TEMP@double},100
IPU,TTARGET,System.String,{NA::LI::HUB_DIE_TJMAX_DO_NOT_EXCEED@double},-5,20,100,{NA::LI::THERMAL_TURBO_TEMP@double},100
