Entity,ARR_CCF_CXX_F1XCCF,ARR_CCF_CXX_F2XCCF,ARR_CCF_CXX_F3XCCF,ARR_CCF_CXX_F4XCCF,DIFF,Symbolized
<flow>,ARR_CCF_CXX_F1XCCF,ARR_CCF_CXX_F2XCCF,ARR_CCF_CXX_F3XCCF,ARR_CCF_CXX_F4XCCF,DIFF,ARR_CCF_CXX_F<s0>XCCF
<flow>.structure,3 MTTs,3 MTTs,3 MTTs,3 MTTs,OK,3 MTTs
<flow>.test_sequence,"1:SSA_LLCSRAM, 2:LSA_CBOA, 3:LSA_LLCRF","1:SSA_LLCSRAM, 2:LSA_CBOA, 3:LSA_LLCRF","1:SSA_LLCSRAM, 2:LSA_CBOA, 3:LSA_LLCRF","1:SSA_LLCSRAM, 2:LSA_CBOA, 3:LSA_LLCRF",OK,"1:SSA_LLCSRAM, 2:LSA_CBOA, 3:LSA_LLCRF"
<flow>.frequency,1200 MHz,1500 MHz,2200 MHz,3000 MHz,DIFF,<s1> MHz
SSA_CCF_VMIN_K_F<n>XCCF_X_X_F<n>_<freq>_LLCSRAM_MTT,F1_1200,F2_1500,F3_2200,F4_3000,DIFF,F<s0>_<s1>
SSA_CCF_VMIN_K_F<n>XCCF_X_X_F<n>_<freq>_LLCSRAM_MTT.TestMethod,VminTC,VminTC,VminTC,VminTC,OK,VminTC
SSA_CCF_VMIN_K_F<n>XCCF_X_X_F<n>_<freq>_LLCSRAM_MTT.BypassPort,-1,-1,-1,-1,OK,-1
SSA_CCF_VMIN_K_F<n>XCCF_X_X_F<n>_<freq>_LLCSRAM_MTT.ExecutionMode,SearchWithScoreboard,SearchWithScoreboard,SearchWithScoreboard,SearchWithScoreboard,OK,SearchWithScoreboard
SSA_CCF_VMIN_K_F<n>XCCF_X_X_F<n>_<freq>_LLCSRAM_MTT.TestMode,SingleVmin,SingleVmin,SingleVmin,SingleVmin,OK,SingleVmin
SSA_CCF_VMIN_K_F<n>XCCF_X_X_F<n>_<freq>_LLCSRAM_MTT.VoltageTargets,CCF,CCF,CCF,CCF,OK,CCF
SSA_CCF_VMIN_K_F<n>XCCF_X_X_F<n>_<freq>_LLCSRAM_MTT.RecoveryMode,NoRecovery,NoRecovery,NoRecovery,NoRecovery,OK,NoRecovery
SSA_CCF_VMIN_K_F<n>XCCF_X_X_F<n>_<freq>_LLCSRAM_MTT.StepSize,0.01,0.01,0.01,0.01,OK,0.01
SSA_CCF_VMIN_K_F<n>XCCF_X_X_F<n>_<freq>_LLCSRAM_MTT.CornerIdentifiers,CCF0@F1,CCF0@F2,CCF0@F3,CCF0@F4,DIFF,CCF0@F<s0>
SSA_CCF_VMIN_K_F<n>XCCF_X_X_F<n>_<freq>_LLCSRAM_MTT.BaseNumbers,12334,12337,12341,12753,DIFF,<s2>
SSA_CCF_VMIN_K_F<n>XCCF_X_X_F<n>_<freq>_LLCSRAM_MTT.SetPointsPreInstance.prefix,PSPRE.CLR_F1,PSPRE.CLR_F2,PSPRE.CLR_F3,PSPRE.CLR_F4,DIFF,PSPRE.CLR_F<s0>
SSA_CCF_VMIN_K_F<n>XCCF_X_X_F<n>_<freq>_LLCSRAM_MTT.SetPointsPreInstance.core_freq,FlowMatrixSingular.CR_F1_FREQ,FlowMatrixSingular.CR_F1_FREQ,FlowMatrixSingular.CR_F1_FREQ,FlowMatrixSingular.CR_F1_FREQ,OK,FlowMatrixSingular.CR_F1_FREQ
SSA_CCF_VMIN_K_F<n>XCCF_X_X_F<n>_<freq>_LLCSRAM_MTT.SetPointsPreInstance.ring_freq,FlowMatrixSingular.CCF_F1_FREQ,FlowMatrixSingular.CCF_F2_FREQ,FlowMatrixSingular.CCF_F3_FREQ,FlowMatrixSingular.CCF_F4_FREQ,DIFF,FlowMatrixSingular.CCF_F<s0>_FREQ
SSA_CCF_VMIN_K_F<n>XCCF_X_X_F<n>_<freq>_LLCSRAM_MTT.SetPointsPreInstance.atom_freq,FlowMatrixSingular.AT_F1_FREQ,FlowMatrixSingular.AT_F1_FREQ,FlowMatrixSingular.AT_F1_FREQ,FlowMatrixSingular.AT_F1_FREQ,OK,FlowMatrixSingular.AT_F1_FREQ
