Entity,ARR_CCF_CXX_F1XCCF,ARR_CCF_CXX_F2XCCF,ARR_CCF_CXX_F3XCCF,ARR_CCF_CXX_F4XCCF,ARR_CCF_CXX_F5XCCF,DIFF,Symbolized
<flow>,ARR_CCF_CXX_F1XCCF,ARR_CCF_CXX_F2XCCF,ARR_CCF_CXX_F3XCCF,ARR_CCF_CXX_F4XCCF,ARR_CCF_CXX_F5XCCF,DIFF,ARR_CCF_CXX_F<s0>XCCF
<flow>.structure,3 MTTs,3 MTTs,3 MTTs,3 MTTs,4 items (3 MTTs + ARR_CCF_FMAX),DIFF,3 MTTs (F5: +FMAX subflow)
SSA_CCF_VMIN_K_F<n>XCCF_X_X_F<n>_<freq>_LLCSRAM_MTT,F1_1200,F2_1500,F3_2200,F4_3000,F5_3600,DIFF,F<s0>_<s1>
SSA_CCF_VMIN_K_F<n>XCCF_X_X_F<n>_<freq>_LLCSRAM_MTT.TestMethod,VminTC,VminTC,VminTC,VminTC,VminTC,OK,VminTC
SSA_CCF_VMIN_K_F<n>XCCF_X_X_F<n>_<freq>_LLCSRAM_MTT.BypassPort,-1,-1,-1,-1,-1,OK,-1
SSA_CCF_VMIN_K_F<n>XCCF_X_X_F<n>_<freq>_LLCSRAM_MTT.CornerIdentifiers,CCF0@F1,CCF0@F2,CCF0@F3,CCF0@F4,__shared__::CornerIdentifiers.CCF_C5,DIFF,CCF0@F<s0> (F5: symbolic)
SSA_CCF_VMIN_K_F<n>XCCF_X_X_F<n>_<freq>_LLCSRAM_MTT.BaseNumbers,12334,12337,12341,12753,12344,DIFF,<s2>
SSA_CCF_VMIN_K_F<n>XCCF_X_X_F<n>_<freq>_LLCSRAM_MTT.SetPointsPreInstance.prefix,PSPRE.CLR_F1,PSPRE.CLR_F2,PSPRE.CLR_F3,PSPRE.CLR_F4,PSPRE.CLR_F5,DIFF,PSPRE.CLR_F<s0>
SSA_CCF_VMIN_K_F<n>XCCF_X_X_F<n>_<freq>_LLCSRAM_MTT.SetPointsPreInstance.ringfreq_source,FlowMatrixSingular.CCF_F1_FREQ,FlowMatrixSingular.CCF_F2_FREQ,FlowMatrixSingular.CCF_F3_FREQ,FlowMatrixSingular.CCF_F4_FREQ,FreqValues.CCF_C5,DIFF,<s3> (F5: FreqValues.CCF_C5)
SSA_CCF_VMIN_K_F<n>XCCF_X_X_F<n>_<freq>_LLCSRAM_MTT.SetPointsPreInstance.labels,static (corefreq/ringfreq_0),static (corefreq/ringfreq_0),static (corefreq/ringfreq_0),static (corefreq/ringfreq_0),dynamic (Specs.corefreq/ringfreq),DIFF,static (F5: dynamic)
SSA_CCF_VMIN_K_F<n>XCCF_X_X_F<n>_<freq>_LLCSRAM_MTT.SetPointsPreInstance.has_atomfreq,Yes,Yes,Yes,Yes,Yes,OK,Yes
SSA_CCF_VMIN_K_F<n>XCCF_X_X_F<n>_<freq>_LLCSRAM_MTT.SetPointsPostInstance,PSPOST.CLR_F1+nbl_on,PSPOST.CLR_F2+nbl_on,PSPOST.CLR_F3+nbl_on,PSPOST.CLR_F4+nbl_on,PSPOST.CLR_F5+nbl_on,DIFF,PSPOST.CLR_F<s0>+nbl_on
SSA_CCF_VMIN_K_F<n>XCCF_X_X_F<n>_<freq>_LLCSRAM_MTT.StartVoltagesForRetry.fallback,"""" (empty string),"""" (empty string),"""" (empty string),"""" (empty string),"["""","""",""""] (3-entry array)",DIFF,"""" (F5: array)
SSA_CCF_VMIN_K_F<n>XCCF_X_X_F<n>_<freq>_LLCSRAM_MTT.StartVoltagesOffset.fallback,"""" (empty string),"""" (empty string),"""" (empty string),"""" (empty string),"["""","""",""""] (3-entry array)",DIFF,"""" (F5: array)
SSA_CCF_VMIN_K_F<n>XCCF_X_X_F<n>_<freq>_LLCSRAM_MTT.EndVoltageLimits,ARR_CCF_Rules.QA_HOT_Default(...),FlowMatrixSingular.CCF_HIGH_SEARCH_VALUE,FlowMatrixSingular.CCF_HIGH_SEARCH_VALUE,FlowMatrixSingular.CCF_HIGH_SEARCH_VALUE,FlowMatrixSingular.CCF_HIGH_SEARCH_VALUE,DIFF,QA_HOT_Default (F1 only)
SSA_CCF_VMIN_K_F<n>XCCF_X_X_F<n>_<freq>_LLCSRAM_MTT.FlowIndex,FlowMatrix.FlowIndex,FlowMatrix.FlowIndex,FlowMatrix.FlowIndex,FlowMatrix.FlowIndex,FlowMatrixSingular.FlowIndex,DIFF,FlowMatrix.FlowIndex (F5: Singular)
LSA_CCF_VMIN_K_F<n>XCCF_X_X_F<n>_<freq>_CBOA_MTT,F1_1200,F2_1500,F3_2200,F4_3000,F5_3600,DIFF,F<s0>_<s1>
