Comparison_Type,Position,Instance_Type,F1XCCF,F2XCCF,F3XCCF,F4XCCF,DIFF,Pattern
FLOW_STRUCTURE,N/A,Flow Name,ARR_CCF_CXX_F1XCCF,ARR_CCF_CXX_F2XCCF,ARR_CCF_CXX_F3XCCF,ARR_CCF_CXX_F4XCCF,DIFF,ARR_CCF_CXX_F<n>XCCF
FLOW_STRUCTURE,N/A,Total FlowItems,3,3,3,3,OK,3
FLOW_STRUCTURE,N/A,Frequency,1200 MHz,1500 MHz,2200 MHz,3000 MHz,DIFF,<freq> MHz
INSTANCE_PRESENCE,1,SSA/LLCSRAM,SSA_CCF_VMIN_K_F1XCCF_X_X_F1_1200_LLCSRAM_MTT,SSA_CCF_VMIN_K_F2XCCF_X_X_F2_1500_LLCSRAM_MTT,SSA_CCF_VMIN_K_F3XCCF_X_X_F3_2200_LLCSRAM_MTT,SSA_CCF_VMIN_K_F4XCCF_X_X_F4_3000_LLCSRAM_MTT,PRESENT_ALL,SSA_CCF_VMIN_K_F<n>XCCF_X_X_F<n>_<freq>_LLCSRAM_MTT
INSTANCE_PRESENCE,2,LSA/CBOA,LSA_CCF_VMIN_K_F1XCCF_X_X_F1_1200_CBOA_MTT,LSA_CCF_VMIN_K_F2XCCF_X_X_F2_1500_CBOA_MTT,LSA_CCF_VMIN_K_F3XCCF_X_X_F3_2200_CBOA_MTT,LSA_CCF_VMIN_K_F4XCCF_X_X_F4_3000_CBOA_MTT,PRESENT_ALL,LSA_CCF_VMIN_K_F<n>XCCF_X_X_F<n>_<freq>_CBOA_MTT
INSTANCE_PRESENCE,3,LSA/LLCRF,LSA_CCF_VMIN_K_F1XCCF_X_X_F1_1200_LLCRF_MTT,LSA_CCF_VMIN_K_F2XCCF_X_X_F2_1500_LLCRF_MTT,LSA_CCF_VMIN_K_F3XCCF_X_X_F3_2200_LLCRF_MTT,LSA_CCF_VMIN_K_F4XCCF_X_X_F4_3000_LLCRF_MTT,PRESENT_ALL,LSA_CCF_VMIN_K_F<n>XCCF_X_X_F<n>_<freq>_LLCRF_MTT
INSTANCE_PARAM,1,TestMethod,VminTC,VminTC,VminTC,VminTC,OK,VminTC
INSTANCE_PARAM,1,BypassPort,-1,-1,-1,-1,OK,-1
INSTANCE_PARAM,1,CornerIdentifiers,CCF0@F1,CCF0@F2,CCF0@F3,CCF0@F4,DIFF,CCF0@F<n>
INSTANCE_PARAM,1,BaseNumbers,12334,12337,12341,12753,DIFF,Unique per corner
INSTANCE_PARAM,1,Patlist,arr_cdie_f1xccf_...,arr_cdie_f2xccf_...,arr_cdie_f3xccf_...,arr_cdie_f4xccf_...,DIFF,arr_cdie_f<n>xccf_...
INSTANCE_PARAM,1,CornerFreq_Ring,CCF_F1_FREQ,CCF_F2_FREQ,CCF_F3_FREQ,CCF_F4_FREQ,DIFF,CCF_F<n>_FREQ
INSTANCE_PARAM,1,CornerFreq_Core,CR_F1_FREQ,CR_F1_FREQ,CR_F1_FREQ,CR_F1_FREQ,OK,CR_F1_FREQ
INSTANCE_PARAM,1,CornerFreq_Atom,AT_F1_FREQ,AT_F1_FREQ,AT_F1_FREQ,AT_F1_FREQ,OK,AT_F1_FREQ
INSTANCE_PARAM,1,Has_AtomFreq,Yes,Yes,Yes,Yes,OK,Yes
INSTANCE_PARAM,1,SetPoints_Prefix,PSPRE.CLR_F1,PSPRE.CLR_F2,PSPRE.CLR_F3,PSPRE.CLR_F4,DIFF,PSPRE.CLR_F<n>
INSTANCE_PARAM,1,SetPoints_PostFix,PSPOST.CLR_F1,PSPOST.CLR_F2,PSPOST.CLR_F3,PSPOST.CLR_F4,DIFF,PSPOST.CLR_F<n>
INSTANCE_PARAM,1,VoltageConverter,DROPOUT.CLR_F1,DROPOUT.CLR_F2,DROPOUT.CLR_F3,DROPOUT.CLR_F4,DIFF,DROPOUT.CLR_F<n>
INSTANCE_PARAM,1,EndVoltageLimits,QA_HOT_Default(...),CCF_HIGH_SEARCH_VALUE,CCF_HIGH_SEARCH_VALUE,CCF_HIGH_SEARCH_VALUE,DIFF,F1: special; F2-F4: standard
INSTANCE_PARAM,1,FlowIndex,FlowMatrix.FlowIndex,FlowMatrix.FlowIndex,FlowMatrix.FlowIndex,FlowMatrix.FlowIndex,OK,FlowMatrix.FlowIndex
INSTANCE_PARAM,1,StartVoltagesRetry,StartVoltagesForRetryF1,StartVoltagesForRetryF2,StartVoltagesForRetryF3,StartVoltagesForRetryF4,DIFF,StartVoltagesForRetryF<n>
INSTANCE_PARAM,1,StartVoltagesOffset,StartVoltagesOffsetF1,StartVoltagesOffsetF2,StartVoltagesOffsetF3,StartVoltagesOffsetF4,DIFF,StartVoltagesOffsetF<n>
INSTANCE_PARAM,2,TestMethod,VminTC,VminTC,VminTC,VminTC,OK,VminTC
INSTANCE_PARAM,2,BypassPort,-1,-1,-1,-1,OK,-1
INSTANCE_PARAM,2,CornerIdentifiers,CCF0@F1,CCF0@F2,CCF0@F3,CCF0@F4,DIFF,CCF0@F<n>
INSTANCE_PARAM,2,BaseNumbers,12335,12338,12342,12755,DIFF,Unique per corner
INSTANCE_PARAM,2,Patlist,arr_cdie_f1xccf_...,arr_cdie_f2xccf_...,arr_cdie_f3xccf_...,arr_cdie_f4xccf_...,DIFF,arr_cdie_f<n>xccf_...
INSTANCE_PARAM,2,CornerFreq_Ring,CCF_F1_FREQ,CCF_F2_FREQ,CCF_F3_FREQ,CCF_F4_FREQ,DIFF,CCF_F<n>_FREQ
INSTANCE_PARAM,2,CornerFreq_Core,CR_F1_FREQ,CR_F1_FREQ,CR_F1_FREQ,CR_F1_FREQ,OK,CR_F1_FREQ
INSTANCE_PARAM,2,Has_AtomFreq,No,No,No,No,OK,No
INSTANCE_PARAM,2,SetPoints_Prefix,PSPRE.CLR_F1,PSPRE.CLR_F2,PSPRE.CLR_F3,PSPRE.CLR_F4,DIFF,PSPRE.CLR_F<n>
INSTANCE_PARAM,2,SetPoints_PostFix,PSPOST.CLR_F1,PSPOST.CLR_F2,PSPOST.CLR_F3,PSPOST.CLR_F4,DIFF,PSPOST.CLR_F<n>
INSTANCE_PARAM,2,VoltageConverter,DROPOUT.CLR_F1,DROPOUT.CLR_F2,DROPOUT.CLR_F3,DROPOUT.CLR_F4,DIFF,DROPOUT.CLR_F<n>
INSTANCE_PARAM,2,EndVoltageLimits,QA_HOT_Default(...),CCF_HIGH_SEARCH_VALUE,CCF_HIGH_SEARCH_VALUE,CCF_HIGH_SEARCH_VALUE,DIFF,F1: special; F2-F4: standard
INSTANCE_PARAM,2,FlowIndex,FlowMatrix.FlowIndex,FlowMatrix.FlowIndex,FlowMatrix.FlowIndex,FlowMatrix.FlowIndex,OK,FlowMatrix.FlowIndex
INSTANCE_PARAM,2,StartVoltagesRetry,StartVoltagesForRetryF1,StartVoltagesForRetryF2,StartVoltagesForRetryF3,StartVoltagesForRetryF4,DIFF,StartVoltagesForRetryF<n>
INSTANCE_PARAM,2,StartVoltagesOffset,StartVoltagesOffsetF1,StartVoltagesOffsetF2,StartVoltagesOffsetF3,StartVoltagesOffsetF4,DIFF,StartVoltagesOffsetF<n>
INSTANCE_PARAM,3,TestMethod,VminTC,VminTC,VminTC,VminTC,OK,VminTC
INSTANCE_PARAM,3,BypassPort,-1,-1,-1,-1,OK,-1
INSTANCE_PARAM,3,CornerIdentifiers,CCF0@F1,CCF0@F2,CCF0@F3,CCF0@F4,DIFF,CCF0@F<n>
INSTANCE_PARAM,3,BaseNumbers,12336,12340,12343,12754,DIFF,Unique per corner
INSTANCE_PARAM,3,Patlist,arr_cdie_f1xccf_...,arr_cdie_f2xccf_...,arr_cdie_f3xccf_...,arr_cdie_f4xccf_...,DIFF,arr_cdie_f<n>xccf_...
INSTANCE_PARAM,3,CornerFreq_Ring,CCF_F1_FREQ,CCF_F2_FREQ,CCF_F3_FREQ,CCF_F4_FREQ,DIFF,CCF_F<n>_FREQ
INSTANCE_PARAM,3,CornerFreq_Core,CR_F1_FREQ,CR_F1_FREQ,CR_F1_FREQ,CR_F1_FREQ,OK,CR_F1_FREQ
INSTANCE_PARAM,3,Has_AtomFreq,No,No,No,No,OK,No
INSTANCE_PARAM,3,SetPoints_Prefix,PSPRE.CLR_F1,PSPRE.CLR_F2,PSPRE.CLR_F3,PSPRE.CLR_F4,DIFF,PSPRE.CLR_F<n>
INSTANCE_PARAM,3,SetPoints_PostFix,PSPOST.CLR_F1,PSPOST.CLR_F2,PSPOST.CLR_F3,PSPOST.CLR_F4,DIFF,PSPOST.CLR_F<n>
INSTANCE_PARAM,3,VoltageConverter,DROPOUT.CLR_F1,DROPOUT.CLR_F2,DROPOUT.CLR_F3,DROPOUT.CLR_F4,DIFF,DROPOUT.CLR_F<n>
INSTANCE_PARAM,3,EndVoltageLimits,QA_HOT_Default(...),CCF_HIGH_SEARCH_VALUE,CCF_HIGH_SEARCH_VALUE,CCF_HIGH_SEARCH_VALUE,DIFF,F1: special; F2-F4: standard
INSTANCE_PARAM,3,FlowIndex,FlowMatrix.FlowIndex,FlowMatrix.FlowIndex,FlowMatrix.FlowIndex,FlowMatrix.FlowIndex,OK,FlowMatrix.FlowIndex
INSTANCE_PARAM,3,StartVoltagesRetry,StartVoltagesForRetryF1,StartVoltagesForRetryF2,StartVoltagesForRetryF3,StartVoltagesForRetryF4,DIFF,StartVoltagesForRetryF<n>
INSTANCE_PARAM,3,StartVoltagesOffset,StartVoltagesOffsetF1,StartVoltagesOffsetF2,StartVoltagesOffsetF3,StartVoltagesOffsetF4,DIFF,StartVoltagesOffsetF<n>
COMMON_PARAMS,All,ExecutionMode,SearchWithScoreboard,SearchWithScoreboard,SearchWithScoreboard,SearchWithScoreboard,OK,SearchWithScoreboard
COMMON_PARAMS,All,TestMode,SingleVmin,SingleVmin,SingleVmin,SingleVmin,OK,SingleVmin
COMMON_PARAMS,All,VoltageTargets,CCF,CCF,CCF,CCF,OK,CCF
COMMON_PARAMS,All,RecoveryMode,NoRecovery,NoRecovery,NoRecovery,NoRecovery,OK,NoRecovery
COMMON_PARAMS,All,StepSize,0.01,0.01,0.01,0.01,OK,0.01
COMMON_PARAMS,All,StartVoltages,CR_LOW_SEARCH_VALUE,CR_LOW_SEARCH_VALUE,CR_LOW_SEARCH_VALUE,CR_LOW_SEARCH_VALUE,OK,CR_LOW_SEARCH_VALUE
