Test Program,Module,Test Instance Name,Parent Flow,Test Template,Test Parameters,Is MTT
Class_NVL_CPU,ARR_CCF_CXX,SSA_CCF_VMIN_K_F1XCCF_X_X_F1_1200_LLCSRAM_MTT,ARR_CCF_CXX_F1XCCF,VminTC,"CornerIdentifiers=CCF0@F1; BaseNumbers=12334",Yes
Class_NVL_CPU,ARR_CCF_CXX,LSA_CCF_VMIN_K_F1XCCF_X_X_F1_1200_CBOA_MTT,ARR_CCF_CXX_F1XCCF,VminTC,"CornerIdentifiers=CCF0@F1; BaseNumbers=12335",Yes
Class_NVL_CPU,ARR_CCF_CXX,LSA_CCF_VMIN_K_F1XCCF_X_X_F1_1200_LLCRF_MTT,ARR_CCF_CXX_F1XCCF,VminTC,"CornerIdentifiers=CCF0@F1; BaseNumbers=12336",Yes
Class_NVL_CPU,ARR_CCF_CXX,SSA_CCF_VMIN_K_F2XCCF_X_X_F2_1500_LLCSRAM_MTT,ARR_CCF_CXX_F2XCCF,VminTC,"CornerIdentifiers=CCF0@F2; BaseNumbers=12337",Yes
Class_NVL_CPU,ARR_CCF_CXX,LSA_CCF_VMIN_K_F2XCCF_X_X_F2_1500_CBOA_MTT,ARR_CCF_CXX_F2XCCF,VminTC,"CornerIdentifiers=CCF0@F2; BaseNumbers=12338",Yes
Class_NVL_CPU,ARR_CCF_CXX,LSA_CCF_VMIN_K_F2XCCF_X_X_F2_1500_LLCRF_MTT,ARR_CCF_CXX_F2XCCF,VminTC,"CornerIdentifiers=CCF0@F2; BaseNumbers=12340",Yes
Class_NVL_CPU,ARR_CCF_CXX,SSA_CCF_VMIN_K_F3XCCF_X_X_F3_2200_LLCSRAM_MTT,ARR_CCF_CXX_F3XCCF,VminTC,"CornerIdentifiers=CCF0@F3; BaseNumbers=12341",Yes
Class_NVL_CPU,ARR_CCF_CXX,LSA_CCF_VMIN_K_F3XCCF_X_X_F3_2200_CBOA_MTT,ARR_CCF_CXX_F3XCCF,VminTC,"CornerIdentifiers=CCF0@F3; BaseNumbers=12342",Yes
Class_NVL_CPU,ARR_CCF_CXX,LSA_CCF_VMIN_K_F3XCCF_X_X_F3_2200_LLCRF_MTT,ARR_CCF_CXX_F3XCCF,VminTC,"CornerIdentifiers=CCF0@F3; BaseNumbers=12343",Yes
Class_NVL_CPU,ARR_CCF_CXX,SSA_CCF_VMIN_K_F4XCCF_X_X_F4_3000_LLCSRAM_MTT,ARR_CCF_CXX_F4XCCF,VminTC,"CornerIdentifiers=CCF0@F4; BaseNumbers=12753",Yes
Class_NVL_CPU,ARR_CCF_CXX,LSA_CCF_VMIN_K_F4XCCF_X_X_F4_3000_CBOA_MTT,ARR_CCF_CXX_F4XCCF,VminTC,"CornerIdentifiers=CCF0@F4; BaseNumbers=12755",Yes
Class_NVL_CPU,ARR_CCF_CXX,LSA_CCF_VMIN_K_F4XCCF_X_X_F4_3000_LLCRF_MTT,ARR_CCF_CXX_F4XCCF,VminTC,"CornerIdentifiers=CCF0@F4; BaseNumbers=12754",Yes
Class_NVL_CPU,ARR_CCF_CXX,SSA_CCF_VMIN_K_F5XCCF_X_X_F5_3600_LLCSRAM_MTT,ARR_CCF_CXX_F5XCCF,VminTC,"CornerIdentifiers=__shared__::CornerIdentifiers.CCF_C5; BaseNumbers=12344",Yes
Class_NVL_CPU,ARR_CCF_CXX,LSA_CCF_VMIN_K_F5XCCF_X_X_F5_3600_CBOA_MTT,ARR_CCF_CXX_F5XCCF,VminTC,"CornerIdentifiers=__shared__::CornerIdentifiers.CCF_C5; BaseNumbers=12345",Yes
Class_NVL_CPU,ARR_CCF_CXX,LSA_CCF_VMIN_K_F5XCCF_X_X_F5_3600_LLCRF_MTT,ARR_CCF_CXX_F5XCCF,VminTC,"CornerIdentifiers=__shared__::CornerIdentifiers.CCF_C5; BaseNumbers=12346",Yes
