Test Program,Module,Test Instance Name,Parent Flow,Test Template,Test Parameters,Is MTT
Class_NVL_P16C,_,ALL_X_AUX_K_ENDCPUPKG_X_X_X_X_WRITE_CSVFDS,ARR_COMMON_CKX_ENDCPUPKG,AuxiliaryTC,"BypassPort=ARR_COMMON_Rules.QA_HOT_Default(1,-1,1); DataType=""String""; Expression=""Bin2Hex([G.U.S.CPU0_FUSE_EMB_VFDM_FDS_BINARY],4408)""; ResultToken=""CSVFDS""; Storage=""DFF""",No
Class_NVL_P16C,_,ALL_X_AUX_K_ENDCPUPKG_X_X_X_X_WRITE_CSVHCS,ARR_COMMON_CKX_ENDCPUPKG,AuxiliaryTC,"BypassPort=ARR_COMMON_Rules.QA_HOT_Default(1,-1,1); DataType=""String""; Expression=""Bin2Hex([G.U.S.CPU0_FUSE_EMB_VFDM_HCS_BINARY],1808)""; ResultToken=""CSVHCS""; Storage=""DFF""",No
Class_NVL_P16C,_,ALL_ATOM_SCREENTC_K_STARTCPUPATMODSPKG_X_X_X_X_CONVERT_HEX2BIN_VFDM_DFF,ARR_COMMON_CKX_STARTCPUPATMODSPKG,ScreenTC,"BypassPort=ARR_COMMON_Rules.TPRules(ARR_COMMON_Rules.QA_HOT_Default(1,-1,1),ARR_COMMON_Rules.QA_HOT_Default(1,1,1),ARR_COMMON_Rules.QA_HOT_Default(1,-1,1),ARR_COMMON_Rules.QA_HOT_Default(1,-1,1),ARR_COMMON_Rules.QA_HOT_Default(1,-1,1),ARR_COMMON_Rules.QA_HOT_Default(1,-1,1),ARR_COMMON_Rules.QA_HOT_Default(1,-1,1),ARR_COMMON_Rules.QA_HOT_Default(1,1,1)); ScreenTestSet=""DFF2GSDSRepairTokenAtom""; ScreenTestsFile=ARR_COMMON_Rules.TPRules(ARR_COMMON_Specs.atom_hex2bin_other,ARR_COMMON_Specs.atom_hex2bin_other,ARR_COMMON_Specs.atom_hex2bin_other,ARR_COMMON_Specs.atom_hex2bin_48,ARR_COMMON_Specs.atom_hex2bin_48,ARR_COMMON_Specs.atom_hex2bin_48,ARR_COMMON_Specs.atom_hex2bin_other,ARR_COMMON_Specs.atom_hex2bin_other)",No
Class_NVL_P16C,_,ALL_CORE_X_E_STARTCPUPATMODSPKG_X_X_X_X_MBIST_DFF_READ,ARR_COMMON_CKX_STARTCPUPATMODSPKG,PrimeMbistTestMethod,"BisrMode=""compress""; BypassPort=ARR_COMMON_Rules.TPRules(ARR_COMMON_Rules.QA_HOT_Default(1,-1,1),ARR_COMMON_Rules.QA_HOT_Default(1,1,1),ARR_COMMON_Rules.QA_HOT_Default(1,-1,1),ARR_COMMON_Rules.QA_HOT_Default(1,-1,1),ARR_COMMON_Rules.QA_HOT_Default(1,-1,1),ARR_COMMON_Rules.QA_HOT_Default(1,-1,1),ARR_COMMON_Rules.QA_HOT_Default(1,-1,1),ARR_COMMON_Rules.QA_HOT_Default(1,-1,1)); ClearVariables=""hry,vmin""; DffOperation=""bisr,read""; FailCaptureCount=10000000; LevelsTc=""CPU_IP_BASE::cpu_all_bf_x_x_ipc_lvl_min""; LookupTableConfigurationFile=ARR_COMMON_Rules.TPRules(ARR_COMMON_Specs.HRY_LIST_816,ARR_COMMON_Specs.HRY_LIST_others,ARR_COMMON_Specs.HRY_LIST_816,ARR_COMMON_Specs.HRY_LIST_48,ARR_COMMON_Specs.HRY_LIST_48,ARR_COMMON_Specs.HRY_LIST_48,ARR_COMMON_Specs.HRY_LIST_816,ARR_COMMON_Specs.HRY_LIST_others); MappingConfigurationFile=ARR_COMMON_Rules.TPRules(ARR_COMMON_Specs.dffmap_s28c,ARR_COMMON_Specs.dffmap_s28c,ARR_COMMON_Specs.dffmap_s28c,ARR_COMMON_Specs.dffmap_48,ARR_COMMON_Specs.dffmap_48,ARR_COMMON_Specs.dffmap_48,ARR_COMMON_Specs.dffmap_s28c,ARR_COMMON_Specs.dffmap_s28c); MbistTestMode=""Initialize""; Patlist=""IPC::arr_cdie_begincpupkg_mbist_uncore_unc_fuse_all_lsa_vnnaon_ks_x_class_hptp_min_list""; TimingsTc=ARR_COMMON_Specs.timingRules",No
Class_NVL_P16C,_,ALL_X_FUSECONFIG_K_STARTCPUPATMODSPKG_X_X_X_X_MBIST_RWA_PATCONFIG,ARR_COMMON_CKX_STARTCPUPATMODSPKG,PrimePatConfigTestMethod,"BypassPort=-1; ConfigurationFile=ARR_COMMON_Rules.TPRules(ARR_COMMON_Specs.mbist_fusecon_s28c,ARR_COMMON_Specs.mbist_fusecon_s28c,ARR_COMMON_Specs.mbist_fusecon_s28c,ARR_COMMON_Specs.mbist_fusecon_48,ARR_COMMON_Specs.mbist_fusecon_48,ARR_COMMON_Specs.mbist_fusecon_48,ARR_COMMON_Specs.mbist_fusecon_s28c,ARR_COMMON_Specs.mbist_fusecon_s28c); RegEx=""[gdx].*_longreset_fuseover.*_MC.*(arr|fun.*)""; SetPoint=""MBIST_PER_DIE_RWA""",No
Class_NVL_P16C,_,ALL_X_FUSECONFIG_K_STARTCPUPATMODSPKG_X_X_X_X_REPAIR,ARR_COMMON_CKX_STARTCPUPATMODSPKG,PrimePatConfigTestMethod,"BypassPort=-1; ConfigurationFile=GetEnvironmentVariable(""~HDMT_TP_BASE_DIR"") + ""\\Modules\\FUS\\FUS_FUSECFG_CXX\\InputFiles\\array_repair_perunit.PatConfigSetpoints.json""; RegEx=""[gdx].*_longreset_fuseover.*_MC.*(arr|fun.*)""; SetPoint=""CPU0_APPLY_VFDM""",No
Class_NVL_P16C,_,ALL_X_HRY_E_STARTCPUPATMODSPKG_X_X_X_X_MBIST_HRY_INIT,ARR_COMMON_CKX_STARTCPUPATMODSPKG,PrimeMbistTestMethod,"BisrMode=""uncompress""; BypassPort=ARR_COMMON_Rules.QA_HOT_Default(1,-1,1); ClearVariables=""all""; FailCaptureCount=10000000; LevelsTc=""CPU_IP_BASE::cpu_all_bf_x_x_ipc_lvl_min""; LookupTableConfigurationFile=ARR_COMMON_Rules.TPRules(ARR_COMMON_Specs.HRY_LIST_816,ARR_COMMON_Specs.HRY_LIST_others,ARR_COMMON_Specs.HRY_LIST_816,ARR_COMMON_Specs.HRY_LIST_48,ARR_COMMON_Specs.HRY_LIST_48,ARR_COMMON_Specs.HRY_LIST_48,ARR_COMMON_Specs.HRY_LIST_816,ARR_COMMON_Specs.HRY_LIST_others); MappingConfigurationFile=ARR_COMMON_Rules.TPRules(ARR_COMMON_Specs.dffmap_s28c,ARR_COMMON_Specs.dffmap_s28c,ARR_COMMON_Specs.dffmap_s28c,ARR_COMMON_Specs.dffmap_48,ARR_COMMON_Specs.dffmap_48,ARR_COMMON_Specs.dffmap_48,ARR_COMMON_Specs.dffmap_s28c,ARR_COMMON_Specs.dffmap_s28c); MbistTestMode=""Initialize""; Patlist=""IPC::arr_cdie_begincpupkg_mbist_uncore_unc_fuse_all_lsa_vnnaon_ks_x_class_hptp_min_list""; TimingsTc=ARR_COMMON_Specs.timingRules",No
Class_NVL_P16C,_,ALL_X_SCREEN_E_STARTCPUPATMODSPKG_X_X_X_X_MBIST_DFF_RESET_DEFAULT,ARR_COMMON_CKX_STARTCPUPATMODSPKG,ScreenTC,"BypassPort=-1; ScreenTestSet=""MbistDFFDefault""; ScreenTestsFile=ARR_COMMON_Rules.TPRules(ARR_COMMON_Specs.resetdff_s28c,ARR_COMMON_Specs.resetdff_s28c,ARR_COMMON_Specs.resetdff_s28c,ARR_COMMON_Specs.resetdff_48,ARR_COMMON_Specs.resetdff_48,ARR_COMMON_Specs.resetdff_48,ARR_COMMON_Specs.resetdff_s28c,ARR_COMMON_Specs.resetdff_s28c)",No
Class_NVL_P16C,_,ALL_X_SCREEN_E_STARTCPUPATMODSPKG_X_X_X_X_MBIST_SORT_TP,ARR_COMMON_CKX_STARTCPUPATMODSPKG,ScreenTC,"BypassPort=-1; ScreenTestSet=""MbistCheckTPRev""; ScreenTestsFile=ARR_COMMON_Rules.TPRules(ARR_COMMON_Specs.resetdff_s28c,ARR_COMMON_Specs.resetdff_s28c,ARR_COMMON_Specs.resetdff_s28c,ARR_COMMON_Specs.resetdff_48,ARR_COMMON_Specs.resetdff_48,ARR_COMMON_Specs.resetdff_48,ARR_COMMON_Specs.resetdff_s28c,ARR_COMMON_Specs.resetdff_s28c)",No
Class_NVL_P16C,_,ALL_X_SCREEN_E_STARTCPUPATMODSPKG_X_X_X_X_SET_FDS,ARR_COMMON_CKX_STARTCPUPATMODSPKG,ScreenTC,"BypassPort=ARR_COMMON_Rules.QA_HOT_Default(1,-1,1); ScreenTestSet=""HcsFdsAppend""; ScreenTestsFile=ARR_COMMON_Rules.TPRules(ARR_COMMON_Specs.hextobin_others,ARR_COMMON_Specs.hextobin_others,ARR_COMMON_Specs.hextobin_others,ARR_COMMON_Specs.hextobin_48,ARR_COMMON_Specs.hextobin_48,ARR_COMMON_Specs.hextobin_48,ARR_COMMON_Specs.hextobin_others,ARR_COMMON_Specs.hextobin_others)",No
