Module,EntryPoint,MaxDepth,GroupSize,OK_Ratio,Total_Items,Template,TokenValues,Members,FirstLines
FUN_CORE_CX816,1,2,2,1.0,2,FUN_CORE_CX816_<X>,VMAXXCR; VMAXXCRLO,FUN_CORE_CX816_VMAXXCR; FUN_CORE_CX816_VMAXXCRLO,18732; 19352
SCN_ATOM_CXPKGS9,1,1,8,0.8,5,SCN_ATOM_CXPKGS9_<X>,F1XAT; F2XAT; F3XAT; F4XAT; F4XATLO; F5XATLO; FMINXAT; LTTCCPUMAX,SCN_ATOM_CXPKGS9_F1XAT; SCN_ATOM_CXPKGS9_F2XAT; SCN_ATOM_CXPKGS9_F3XAT; SCN_ATOM_CXPKGS9_F4XAT; SCN_ATOM_CXPKGS9_F4XATLO; SCN_ATOM_CXPKGS9_F5XATLO; SCN_ATOM_CXPKGS9_FMINXAT; SCN_ATOM_CXPKGS9_LTTCCPUMAX,7224; 7610; 7996; 8382; 9868; 10282; 11794; 9424
SCN_ATOM_CX816,1,1,6,0.8,5,SCN_ATOM_CX816_<X>,F1XAT; F2XAT; F3XAT; F4XATLO; FMINXAT; LTTCCPUMAX,SCN_ATOM_CX816_F1XAT; SCN_ATOM_CX816_F2XAT; SCN_ATOM_CX816_F3XAT; SCN_ATOM_CX816_F4XATLO; SCN_ATOM_CX816_FMINXAT; SCN_ATOM_CX816_LTTCCPUMAX,6058; 6444; 6830; 7602; 9092; 7216
SCN_UNCORE_CXPKGS9,1,1,5,1.0,1,SCN_UNCORE_CXPKGS9_<X>,F1XCCF; F2XCCF; F3XCCF; F4XCCF; F5XCCF,SCN_UNCORE_CXPKGS9_F1XCCF; SCN_UNCORE_CXPKGS9_F2XCCF; SCN_UNCORE_CXPKGS9_F3XCCF; SCN_UNCORE_CXPKGS9_F4XCCF; SCN_UNCORE_CXPKGS9_F5XCCF,2755; 2841; 2927; 3013; 3231
SCN_ATOM_CXPKGS9,1,1,4,1.0,5,SCN_ATOM_CXPKGS9_<X>,F1XAT; F2XAT; F3XAT; F4XAT,SCN_ATOM_CXPKGS9_F1XAT; SCN_ATOM_CXPKGS9_F2XAT; SCN_ATOM_CXPKGS9_F3XAT; SCN_ATOM_CXPKGS9_F4XAT,7224; 7610; 7996; 8382
SCN_CORE_CXPKGS9,1,1,4,1.0,5,SCN_CORE_CXPKGS9_<X>,F1XCR; F2XCR; F3XCR; F4XCR,SCN_CORE_CXPKGS9_F1XCR; SCN_CORE_CXPKGS9_F2XCR; SCN_CORE_CXPKGS9_F3XCR; SCN_CORE_CXPKGS9_F4XCR,6355; 6737; 7119; 7501
SCN_UNCORE_CX48,1,1,4,1.0,1,SCN_UNCORE_CX48_<X>,F1XCCF; F2XCCF; F3XCCF; F4XCCF,SCN_UNCORE_CX48_F1XCCF; SCN_UNCORE_CX48_F2XCCF; SCN_UNCORE_CX48_F3XCCF; SCN_UNCORE_CX48_F4XCCF,2847; 2933; 3019; 3105
SCN_UNCORE_CX816,1,1,4,1.0,1,SCN_UNCORE_CX816_<X>,F1XCCF; F2XCCF; F3XCCF; F4XCCF,SCN_UNCORE_CX816_F1XCCF; SCN_UNCORE_CX816_F2XCCF; SCN_UNCORE_CX816_F3XCCF; SCN_UNCORE_CX816_F4XCCF,2759; 2845; 2931; 3017
SCN_ATOM_CX816,1,1,3,1.0,5,SCN_ATOM_CX816_<X>,F1XAT; F2XAT; F3XAT,SCN_ATOM_CX816_F1XAT; SCN_ATOM_CX816_F2XAT; SCN_ATOM_CX816_F3XAT,6058; 6444; 6830
SCN_CORE_CX816,1,1,3,1.0,5,SCN_CORE_CX816_<X>,F1XCR; F2XCR; F3XCR,SCN_CORE_CX816_F1XCR; SCN_CORE_CX816_F2XCR; SCN_CORE_CX816_F3XCR,8554; 8908; 9262
